case_key,study_group,salt_anchor,target_heater_power_W,q_ratio_vs_salt3_nominal,insulation_mode,target_regime,priority,readiness_class,launch_allowed_in_this_row,scientific_use,rationale
salt3_jin_q1500w_hiins_onset_anchor,sentinel_cell_off,salt3_jin,1500,5.04201680672,hiins,high_Re_high_insulation_cell_off_target,1,after_high_heat_preflight,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Push Re upward without forced flow while reducing passive wall cooling; intended to find a no/material-low-cell endpoint.
salt3_jin_q0150w_loins_onset_anchor,sentinel_cell_max,salt3_jin,150,0.504201680672,loins,low_Q_low_insulation_cell_max_target,1,after_high_heat_preflight,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Lower throughflow and increase passive wall cooling to maximize wall-core drive and recirculation strength.
salt3_jin_q0250w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,250,0.840336134454,hiins,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0250w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,250,0.840336134454,baseline,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0250w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,250,0.840336134454,loins,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0500w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,500,1.68067226891,hiins,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0500w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,500,1.68067226891,baseline,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q0500w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,500,1.68067226891,loins,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q1000w_hiins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,1000,3.36134453782,hiins,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q1000w_baseline_onset_anchor,small_q_x_insulation_matrix,salt3_jin,1000,3.36134453782,baseline,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
salt3_jin_q1000w_loins_onset_anchor,small_q_x_insulation_matrix,salt3_jin,1000,3.36134453782,loins,q_by_insulation_onset_matrix,2,future_compute_heavy,false,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,Small factorial matrix around the expected onset envelope; separates heater/Re effect from passive-wall insulation effect.
forced_flow_decoupled_re_feasibility,optional_forced_flow_feasibility,representative_salt_case,TBD,TBD,TBD,decouple_Re_from_buoyancy_if_solver_supports,3,future_feasibility,false,feasibility only; not an ordinary upcomer coefficient fit,Useful only if boundary conditions can decouple flow rate from buoyancy without invalidating the natural-circulation comparison.
