row_id,evidence_family,case_key,span_or_pressure_row,case_role,Re,Ri,RAF,RMF,SVF,ordinary_anchor_class,ordinary_f6_legitimate_now,recirculation_diagnostic_now,pressure_anchor_use,required_before_ordinary_f6,why,do_not_fit_reason,next_action,source_path
pm5:salt2_lo5q:left_lower_leg,PM5_current,salt2_lo5q,left_lower_leg,holdout,83.1101106,70.00886497,0.6177451405,0.5000044571,0.07456212539,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.617745, RMF=0.500004",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_lo5q:test_section_span,PM5_current,salt2_lo5q,test_section_span,holdout,87.454516,45.11688157,0.3692928784,0.5000060995,0.001000505845,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.369293, RMF=0.500006",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_lo5q:left_upper_leg,PM5_current,salt2_lo5q,left_upper_leg,holdout,85.86111594,23.79729264,0.7901396438,0.5000621677,0.7514234306,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.79014, RMF=0.500062",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:left_lower_leg,PM5_current,salt2_hi5q,left_lower_leg,holdout,94.87281344,54.20195191,0.6096763649,0.4999936722,0.07839203064,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.609676, RMF=0.499994",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:test_section_span,PM5_current,salt2_hi5q,test_section_span,holdout,100.0030491,78.04208245,0.3748113482,0.4999916556,0.001266755619,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.374811, RMF=0.499992",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:left_upper_leg,PM5_current,salt2_hi5q,left_upper_leg,holdout,98.26301912,108.7458056,0.785845516,0.5000672828,0.7572863617,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.785846, RMF=0.500067",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:left_lower_leg,PM5_current,salt4_lo5q,left_lower_leg,training,148.9247963,16.86404752,0.5466041262,0.5000026995,0.09664111627,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.546604, RMF=0.500003",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:test_section_span,PM5_current,salt4_lo5q,test_section_span,training,160.035202,29.72248589,0.3764033442,0.4999969289,0.003081481808,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.376403, RMF=0.499997",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:left_upper_leg,PM5_current,salt4_lo5q,left_upper_leg,training,153.2865418,25.44596167,0.7765350946,0.5000757768,0.7609112209,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.776535, RMF=0.500076",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_hi5q:left_lower_leg,PM5_current,salt4_hi5q,left_lower_leg,training,166.7382592,47.1734398,0.5228637749,0.4999749795,0.1060371437,current_recirculation_diagnostic,no,yes,diagnostic_pressure_onset_only,obtain low-reverse row; same-window pressure/velocity basis; straight-loss/development ledger; mesh/time UQ; split-safe score plan,"material reverse flow: RAF=0.522864, RMF=0.499975",Reverse-flow area or mass fraction is material; true single-stream f_D/F6 fitting is invalid.,harvest terminal PM10/high-heat evidence or run onset-bracketing CFD before scoring,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
