row_id,case_id,pressure_row,loss_class,span_or_feature,f6_anchor_role,anchor_status,ordinary_f6_legitimate_now,recirculation_diagnostic_now,required_before_use,forbidden_use,source_path
named_pressure:001,salt_2,branch_apparent:lower_leg,branch_apparent,lower_leg,section_effective_diagnostic_only,not_currently_legitimate_ordinary_f6_anchor,no,not_evaluated,keep diagnostic label until low-reverse pressure evidence and naming gates are repaired,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:002,salt_2,branch_apparent:right_leg,branch_apparent,right_leg,ordinary_f6_pressure_slot_candidate,candidate_pending_pressure_repair_and_low_reverse_gate,no,not_evaluated,"repair pressure/velocity basis, geometry normalization, straight-loss/development basis, mesh/time UQ, and low RAF/RMF row",admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:003,salt_2,branch_apparent:left_lower_leg,branch_apparent,left_lower_leg,recirculation_diagnostic_not_anchor,not_legitimate_ordinary_f6_anchor,no,yes,wait for low-reverse terminal anchor before branch/straight ordinary F6 use,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:004,salt_2,straight_section:test_section_span,straight_section,test_section_span,ordinary_f6_pressure_slot_candidate,candidate_pending_pressure_repair_and_low_reverse_gate,no,not_evaluated,"repair pressure/velocity basis, geometry normalization, straight-loss/development basis, mesh/time UQ, and low RAF/RMF row",admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:005,salt_2,branch_apparent:left_upper_leg,branch_apparent,left_upper_leg,recirculation_diagnostic_not_anchor,not_legitimate_ordinary_f6_anchor,no,yes,wait for low-reverse terminal anchor before branch/straight ordinary F6 use,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:006,salt_2,branch_apparent:upper_leg,branch_apparent,upper_leg,section_effective_diagnostic_only,not_currently_legitimate_ordinary_f6_anchor,no,not_evaluated,keep diagnostic label until low-reverse pressure evidence and naming gates are repaired,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:007,salt_3,branch_apparent:lower_leg,branch_apparent,lower_leg,section_effective_diagnostic_only,not_currently_legitimate_ordinary_f6_anchor,no,not_evaluated,keep diagnostic label until low-reverse pressure evidence and naming gates are repaired,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:008,salt_3,branch_apparent:right_leg,branch_apparent,right_leg,ordinary_f6_pressure_slot_candidate,candidate_pending_pressure_repair_and_low_reverse_gate,no,not_evaluated,"repair pressure/velocity basis, geometry normalization, straight-loss/development basis, mesh/time UQ, and low RAF/RMF row",admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:009,salt_3,branch_apparent:left_lower_leg,branch_apparent,left_lower_leg,recirculation_diagnostic_not_anchor,not_legitimate_ordinary_f6_anchor,no,yes,wait for low-reverse terminal anchor before branch/straight ordinary F6 use,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:010,salt_3,straight_section:test_section_span,straight_section,test_section_span,ordinary_f6_pressure_slot_candidate,candidate_pending_pressure_repair_and_low_reverse_gate,no,not_evaluated,"repair pressure/velocity basis, geometry normalization, straight-loss/development basis, mesh/time UQ, and low RAF/RMF row",admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:011,salt_3,branch_apparent:left_upper_leg,branch_apparent,left_upper_leg,recirculation_diagnostic_not_anchor,not_legitimate_ordinary_f6_anchor,no,yes,wait for low-reverse terminal anchor before branch/straight ordinary F6 use,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:012,salt_3,branch_apparent:upper_leg,branch_apparent,upper_leg,section_effective_diagnostic_only,not_currently_legitimate_ordinary_f6_anchor,no,not_evaluated,keep diagnostic label until low-reverse pressure evidence and naming gates are repaired,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:013,salt_4,branch_apparent:lower_leg,branch_apparent,lower_leg,section_effective_diagnostic_only,not_currently_legitimate_ordinary_f6_anchor,no,not_evaluated,keep diagnostic label until low-reverse pressure evidence and naming gates are repaired,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:014,salt_4,branch_apparent:right_leg,branch_apparent,right_leg,ordinary_f6_pressure_slot_candidate,candidate_pending_pressure_repair_and_low_reverse_gate,no,not_evaluated,"repair pressure/velocity basis, geometry normalization, straight-loss/development basis, mesh/time UQ, and low RAF/RMF row",admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:015,salt_4,branch_apparent:left_lower_leg,branch_apparent,left_lower_leg,recirculation_diagnostic_not_anchor,not_legitimate_ordinary_f6_anchor,no,yes,wait for low-reverse terminal anchor before branch/straight ordinary F6 use,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:016,salt_4,straight_section:test_section_span,straight_section,test_section_span,ordinary_f6_pressure_slot_candidate,candidate_pending_pressure_repair_and_low_reverse_gate,no,not_evaluated,"repair pressure/velocity basis, geometry normalization, straight-loss/development basis, mesh/time UQ, and low RAF/RMF row",admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:017,salt_4,branch_apparent:left_upper_leg,branch_apparent,left_upper_leg,recirculation_diagnostic_not_anchor,not_legitimate_ordinary_f6_anchor,no,yes,wait for low-reverse terminal anchor before branch/straight ordinary F6 use,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:018,salt_4,branch_apparent:upper_leg,branch_apparent,upper_leg,section_effective_diagnostic_only,not_currently_legitimate_ordinary_f6_anchor,no,not_evaluated,keep diagnostic label until low-reverse pressure evidence and naming gates are repaired,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:019,salt_2,cluster_K:corner_lower_left,cluster_K,corner_lower_left,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:020,salt_2,cluster_K:corner_lower_right,cluster_K,corner_lower_right,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:021,salt_2,cluster_K:corner_upper_right,cluster_K,corner_upper_right,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:022,salt_2,cluster_K:corner_upper_left,cluster_K,corner_upper_left,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
named_pressure:023,salt_2,cluster_K:test_section_complex,cluster_K,test_section_complex,not_ordinary_f6_component_k_lane,component_or_cluster_diagnostic,no,yes,component isolation and two-tap K gates; do not use for F6 distributed friction,admitted_K_or_f_D; universal_K; hidden_global_friction_multiplier,work_products/2026-07/2026-07-13/2026-07-13_litrev_reset_named_losses/named_pressure_loss_table.csv
