sensor,kind,score_target_use,runtime_temperature_allowed,fit_allowed,model_selection_allowed,claim_priority,partition_policy,policy_reason
TP1,TP,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TP2,TP,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,"TP2 is mapped to the right-downcomer/bottom-horizontal junction for scoring, but remains runtime_temperature_allowed=false and fit_allowed=false."
TP3,TP,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TP4,TP,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TP5,TP,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TP6,TP,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW1,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW2,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW3,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW4,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW5,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW6,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW7,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW8,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW9,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
TW10,TW,excluded_from_score,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,TW10 is a cooling-jacket shell surrogate; current 1D model does not emit the required active-HX shell temperature.
TW11,TW,post_solve_score_target_only,false,false,false,secondary_to_energy_and_branch_heat_parity,train_support_holdout_external_temperatures_forbidden_as_runtime_inputs,No blocker for provisional diagnostic score; thesis-grade coordinate claim still blocked by provisional registry status.
