source_id,provenance_author_title,source_file,source_use_category,key_contribution,admission_limit
NIST_TN2206,NIST TN 2206,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,method_reference_no_fit,Separate static pressure kinetic pressure straight friction velocity basis and recovery before K,No universal component K without isolation and recovery evidence
CsizmadiaHos2014,Csizmadia and Hos 2014,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,method_reference_no_fit,Corrected fitting pressure-drop decomposition and inlet dynamic-pressure normalization,Reject component K when inlet outlet disturbances remain
PatinoJaramillo2022Coeff,Patino Jaramillo 2022 coefficient paper,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,source_bounded_candidate_no_fit,Low-Re planar tee coefficient form dependent on split Re3 and alpha,Geometry and parameter envelope not directly transferable to TAMU loop
PatinoJaramillo2022Flow,Patino Jaramillo 2022 flow-field paper,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,diagnostic_reference_no_fit,Recirculation maps and topology-sensitive flow diagnostics,No universal recirculation threshold supplied
AlTameemiRicco2018,Al-Tameemi and Ricco 2018,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,screening_reference_no_fit,Reynolds-dependent miter elbow loss screening form,Screening only because component geometry and Re envelope are not sufficient for TAMU admission
SalehiIdemSleiti2017,Salehi Idem and Sleiti 2017,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,method_reference_no_fit,Close-coupled elbow cluster concept when disturbances overlap,No coefficient import without cluster-specific recovery and reference subtraction
ShahLondon1971_Shah1978,Shah and London 1971; Shah 1978,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,reference_candidate_no_fit,Laminar fully developed and apparent developing friction framework,Requires convention reset distance geometry and buoyancy screening before use
MuzychkaYovanovich2004_2009,Muzychka and Yovanovich 2004/2009,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,source_bounded_candidate_no_fit,Forced developing duct Nu and friction-Reynolds families,Reject when buoyancy recirculation or source envelope invalidates single-stream assumption
EvertsMeyer2020_EvertsMahdavi2023,Everts and Meyer 2020; Everts Mahdavi and Meyer 2023,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,regime_screening_no_fit,Developing and mixed-convection entrance regime screening,Method-only until exact constants and envelopes are verified
VDIHeatAtlas2010,VDI Heat Atlas 2010,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,setup_only_method_reference,Resistance-network heat-loss separation,Do not hide external heat residual inside internal Nu
Podila2023,Podila 2023 molten-salt loop CFD/CHT,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,diagnostic_precedent_no_fit,Loop CFD and CHT diagnostic precedent,No universal coefficient transfer
SchmandtHerwig2013,Schmandt and Herwig 2013,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,future_candidate_no_fit,Unsteady fitting correction architecture,Only admissible for periodic positive-mean no-zero-crossing regimes
ZhangWang_Wu_Codde_Schmandt,Zhang Wang Wu Codde Schmandt network sources,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,architecture_reference_no_fit,Signed-flow and reverse-flow network architecture,Use only if discrete branch net flow changes sign rather than local sectional exchange
Delafosse_Tajsoleiman_exchange_sources,Delafosse and Tajsoleiman exchange sources,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,architecture_reference_no_fit,Compartment or exchange-cell model architecture,No universal exchange coefficient admission
HooperDarby,Hooper and Darby fitting-loss family,work_products/2026-07/2026-07-21/2026-07-21_litrev_model_form_extraction/litrev_source_inventory.csv,screening_reference_no_fit,K1/Re plus Kinf screening form,Screening only and not admitted for TAMU coefficient fitting
