source_id,source_domain_claim,TAMU_overlap_assessment,transfer_status,required_verification_before_use
NIST_TN2206,Pressure-loss decomposition and component/section measurement basis,High method overlap for bookkeeping but not a coefficient source,method_transfer_allowed_no_fit,Confirm static/reduced pressure definition velocity basis hydrostatic correction and recovery span
CsizmadiaHos2014,Corrected fitting loss with inlet/outlet subtraction,Moderate method overlap for why raw two-tap K is invalid,method_transfer_allowed_no_fit,Confirm valid straight-reference/development subtraction and disturbance removal
PatinoJaramillo2022Coeff,Low-Re planar tee coefficient with split and geometry parameter,Low direct coefficient overlap because TAMU geometry and branch conditions differ,no_coefficient_transfer,Verify Re split ratio alpha geometry and pressure basis before even considering source-bounded use
PatinoJaramillo2022Flow,Tee flow-field recirculation diagnostics,Moderate diagnostic overlap for recirculation topology,diagnostic_transfer_allowed_no_fit,Map TAMU reverse-area/reverse-mass metrics to comparable diagnostic definitions
AlTameemiRicco2018,90-degree miter elbow Reynolds loss,Low direct overlap with corner two-tap cluster,screening_only,Use only to sanity-check sign and order of magnitude after section basis exists
SalehiIdemSleiti2017,Close-coupled elbow clusters,Moderate method overlap for cluster concept,method_transfer_allowed_no_fit,Define cluster boundaries and recovery before fitting or reporting any section coefficient
ShahLondon1971_Shah1978,Laminar fully developed/developing duct pressure reference,High as reference family if conventions and reset distances pass,reference_transfer_conditional,Verify Darcy/Fanning convention and apparent/developing definitions from primary source
MuzychkaYovanovich2004_2009,Forced developing duct thermal and friction families,Moderate conditional overlap for single-stream branches,source_bounded_conditional_no_fit,Verify BC class characteristic length constants and exclusion of recirculating/mixed regimes
EvertsMeyer2020_EvertsMahdavi2023,Developing/mixed-convection regime screening,Moderate method overlap for nondimensional screening,regime_screen_only,Verify nondimensional envelope and constants before any closure expression
VDIHeatAtlas2010,Heat-loss resistance networks,High method overlap for setup-only BC accounting,setup_only_transfer_allowed,Separate external resistance terms from internal convection and source/sink labels
Podila2023,Loop CFD/CHT diagnostic precedent,Low coefficient overlap but useful diagnostic precedent,diagnostic_transfer_allowed_no_fit,Use only as precedent for reporting not coefficient transfer
SchmandtHerwig2013,Unsteady fitting corrections,Low current overlap because current lane is steady attribution,future_only,Require periodic positive-mean no-zero-crossing time-resolved evidence
ZhangWang_Wu_Codde_Schmandt,Signed-flow/reverse-flow networks,Conditional architecture overlap,architecture_only,Require branch-level net sign reversal evidence
Delafosse_Tajsoleiman_exchange_sources,Compartment/exchange models,Moderate architecture overlap for local recirculation exchange,architecture_only,Require same-QOI recirculation exchange evidence before coefficients
HooperDarby,Generic fitting-loss K families,Low direct overlap,screening_only,Use only as qualitative screening after pressure basis is known
