path,git_status,phase_c_relevance,observed_dirty_content,phase_c_action,claim_default
../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/external_boundary.py,missing_or_untracked_not_present,high,new isolated parser module named by Phase B does not yet exist,add new parser/API module,yes
../cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_external_boundary_contract.py,missing_or_untracked_not_present,high,new focused parser/runtime guardrail test file named by Phase B does not yet exist,add new focused tests,yes
../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/config_loader.py,modified,high,dirty diff already parses external_boundary_* maps and external_boundary_role_rows plus other scenario row helpers,edit minimally after reading current dirty file,yes
../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/solver.py,modified,high,dirty diff already adds ScenarioConfig external_boundary_* fields; diagnostics; outer_closure_mode external_boundary_table; role-row loss logic; reporting fields; many unrelated AMX/UMX/TSWFC changes,edit minimally after reading current dirty file,yes
../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/README.md,modified,medium,dirty documentation already changed by earlier model-form work,edit only to document new file-facing dictionary contract,yes
../cfd-modeling-tools/tamu_first_order_model/Fluid/tests/test_solver_contracts.py,modified,medium,dirty diff already includes external_boundary_table tests and many unrelated AMX/UMX/TSWFC tests,avoid unless ScenarioConfig defaults or existing tests require update,conditional
../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/scenarios.yaml,modified,low_for_phase_c,large dirty scenario additions for AMX/UMX/TSWFC and smoke campaigns,do not claim for parser/API implementation,no
../cfd-modeling-tools/tamu_first_order_model/Fluid/configs/campaigns.yaml,modified,low_for_phase_c,large dirty campaign additions for diagnostics and smoke campaigns,do not claim for parser/API implementation,no
../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/reporting.py,modified,medium_later,external status shows dirty but Phase B did not name it; reporting provenance may become later smoke concern,do not claim in Phase C unless implementation proves reporting source labels cannot be emitted otherwise,no
../cfd-modeling-tools/tamu_first_order_model/Fluid/tamu_loop_model_v2/materials.py,modified,low,external status shows dirty but Phase B did not name it,do not claim,no
