source_id,base_case_id,fluid,variant_label,run_status,steady_window_status,latest_heat_time_s,priority,recommendation,rationale
val_salt_test_2_coarse_mesh_laminar,salt_test_2,hitec_salt,,running,usable_window,8602.0,medium,refresh direct validation against the current runtime snapshot,"The wall-heat tail is newer than the June 4 validation snapshot, so the TW comparison is slightly out of date for this case."
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1,hitec_salt_jin,jin,terminated,usable_window,3230.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1,hitec_salt_kirst,kirst,completed,usable_window,3279.163522,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2,hitec_salt_jin,jin,terminated,usable_window,2432.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2,hitec_salt_kirst,kirst,completed,usable_window,586.560241,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3,hitec_salt_jin,jin,terminated,usable_window,2515.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3,hitec_salt_kirst,kirst,terminated,usable_window,3298.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4,hitec_salt_jin,jin,terminated,usable_window,2083.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4,hitec_salt_kirst,kirst,terminated,usable_window,2984.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
val_water_test_1_coarse_mesh_laminar,water_test_1,water,,terminated,usable_window,5274.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
val_water_test_2_coarse_mesh_laminar,water_test_2,water,,terminated,usable_window,3985.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
val_water_test_3_coarse_mesh_laminar,water_test_3,water,,terminated,usable_window,3732.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
val_water_test_4_coarse_mesh_laminar,water_test_4,water,,terminated,usable_window,2542.0,low,no immediate rerun required for heat accounting,Current wall-heat history is sufficient for a first-pass steady-state heat partition audit.
