case_id,qoi_label,medium_value,fine_value,unit,fine_minus_medium,abs_rel_delta_to_fine,mesh_pair_status,gci_status,admission_status
salt_2,Q_wall_W,22.8478687451,22.8422194526,W,-0.0056492925,0.000247318020551,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_2,mdot_exchange_positive_outward_proxy_kg_s,1.49622488251e-05,7.65334993114e-06,kg/s,-7.30889889396e-06,0.954993428985,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_2,tau_recirc_proxy_s,1145.45960306,1510.14829669,s,364.68869363,0.241491974284,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_2,wall_core_bulk_temperature_contrast_K,-0.1004064855,-0.0658842092374,K,0.0345222762626,0.523984072393,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_3,Q_wall_W,25.0788018906,24.9533073412,W,-0.1254945494,0.00502917499809,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_3,mdot_exchange_positive_outward_proxy_kg_s,2.39956846835e-05,1.29999674138e-05,kg/s,-1.09957172697e-05,0.845826525536,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_3,tau_recirc_proxy_s,710.418453975,884.63546155,s,174.217007575,0.19693649548,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_3,wall_core_bulk_temperature_contrast_K,-0.109270675385,-0.0715350760441,K,0.0377355993409,0.527511836538,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_4,Q_wall_W,27.921527338,27.8257425756,W,-0.0957847624,0.0034423075014,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_4,mdot_exchange_positive_outward_proxy_kg_s,3.6153262506e-05,1.89178579103e-05,kg/s,-1.72354045957e-05,0.911065337176,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_4,tau_recirc_proxy_s,468.698019442,604.156819869,s,135.458800427,0.224211323902,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
salt_4,wall_core_bulk_temperature_contrast_K,-0.120803330011,-0.0790039027388,K,0.0417994272722,0.529080536824,medium_fine_pair_present_not_gci,fail_closed_missing_coarse_same_label_member,diagnostic_only_no_coefficient_admission
