source_label,source_path,exists,row_count,sha256,mutation_status
same_qoi_table,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/same_qoi_uq_admission_table.csv,true,83,17aa894dc9b081750c2017d533b808823b65880e0037d04ba4b8bd6fe8d6043a,read_only
same_qoi_gap_queue,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/uq_gap_queue.csv,true,83,dade6c28443859c5748f3977f06f5fae4f17ca8b0ab7929a613f3d277b6a2f0b,read_only
same_qoi_summary,work_products/2026-07/2026-07-21/2026-07-21_litrev_same_qoi_uq_execution/summary.json,true,not_csv,c7733c831b91ea1bf0601a3afb9482dfd8b3ca79ec050458ddfa5fec06be5b51,read_only
pressure_corner_recovery,work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv,true,3,0f861fdca801197f00c407d19074d0358733d99ca3b5b4682b8d309e84891ec8,read_only
pressure_corner_freeze,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_publication_freeze/canonical_pressure_corner_result.csv,true,3,a8e3af96dd34cc6f3d29d759401180aa3eb6020296e9140017d7e139a59fdb0b,read_only
pressure_corner_methods,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_publication_freeze/pressure_corner_methods_note.md,true,not_csv,4381040f45b6e37ccf864ed3a7cfc4496eb530c5695daa06f00be577bad9278b,read_only
pressure_plane_basis,work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_plane_basis_standardization/pressure_plane_basis_standardization.csv,true,460,e193f289afb08087110d62360685c6b133989c5de94ddb4a7ba11117ad86170f,read_only
two_tap_face_qref,work_products/2026-07/2026-07-20/2026-07-20_two_tap_face_qref_uq_progress/residual_uq_progress.csv,true,3,f1b07069f37f45ab35282000760e7fd2f86c5f76f48f74588778f8b2427a9238,read_only
f6_pair_preflight,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_pair_same_qoi_uq_preflight/endpoint_pair_selection.csv,true,6,a0e82bdba8fd5b79d82e43bfbda5723bc5f831afd9ddd60230f9d23516476e50,read_only
f6_face_matrix,work_products/2026-07/2026-07-20/2026-07-20_f6_endpoint_face_uq_execution/endpoint_face_sampling_matrix.csv,true,20,b36121eb6b1d5f7201d5b3638638f396f38b6124af73819c88aa9fcd44daefda,read_only
pressure_map,operational_notes/maps/pressure-and-momentum-budget.md,true,not_csv,4044155dc07f0195ffc6f1b8543d8eb16b97d4c971c2c2de87ffd4666d94d85a,read_only
