artifact,role,mutation_status,path
corrected_q_harvest_3295437_processing_status.csv,primary_status,read_only,work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/corrected_q_harvest_3295437_processing_status.csv
recommended_salt_split.csv,split_policy_context,read_only,work_products/2026-07/2026-07-14/2026-07-14_salt_cfd_training_evidence_inventory/recommended_salt_split.csv
README.md,workflow_context,read_only,work_products/2026-07/2026-07-14/2026-07-14_cfd_postprocess_admission_workflow_triage/README.md
README.md,forward_gate_context,read_only,work_products/2026-07/2026-07-14/2026-07-14_scientific_closure_forward_v1_execution_dashboard/README.md
wall_heat_flux_grouped.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_lo5q/salt2_jin_lo5q_corrected/aggregates/wall_heat_flux_grouped.csv
case_summary.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_lo5q/salt2_jin_lo5q_corrected/aggregates/case_summary.csv
postprocessing_case_long.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_lo5q/salt2_jin_lo5q_corrected/aggregates/postprocessing_case_long.csv
wall_heat_flux_grouped.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_hi5q/salt2_jin_hi5q_corrected/aggregates/wall_heat_flux_grouped.csv
case_summary.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_hi5q/salt2_jin_hi5q_corrected/aggregates/case_summary.csv
postprocessing_case_long.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_2_jin_corrected_q_hi5q/salt2_jin_hi5q_corrected/aggregates/postprocessing_case_long.csv
wall_heat_flux_grouped.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_lo5q/salt4_jin_lo5q_corrected/aggregates/wall_heat_flux_grouped.csv
case_summary.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_lo5q/salt4_jin_lo5q_corrected/aggregates/case_summary.csv
postprocessing_case_long.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_lo5q/salt4_jin_lo5q_corrected/aggregates/postprocessing_case_long.csv
wall_heat_flux_grouped.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_hi5q/salt4_jin_hi5q_corrected/aggregates/wall_heat_flux_grouped.csv
case_summary.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_hi5q/salt4_jin_hi5q_corrected/aggregates/case_summary.csv
postprocessing_case_long.csv,registry_aggregate_read_only,read_only,registry/extended_salt/corrected_salt_q_sensitivity/salt_test_4_jin_corrected_q_hi5q/salt4_jin_hi5q_corrected/aggregates/postprocessing_case_long.csv
