queue_id,case_key,gate_lane,current_status,why_it_matters,next_action,may_feed_forward_v1_now,guardrail
salt2_lo5q_split_policy,salt2_lo5q,cfd_admission_split,terminal_harvested_closure_fit_admissible_but_not_independent_training,Corrected +/-5Q expands operating-point evidence only if split discipline prevents leakage.,perturbation split-policy update plus BC-role and operating-point admission refresh,no,independent train/validation/holdout row before dated perturbation split policy
salt2_lo5q_boundary_hx_targets,salt2_lo5q,boundary_hx,heat_role_reduction_available,Final-window cooler removal mean is 129.533202767 W; useful as score target only.,carry heat-role targets into setup-only HX/BC scoring after split policy lands,no,do not use CFD cooler duty or wallHeatFlux as runtime input
salt2_lo5q_f6_onset_candidate,salt2_lo5q,hydraulic_or_upcomer_onset,candidate_evidence_pending_metric_extraction,+/-5Q rows may expand Re variation for F6 or onset if matched pressure/upcomer metrics are admitted.,extract/admit pressure and matched upcomer metrics before F6 or onset fitting,no,do not infer F6 or onset from terminal harvest alone
salt2_hi5q_split_policy,salt2_hi5q,cfd_admission_split,terminal_harvested_closure_fit_admissible_but_not_independent_training,Corrected +/-5Q expands operating-point evidence only if split discipline prevents leakage.,perturbation split-policy update plus BC-role and operating-point admission refresh,no,independent train/validation/holdout row before dated perturbation split policy
salt2_hi5q_boundary_hx_targets,salt2_hi5q,boundary_hx,heat_role_reduction_available,Final-window cooler removal mean is 143.168277117 W; useful as score target only.,carry heat-role targets into setup-only HX/BC scoring after split policy lands,no,do not use CFD cooler duty or wallHeatFlux as runtime input
salt2_hi5q_f6_onset_candidate,salt2_hi5q,hydraulic_or_upcomer_onset,candidate_evidence_pending_metric_extraction,+/-5Q rows may expand Re variation for F6 or onset if matched pressure/upcomer metrics are admitted.,extract/admit pressure and matched upcomer metrics before F6 or onset fitting,no,do not infer F6 or onset from terminal harvest alone
salt4_lo5q_split_policy,salt4_lo5q,cfd_admission_split,terminal_harvested_closure_fit_admissible_but_not_independent_training,Corrected +/-5Q expands operating-point evidence only if split discipline prevents leakage.,holdout-family use policy after model selection is frozen,no,independent train/validation/holdout row before dated perturbation split policy
salt4_lo5q_boundary_hx_targets,salt4_lo5q,boundary_hx,heat_role_reduction_available,Final-window cooler removal mean is 160.765473945 W; useful as score target only.,carry heat-role targets into setup-only HX/BC scoring after split policy lands,no,do not use CFD cooler duty or wallHeatFlux as runtime input
salt4_lo5q_f6_onset_candidate,salt4_lo5q,hydraulic_or_upcomer_onset,candidate_evidence_pending_metric_extraction,+/-5Q rows may expand Re variation for F6 or onset if matched pressure/upcomer metrics are admitted.,extract/admit pressure and matched upcomer metrics before F6 or onset fitting,no,do not infer F6 or onset from terminal harvest alone
salt4_hi5q_split_policy,salt4_hi5q,cfd_admission_split,terminal_harvested_closure_fit_admissible_but_not_independent_training,Corrected +/-5Q expands operating-point evidence only if split discipline prevents leakage.,holdout-family use policy after model selection is frozen,no,independent train/validation/holdout row before dated perturbation split policy
salt4_hi5q_boundary_hx_targets,salt4_hi5q,boundary_hx,heat_role_reduction_available,Final-window cooler removal mean is 177.688156227 W; useful as score target only.,carry heat-role targets into setup-only HX/BC scoring after split policy lands,no,do not use CFD cooler duty or wallHeatFlux as runtime input
salt4_hi5q_f6_onset_candidate,salt4_hi5q,hydraulic_or_upcomer_onset,candidate_evidence_pending_metric_extraction,+/-5Q rows may expand Re variation for F6 or onset if matched pressure/upcomer metrics are admitted.,extract/admit pressure and matched upcomer metrics before F6 or onset fitting,no,do not infer F6 or onset from terminal harvest alone
