source_id,source_path,access,purpose
claim_freeze_summary,work_products/2026-07/2026-07-21/2026-07-21_pressure_f6_publication_claim_freeze/summary.json,read_only,CAND-001 timeout disposition
f6_ready_candidate_refresh,work_products/2026-07/2026-07-21/2026-07-21_pressure_f6_low_recirc_source_readiness/candidate_terminal_refresh.csv,read_only,CAND-001 timeout disposition
f6_ready_sampler_go_no_go,work_products/2026-07/2026-07-21/2026-07-21_pressure_f6_low_recirc_source_readiness/sampler_go_no_go.csv,read_only,CAND-001 timeout disposition
f6_ready_source_refresh,work_products/2026-07/2026-07-21/2026-07-21_pressure_f6_low_recirc_source_readiness/source_case_readiness_refresh.csv,read_only,CAND-001 timeout disposition
f6_ready_summary,work_products/2026-07/2026-07-21/2026-07-21_pressure_f6_low_recirc_source_readiness/summary.json,read_only,CAND-001 timeout disposition
low_recirc_anchor_decision,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/anchor_decision.csv,read_only,CAND-001 timeout disposition
low_recirc_endpoint_fields,work_products/2026-07/2026-07-21/2026-07-21_pressure_corner_low_recirc_anchor_harvest/endpoint_field_availability.csv,read_only,CAND-001 timeout disposition
s14_summary,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s14_pressure_f6_nonrecirc_anchor_evidence/summary.json,read_only,CAND-001 timeout disposition
log_salt4_jin_q0500w_no_recirc_probe,jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/runs/salt4_jin_q0500w_no_recirc_probe/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_high_heat_bracket,read_only,confirm time-limit termination and last reported simulated time
log_salt4_jin_q1000w_no_recirc_probe,jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/runs/salt4_jin_q1000w_no_recirc_probe/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_high_heat_bracket,read_only,confirm time-limit termination and last reported simulated time
log_salt4_jin_q3x_no_recirc_probe,jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/runs/salt4_jin_q3x_no_recirc_probe/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_high_heat_probe,read_only,confirm time-limit termination and last reported simulated time
log_salt4_jin_q1500w_no_recirc_probe,jadyn_runs/modern_runs/2026-07-16_high_heat_no_recirc_probe/runs/salt4_jin_q1500w_no_recirc_probe/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation/logs/log.foamRun_high_heat_bracket,read_only,confirm time-limit termination and last reported simulated time
