candidate_id,field_name,field_class,current_status_after_timeout,required_before_use,admission_effect,source_paths
CAND-001,p,required_raw_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,p_rgh,required_raw_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,U,required_raw_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,rho,required_raw_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,T,required_raw_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,face_area,required_raw_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,face_normal,required_raw_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,delta_p_static,required_derived_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,delta_p_rgh,required_derived_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,hydrostatic_correction,required_derived_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,kinetic_correction,required_derived_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,local_dynamic_pressure,required_derived_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,RAF,required_derived_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,RMF,required_derived_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
CAND-001,SVF,required_derived_field,blocked_no_terminal_sampler,terminal_success; staged_copy_sampler; finite raw fields; RAF_RMF_SVF; same_QOI_UQ,no_F6_no_component_K_no_cluster_K,work_products/2026-07/2026-07-20/2026-07-20_two_tap_nonrecirc_anchor_plan/endpoint_sampling_contract.csv
