candidate_id,source_family,missing_field_or_basis,blocks_source_basis_release,blocks_repair_or_freeze,allowed_resolution,forbidden_resolution
PASSIVE-H2-CAND001,cooling_branch,trace area/coverage to setup geometry or a documented family envelope,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,cooling_branch,setup room/surroundings temperature source and role-vs-ledger reconciliation,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,cooling_branch,"characteristic_length, orientation details, insulation exposure, room airflow, ambient/surroundings basis",True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,cooling_branch,source-backed q-loss basis independent of Phase E fixed-state diagnostic estimate,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,cooling_branch,replace wallHeatFlux-derived passive h provenance with independent source basis,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,downcomer,trace area/coverage to setup geometry or a documented family envelope,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,downcomer,setup room/surroundings temperature source and role-vs-ledger reconciliation,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,downcomer,"characteristic_length, orientation details, insulation exposure, room airflow, ambient/surroundings basis",True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,downcomer,source-backed q-loss basis independent of Phase E fixed-state diagnostic estimate,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,downcomer,replace wallHeatFlux-derived passive h provenance with independent source basis,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,junction,trace area/coverage to setup geometry or a documented family envelope,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,junction,setup room/surroundings temperature source and role-vs-ledger reconciliation,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,junction,"characteristic_length, orientation details, insulation exposure, room airflow, ambient/surroundings basis",True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,junction,source-backed q-loss basis independent of Phase E fixed-state diagnostic estimate,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,junction,replace wallHeatFlux-derived passive h provenance with independent source basis,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,lower_leg,trace area/coverage to setup geometry or a documented family envelope,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,lower_leg,setup room/surroundings temperature source and role-vs-ledger reconciliation,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,lower_leg,"characteristic_length, orientation details, insulation exposure, room airflow, ambient/surroundings basis",True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,lower_leg,source-backed q-loss basis independent of Phase E fixed-state diagnostic estimate,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,lower_leg,replace wallHeatFlux-derived passive h provenance with independent source basis,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,upcomer,trace area/coverage to setup geometry or a documented family envelope,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,upcomer,setup room/surroundings temperature source and role-vs-ledger reconciliation,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,upcomer,"characteristic_length, orientation details, insulation exposure, room airflow, ambient/surroundings basis",True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,upcomer,source-backed q-loss basis independent of Phase E fixed-state diagnostic estimate,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
PASSIVE-H2-CAND001,upcomer,replace wallHeatFlux-derived passive h provenance with independent source basis,True,True,source-backed document/table/package row only,"diagnostic wallHeatFlux, validation-temperature, or global-multiplier fit"
