tier,rank,model_form,research_decision,current_gate_status,current_blocker,required_gate,next_executable_action,allowed_use_now,forbidden_use,primary_sources,evidence_path
1_anchor_first,1,Terminal anchor harvest and ordinary F6 gate,try_first,ordinary_anchors=0; blocked_pending_terminal=8,PM10/high-heat terminal harvest and full output-contract postprocessing missing,"RAF < 0.01, RMF < 0.01, same-window pressure loss, Re/Ri/properties, steady-window/UQ",Harvest high-heat and PM10 only after terminal; classify before fitting,readiness and gate planning,ordinary F6 fit from PM5 or non-terminal rows,AGENT-505 anchor-first refinement,work_products/2026-07/2026-07-17/2026-07-17_f6_anchor_first_refinement/anchor_gate_table.csv
1_hydraulic_candidate,2,F6 phi(Re) hydraulic friction candidate,try_after_anchor_gate,blocked_no_admitted_Re_variation_rows,f6-friction-re-correction; corrected-Q rows pending admission,Terminal corrected-Q admission plus pressure-loss validation,"After corrected-Q harvest admits rows, run F6 with pressure loss primary and mdot guardrail",candidate form definition and future scorecard shell,promotion without pressure-loss validation and holdout mdot guardrail,work_products/2026-07/2026-07-14/2026-07-14_h1_faithful_gap_and_f6_decision/README.md,work_products/2026-07/2026-07-14/2026-07-14_h1_faithful_gap_and_f6_decision/README.md
1_hydraulic_candidate,3,Reset-distance / redevelopment pressure loss,prepare_extraction_and_api,blocked_no_admitted_pressure_rows,component/cluster K has 0 fit-admissible rows; test-section connector raw extraction missing,Admitted component/cluster K rows plus Fluid reset/development API,"Implement raw two-tap connector extraction, then Fluid reset/development API",diagnostic/reset ledger and implementation planning,Do not assume long L/D proves fully developed flow,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/README.md,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/README.md
1_hydraulic_candidate,4,Named component/cluster/branch-apparent pressure losses,prepare_extraction_not_fit,blocked_0_fit_admissible_component_or_cluster_K_rows,raw two-tap connector extraction and admission missing,"admitted tap/plane pressure basis plus velocity basis, split, development, recovery, and UQ","Extract raw connector rows, admit component/cluster K, then score against F3",Use component/cluster/branch-apparent labels with source status,Do not export K without admitted tap/plane basis,Lin et al.; Patino-Jaramillo et al.; Salehi et al.; LitRev reset/named-loss gate,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_tap_length_admission_refresh/README.md
1_hydraulic_candidate,5,Recirculation-modeled section-effective loss / onset penalty,try_if_no_low_reverse_anchor,diagnostic_only_12_PM5_recirc_rows_0_scoreable,upcomer-onset-data-sparsity; matched extraction job pending,"same-window RAF/RMF/SVF, pressure residual movement, Delta T, Gz, mesh/time UQ, validation/holdout improvement","After terminal harvest, score named section-effective/onset penalty only if features and residual movement exist",Use section-effective/diagnostic labels,Do not fit or publish ordinary-pipe coefficient names,work_products/2026-07/2026-07-14/2026-07-14_upcomer_recirculation_internal_nu_admissibility/README.md,work_products/2026-07/2026-07-17/2026-07-17_f6_anchor_first_refinement/anchor_gate_table.csv
2_boundary_layer,6,Boundary-layer development toggles,diagnostic_ready_not_executable,segment_pressure_models=blocked(0); segment_thermal_models=partial(2); branch_specific_ordinary_pipe=blocked(0); upcomer_hybrid=diagnostic_only(1),segment pressure blocked; thermal partial; ordinary-pipe branch aggregate blocked; upcomer hybrid diagnostic only,admitted pressure/thermal closure rows before coupled ablation,Keep toggle contracts; wait for pressure/thermal admissions before runtime ablation,diagnostic scorecard and ablation contract,coupled score claim before prerequisite gates pass,boundary-layer development scorecard; Shah; Muzychka-Yovanovich,work_products/2026-07/2026-07-17/2026-07-17_predict_boundary_layer_development_scorecard/prerequisite_gate_scorecard.csv
2_sensitivity_diagnostic,7,Property-lane sensitivity before residual fitting,carry_in_every_scorecard,sensitivity_package_exists,active property lane must be declared before calibration,separate replication and updated-property modes in every fit/score table,Propagate property mode labels into all future hydraulic scorecards,sensitivity and uncertainty axis,mixing replication and updated properties inside one fitted residual,Reis Seo Hassan; Sohal; Jin; Parida/Basu; Santini,work_products/2026-07/2026-07-13/2026-07-13_litrev_property_sensitivity/README.md
2_sensitivity_diagnostic,8,Nonuniform heating and inclination diagnostics,metadata_diagnostic,not_encoded_in_branch_scorecards,not a blocker; incomplete metadata path,Branch orientation/heating-pattern metadata and wall heat-flux reconstruction,"Add g_parallel/g_perpendicular, wall heating pattern, and axial/circumferential heat-flux fields",diagnostic metadata and future stratification,active closure outside matched geometry/range/BC overlap,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md
3_future_method,9,Transient startup/freezing/oscillation model,future_only,outside_current_steady_scope,not active scope,Explicit thesis scope expansion to transient behavior,Define storage states and transient validation metrics only if transient scope is activated,thesis future-work note,steady closure calibration shortcut,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md
3_future_method,10,ROM/POD archive and reduced-order model,future_only,no_snapshot_validation_package,not active scope,Stable closure/admission rows and snapshot envelope,Define ROM state-vector metadata after closure tables stabilize,archive-design requirement,predictive ROM claim,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md,reports/2026-07/2026-07-13/2026-07-13_litrev_lessons_and_research_pathways/README.md
guardrail,99,One global friction multiplier,forbidden,rejected_by_litrev,not a valid model-form path,none; use separated pressure ledger instead,Use separated pressure ledger and named losses,Use separated pressure ledger and named losses,Do not tune one multiplier to close mdot,LitRev reset/named-loss gate,work_products/2026-07/2026-07-14/2026-07-14_hydraulic_reset_k_admission_contract/README.md
