source_id,case_id,span,uncertainty_term,qoi_family,status,value,units,basis,fit_impact
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,mesh_gci,L_m;D_h;section_means;f;K;Nu,not_quantified,,,TODO-MESH-UNCERTAINTY remains open; coarse mesh only in admitted package,paper_grade_bounds_blocked
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,time_window_uq,monitor_histories,quantified_from_quasi_steady_package,0.26718280106369635,native_qoi_units,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,carry_as_observation_uncertainty
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,station_placement_sensitivity,pressure_gradient,diagnostic_proxy,,fraction,early_vs_late_total_pressure_proxy_slope,large_values_flag_development_or_feature_contamination
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,pressure_averaging_method_sensitivity,section_mean_pressure,diagnostic_proxy,0.009600114306539953,1_minus_flow_alignment,single-leg mask flow-alignment from section-mean extraction,high_values_reduce_section_mean_confidence
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,local_dynamic_pressure_normalization,K,upper_bound_only,8.747643945836534,K,work_products/2026-07-08_minor_loss_two_tap/minor_loss_two_tap.csv,minor_loss_coefficients_not_closure_grade
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,development_model_form,development_loss,model_form_proxy_only,1.282016419920414,Pa,Shah_minus_F1 proxy; station relaxation rows provide diagnostic challenge,do_not_tune_as_settled_loss_without_development_validation
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,mesh_gci,L_m;D_h;section_means;f;K;Nu,not_quantified,,,TODO-MESH-UNCERTAINTY remains open; coarse mesh only in admitted package,paper_grade_bounds_blocked
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,time_window_uq,monitor_histories,quantified_from_quasi_steady_package,0.26718280106369635,native_qoi_units,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,carry_as_observation_uncertainty
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,station_placement_sensitivity,pressure_gradient,diagnostic_proxy,,fraction,early_vs_late_total_pressure_proxy_slope,large_values_flag_development_or_feature_contamination
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,right_leg,pressure_averaging_method_sensitivity,section_mean_pressure,diagnostic_proxy,3.3836389756736196e-07,1_minus_flow_alignment,single-leg mask flow-alignment from section-mean extraction,high_values_reduce_section_mean_confidence
