case_key,case_dir,q_ratio,target_heater_power_W,target_heater_patch_Q_W,restart_time_s,config_ok,root_field_ok,processor_field_ok,overall_ok,config_mismatches,root_mismatches,processor_mismatches,processor_blocks,processor_frame_error_count,notes
salt1_jin_lo10q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,0.90,209.07,69.69,5418,True,True,True,True,,,,64,0,
salt1_jin_hi10q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,1.10,255.53,85.1766666667,4010.590361446,True,True,True,True,,,,64,0,
salt2_jin_lo10q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,0.90,239.13,79.71,9411,True,True,True,True,,,,64,0,
salt2_jin_lo5q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,0.95,252.415,84.1383333333,9413,True,True,True,True,,,,64,0,
salt2_jin_hi5q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,1.05,278.985,92.995,9094,True,True,True,True,,,,64,0,
salt2_jin_hi10q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,1.10,292.27,97.4233333333,9025,True,True,True,True,,,,64,0,
salt3_jin_lo10q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,0.90,267.75,89.25,8762,True,True,True,True,,,,64,0,
salt3_jin_lo5q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,0.95,282.625,94.2083333333,8742,True,True,True,True,,,,64,0,
salt3_jin_hi5q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1.05,312.375,104.125,7639,True,True,True,True,,,,64,0,
salt3_jin_hi10q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,1.10,327.25,109.083333333,7637,True,True,True,True,,,,64,0,
salt4_jin_lo10q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,0.90,303.84,101.28,11031,True,True,True,True,,,,64,0,
salt4_jin_lo5q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,0.95,320.72,106.906666667,11066,True,True,True,True,,,,64,0,
salt4_jin_hi5q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,1.05,354.48,118.16,10867,True,True,True,True,,,,64,0,
salt4_jin_hi10q_corrected,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt4_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,1.10,371.36,123.786666667,10955,True,True,True,True,,,,64,0,
