checked_at,category,item,value,source_path,interpretation
2026-07-09T16:30:41-05:00,case,case_key,salt1_jin_nominal_continuation_corrected,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/manifest.csv,Corrected Salt1 nominal continuation staged from June 25 base continuation.
2026-07-09T16:30:41-05:00,case,source_restart_time_s,4026.15625,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/manifest.csv,Continuation starts from retained parent state.
2026-07-09T16:30:41-05:00,case,target_end_time_s,10000,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/manifest.csv,Terminal admission cannot be evaluated until the run exits or writes an accepted terminal window.
2026-07-09T16:30:41-05:00,control,stopAt,endTime,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/system/controlDict,Run is configured to continue to endTime rather than monitor-stop early.
2026-07-09T16:30:41-05:00,control,endTime,10000,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/system/controlDict,Configured target remains beyond current live horizon.
2026-07-09T16:30:41-05:00,log,log_lines,3416795,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_salt1_nominal_continuation,Large active OpenFOAM log; inspected read-only.
2026-07-09T16:30:41-05:00,log,time_records,155295,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_salt1_nominal_continuation,Run is actively advancing.
2026-07-09T16:30:41-05:00,log,latest_time,Time = 4996.6625s,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_salt1_nominal_continuation,Current solver time is far short of configured endTime 10000.
2026-07-09T16:30:41-05:00,log,latest_execution,ExecutionTime = 96335.2216 s  ClockTime = 97291 s,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_salt1_nominal_continuation,Consistent with long live run.
2026-07-09T16:30:41-05:00,log,latest_courant,Courant Number mean: 0.0799473205 max: 0.999294798,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_salt1_nominal_continuation,Current Courant max remains just below configured maxCo 1.
2026-07-09T16:30:41-05:00,log,fatal_marker_counts,FOAM FATAL=0;Fatal=0;fatal=0;FOAM exiting=0;Segmentation=0;Floating point=0;MPI_ABORT=0;SIGSEGV=0;SIGFPE=0;CANCELLED=0;cancelled=0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_salt1_nominal_continuation,No fatal/cancel markers found at live inspection.
2026-07-09T16:30:41-05:00,monitor,diagnostic_trigger,iteration 662700; dTmean=1.67129068e-05; dTsigma=9.76646245e-05; dUmean=2.333543e-05; tol=0.0001,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_salt1_nominal_continuation,Diagnostic convergence criterion fired but did not stop the solver.
2026-07-09T16:30:41-05:00,monitor,diagnostic_policy,continuing to configured endTime; qualification handled by post-run operating-point and time-window gates,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/system/functions,Monitor behavior matches corrected Salt1 policy.
2026-07-09T16:30:41-05:00,postProcessing,total_Q.dat,rows=970; first_time=4027.0; last_time=4996.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/total_Q.dat,Heat monitor exists through current live horizon but is not terminal.
2026-07-09T16:30:41-05:00,postProcessing,velocity_profiles,dirs=971; min_time=4026.15625; max_time=4996.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/velocity_profiles,Profile output is being written during continuation.
2026-07-09T16:30:41-05:00,postProcessing,wallHeatFlux,dirs=1; min_time=4027.0; max_time=4027.0,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux,Only initial post-restart wallHeatFlux directory visible in this live snapshot.
