case_key,display_label,salt_family,variant,split_role,admission_status,group,quantity_label,series_role,series_name,unit,n_window,t_start,t_end,dt_median,window_seconds,osc_mean,osc_minimum,osc_maximum,osc_peak_to_peak,osc_rmse_about_mean,osc_var_about_mean,osc_rmse_about_trend,osc_var_about_trend,osc_cov,fit_slope,fit_intercept,fit_r2,fit_slope_se,fit_t_stat,rel_drift_over_window,drift_ratio,near_zero_mean,trend_resolved,unc_tau_int,unc_n_eff,unc_sem_naive,unc_sem_corrected,unc_rel_sem_naive,unc_rel_sem_corrected,verdict,postprocessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,temperature,TP,individual,probe 0 (0.887519 0.70409 0),K,301,7584,7884,1,300,431.717171,431.717171,431.717171,0,2.50111043e-12,6.255553382e-24,2.50111043e-12,6.255553382e-24,5.793400397e-15,0,431.717171,0,1.664653305e-15,0,0,0,false,false,1,301,1.441616085e-13,1.441616085e-13,3.339260475e-16,3.339260475e-16,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,temperature,TP,individual,probe 1 (0.887519 -0.245426 0),K,301,7584,7884,1,300,424.408826,424.408826,424.408826,0,8.526512829e-13,7.270142103e-25,8.526512829e-13,7.270142103e-25,2.009032873e-15,0,424.408826,0,5.674954448e-16,0,0,0,false,false,1,301,4.914600291e-14,4.914600291e-14,1.157987297e-16,1.157987297e-16,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,temperature,TP,individual,probe 2 (-0 0 0),K,301,7584,7884,1,300,421.603563,421.603563,421.603563,0,2.160049917e-12,4.665815643e-24,2.160049917e-12,4.665815643e-24,5.123414758e-15,0,421.603563,0,1.437655127e-15,0,0,0,false,false,1,301,1.245032074e-13,1.245032074e-13,2.953087172e-16,2.953087172e-16,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,temperature,TP,individual,probe 3 (-0 0.323501 0),K,301,7584,7884,1,300,430.133445,430.133445,430.133445,0,4.547473509e-13,2.067951531e-25,4.547473509e-13,2.067951531e-25,1.057223883e-15,0,430.133445,0,3.026642372e-16,0,0,0,false,false,1,301,2.621120155e-14,2.621120155e-14,6.093737155e-17,6.093737155e-17,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,temperature,TP,individual,probe 4 (-0 0.574779 0),K,301,7584,7884,1,300,431.24751,431.24751,431.24751,0,9.094947018e-13,8.271806126e-25,9.094947018e-13,8.271806126e-25,2.108985399e-15,0,431.24751,0,6.053284745e-16,0,0,0,false,false,1,301,5.242240311e-14,5.242240311e-14,1.215598975e-16,1.215598975e-16,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,temperature,TP,individual,probe 5 (-0 0.949515 0),K,301,7584,7884,1,300,433.180736,433.180736,433.180736,0,2.273736754e-12,5.169878828e-24,2.273736754e-12,5.169878828e-24,5.248933218e-15,0,433.180736,0,1.513321186e-15,0,0,0,false,false,1,301,1.310560078e-13,1.310560078e-13,3.02543481e-16,3.02543481e-16,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,temperature,TP,representative,TP spatial mean,K,301,7584,7884,1,300,428.7152085,428.7152085,428.7152085,0,1.250555215e-12,1.563888346e-24,1.250555215e-12,1.563888346e-24,2.91698356e-15,0,428.7152085,0,8.323266524e-16,0,0,0,false,false,1,301,7.208080427e-14,7.208080427e-14,1.681321372e-16,1.681321372e-16,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,wall_temperature,TW,individual,probe 0 (0.44376 0.826803 -0.010497),K,301,7584,7884,1,300,423.783895,423.783895,423.783895,0,4.547473509e-13,2.067951531e-25,4.547473509e-13,2.067951531e-25,1.073064258e-15,0,423.783895,0,3.026642372e-16,0,0,0,false,false,1,301,2.621120155e-14,2.621120155e-14,6.18503956e-17,6.18503956e-17,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,wall_temperature,TW,individual,probe 1 (0.44376 0.816306 0),K,301,7584,7884,1,300,409.510929,409.510929,409.510929,0,2.614797268e-12,6.837164751e-24,2.614797268e-12,6.837164751e-24,6.385170901e-15,0,409.510929,0,1.740319364e-15,0,0,0,false,false,1,301,1.507144089e-13,1.507144089e-13,3.680351323e-16,3.680351323e-16,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
salt1_nominal,salt1_jin_nominal_continuation_corrected,salt1,nominal,canonical_forward_train,user_requested_forward_train_reporting_row,wall_temperature,TW,individual,probe 2 (0.44376 0.826803 0.010497),K,301,7584,7884,1,300,423.78391,423.78391,423.78391,0,1.47792889e-12,2.184273805e-24,1.47792889e-12,2.184273805e-24,3.487458715e-15,0,423.78391,0,9.83658771e-16,0,0,0,false,false,1,301,8.518640505e-14,8.518640505e-14,2.010137786e-16,2.010137786e-16,steady,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/postProcessing
