path,role,exists,native_output_mutated
reports/thesis_dossier/Chapters_and_sections/current/06_intermediate_model_forms_and_endpoint_strategy.md,read_only_input,True,no
reports/thesis_dossier/Outline.md,read_only_input,True,no
reports/thesis_dossier/Chapters_and_sections/current/02_model_form_fluid_walls.md,read_only_input,True,no
reports/thesis_dossier/Chapters_and_sections/current/03_split_policy_and_evidence_classes.md,read_only_input,True,no
reports/thesis_dossier/Chapters_and_sections/current/05_junction_aware_ledgers.md,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/split_legal_case_table.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/case_partition_contract.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/metric_contract.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_final_predictive_scorecard_shell/summary.json,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/summary.json,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_val_salt2_external_score_and_unlock_progress/val_salt2_prediction_join_contract.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_val_salt2_pressure_evidence_corner_k_diagnosis/summary.json,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_wall_passive_test_section_admission_closeout/summary.json,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_wall_passive_test_section_admission_closeout/admission_decision_matrix.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_wall_passive_test_section_admission_closeout/failure_mode_evidence.csv,read_only_input,True,no
work_products/2026-07/2026-07-16/2026-07-16_predictive_boundary_submodel_admission/submodel_admission_summary.csv,read_only_input,True,no
work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m2_m3_comparators.csv,read_only_input,True,no
work_products/2026-07/2026-07-16/2026-07-16_coupled_m3ts_test_section_scorecard/m3ts_coupled_scorecard.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/model_form_contracts.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/model_form_scores.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/model_form_costs.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/model_form_failure_modes.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/thesis_claim_ledger.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/runtime_leakage_audit.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/source_manifest.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/summary.json,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_thesis_endpoint_model_form_bakeoff/README.md,generated_output,True,no
