source_id,case_id,mesh_level,family,family_exists,segment_count,file_count,first_segment_start_s,last_segment_start_s,latest_file_count,notes
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,mdot_pipeleg_left_04_test_section,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,mdot_pipeleg_lower_05_straight,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,mdot_pipeleg_right_02_middle,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,mdot_pipeleg_upper_05_cooler,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,wallHeatFlux,yes,1,1,1.0,1.0,1,full_restart_segments_available
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,yPlus,yes,1,1,1.0,1.0,1,full_restart_segments_available
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,temperature_probes,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,wall_temperature_probes,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_2_jin_coarse_mesh_external_20260707,salt_test_2_jin,coarse,velocity_profiles,yes,2433,14598,0.0,2432.0,6,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,mdot_pipeleg_left_04_test_section,yes,2,2,0.0,441.0,1,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,mdot_pipeleg_lower_05_straight,yes,2,2,0.0,441.0,1,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,mdot_pipeleg_right_02_middle,yes,2,2,0.0,441.0,1,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,mdot_pipeleg_upper_05_cooler,yes,2,2,0.0,441.0,1,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,wallHeatFlux,yes,2,2,1.0,442.0,1,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,yPlus,yes,2,2,1.0,442.0,1,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,temperature_probes,yes,2,2,0.0,441.0,1,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,wall_temperature_probes,yes,2,2,0.0,441.0,1,full_restart_segments_available
salt_test_2_jin_medium_mesh_external_20260707,salt_test_2_jin,medium,velocity_profiles,yes,521,3126,0.0,518.93359375,6,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,mdot_pipeleg_left_04_test_section,yes,3,3,0.0,350.0,1,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,mdot_pipeleg_lower_05_straight,yes,3,3,0.0,350.0,1,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,mdot_pipeleg_right_02_middle,yes,3,3,0.0,350.0,1,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,mdot_pipeleg_upper_05_cooler,yes,3,3,0.0,350.0,1,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,wallHeatFlux,yes,3,3,1.0,351.0,1,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,yPlus,yes,3,3,1.0,351.0,1,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,temperature_probes,yes,3,3,0.0,350.0,1,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,wall_temperature_probes,yes,3,3,0.0,350.0,1,full_restart_segments_available
salt_test_2_jin_fine_mesh_external_20260707,salt_test_2_jin,fine,velocity_profiles,yes,401,2406,0.0,399.408415842,6,full_restart_segments_available
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,mdot_pipeleg_left_04_test_section,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,mdot_pipeleg_lower_05_straight,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,mdot_pipeleg_right_02_middle,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,mdot_pipeleg_upper_05_cooler,yes,1,1,0.0,0.0,1,full_restart_segments_available
salt_test_4_jin_coarse_mesh_external_20260707,salt_test_4_jin,coarse,wallHeatFlux,yes,1,1,1.0,1.0,1,full_restart_segments_available
