case_id,source_id,span,flow_dir,T_s00_bulk_k,T_s00_fwd_bulk_k,T_s00_recirc_ratio,T_s02_bulk_k,T_s04_bulk_k,T_s04_fwd_bulk_k,T_s04_recirc_ratio,n_masked_s00,n_masked_s04,status_s00,status_s04,T_in_bulk_k,T_out_bulk_k,delta_T_flow_dir_k,q_wall_w,mdot_implied_kgs,enthalpy_change_w
salt_2_jin,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,s04_to_s00,459.7208256018823,457.32003987839795,0.2866041143462343,441.8864064683068,444.3718466472832,444.3718466472832,0.0,1380,3142,ok,ok,444.3718466472832,459.7208256018823,15.348978954599147,nan,nan,nan
salt_2_jin,viscosity_screening_salt_test_2_jin_coarse_mesh,left_lower_leg,s00_to_s04,554.7208925500171,455.87377149658425,0.8959287264138265,831.3643335846831,1011.8050035883939,455.9860432437981,0.980419469422151,1152,1152,ok,ok,455.87377149658425,455.9860432437981,0.11227174721386746,nan,nan,nan
salt_2_jin,viscosity_screening_salt_test_2_jin_coarse_mesh,test_section_span,s00_to_s04,387.0105086645391,445.21452813126365,0.8487041910267907,378.9549120960793,371.6236581484795,444.8460118703295,0.8668665681904153,1036,1036,ok,ok,445.21452813126365,444.8460118703295,-0.36851626093414325,nan,nan,nan
salt_2_jin,viscosity_screening_salt_test_2_jin_coarse_mesh,left_upper_leg,s00_to_s04,383.0585353937859,445.81797846331574,0.8696790496221537,445.7507463495657,453.3493291711956,453.39984382714556,0.029422740161880994,1152,2592,ok,ok,445.81797846331574,453.3493291711956,7.531350707879881,nan,nan,nan
salt_2_jin,viscosity_screening_salt_test_2_jin_coarse_mesh,upper_leg,s00_to_s04,447.8750986823765,447.8750986823765,0.0,463.96233380400326,444.61867914795056,445.8559176762131,0.2584021108639461,226,1360,ok,ok,447.8750986823765,444.61867914795056,-3.2564195344259588,nan,nan,nan
salt_2_jin,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,s04_to_s00,450.2648629308779,450.0481213490184,0.03476571153510808,923.9479552087203,414.03178619741095,445.6408887171927,0.7627300796028983,2592,1152,ok,ok,445.6408887171927,450.2648629308779,4.623974213685187,nan,nan,nan
salt_3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg,s04_to_s00,472.9876348762764,470.3450840765591,0.2976884954897857,454.18844483981957,457.19808018490505,457.19808018490505,0.0,1380,3142,ok,ok,457.19808018490505,472.9876348762764,15.789554691371336,nan,nan,nan
salt_3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh,left_lower_leg,s00_to_s04,556.0865069955194,468.83638847397117,0.8818778331839761,1307.3103221681076,-845.7891853504457,457.53014975934985,0.9913683616331346,1152,1152,ok,ok,468.83638847397117,457.53014975934985,-11.306238714621315,nan,nan,nan
salt_3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh,test_section_span,s00_to_s04,414.4229597895488,457.77171771844064,0.8055609225758721,406.5070636637496,394.21856366668345,457.4481262376713,0.8463342937172442,1036,1036,ok,ok,457.77171771844064,457.4481262376713,-0.3235914807693234,nan,nan,nan
salt_3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh,left_upper_leg,s00_to_s04,283.76002186164044,458.07074795693495,0.9464643722896338,458.59847717001827,466.08343169320443,466.13072391076975,0.029052585410735646,1152,2592,ok,ok,458.07074795693495,466.08343169320443,8.01268373626948,nan,nan,nan
salt_3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh,upper_leg,s00_to_s04,460.9897411862512,460.9897411862512,0.0,477.50664116471364,457.09688817323513,458.5747994477743,0.2799756286012308,204,1360,ok,ok,460.9897411862512,457.09688817323513,-3.8928530130160652,nan,nan,nan
salt_3_jin,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,s04_to_s00,463.1720817345711,462.9688513553371,0.032099011547378084,9183.249053072064,289.09050685315685,458.00655525896104,0.944413594016386,2592,1152,ok,ok,458.00655525896104,463.1720817345711,5.165526475610079,nan,nan,nan
salt_4_jin,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg,s04_to_s00,488.990675354162,486.0073332321044,0.30968746005575665,468.87031235069895,472.54971871177935,472.54971871177935,0.0,1380,3142,ok,ok,472.54971871177935,488.990675354162,16.440956642382673,nan,nan,nan
salt_4_jin,viscosity_screening_salt_test_4_jin_coarse_mesh,left_lower_leg,s00_to_s04,552.6076882421615,484.3386346363064,0.8505291947390542,1133.0823085636923,-115.51448738748958,472.8411183204961,0.9808642853135434,1152,1152,ok,ok,484.3386346363064,472.8411183204961,-11.497516315810287,nan,nan,nan
salt_4_jin,viscosity_screening_salt_test_4_jin_coarse_mesh,test_section_span,s00_to_s04,434.3718005490445,472.7147675927725,0.7820014117423048,424.927464969578,412.05635677328644,472.810859176783,0.8405563199829567,1036,1036,ok,ok,472.7147675927725,472.810859176783,0.09609158401053719,nan,nan,nan
salt_4_jin,viscosity_screening_salt_test_4_jin_coarse_mesh,left_upper_leg,s00_to_s04,370.4316591084607,473.1218852438507,0.9113942896598691,474.0322957288328,481.32144380436006,481.36613691038855,0.028461328746126544,1152,2592,ok,ok,473.1218852438507,481.32144380436006,8.199558560509331,nan,nan,nan
salt_4_jin,viscosity_screening_salt_test_4_jin_coarse_mesh,upper_leg,s00_to_s04,476.5528258491153,476.5528258491153,0.0,493.68513923439565,471.934158757184,473.7049753488312,0.29847771615622204,266,1360,ok,ok,476.5528258491153,471.934158757184,-4.618667091931343,nan,nan,nan
salt_4_jin,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,s04_to_s00,478.565523856329,478.37225664723235,0.030838455823484164,-6659.035929773918,369.8444710980026,473.04245782658813,0.9110276713924669,2592,1152,ok,ok,473.04245782658813,478.565523856329,5.523066029740846,nan,nan,nan
