T_section_mean_k,backflow_area_fraction,flow_alignment,label,n_masked,nondim_available,recirculation_intensity,rho_section_mean_kg_m3,source_id,span,status,u_bulk_m_s
440.6809693094289,0.0,0.8983876043539973,TP2,1506,False,-0.0,1963.2214773970784,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,analyzed,0.007482497485184204
448.8088120601852,0.0,0.9924036024825308,TW4,648,False,-0.0,1957.1280334722221,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,analyzed,0.013681951487561267
452.8379755277777,0.0,0.99039988569346,TW5,576,False,-0.0,1954.1073696354167,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,analyzed,0.013904507395287057
455.82671805864203,0.0,0.9906557372336445,TW6,648,False,-0.0,1951.866709521605,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,analyzed,0.014033838108701123
443.5641336909789,0.4990403071017274,0.8971511898611693,TP3,1042,False,0.03644749208969758,1961.0599690019194,viscosity_screening_salt_test_2_jin_coarse_mesh,right_leg,analyzed,0.009205534652139316
453.6731855564409,0.0,0.9226638640539094,TP2,1506,False,-0.0,1953.4812126892432,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg,analyzed,0.008933716272254604
461.6986342993828,0.0,0.9922755490229902,TW4,648,False,-0.0,1947.4645339351853,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,analyzed,0.015588062481123825
465.7626334184028,0.0,0.9914979615756111,TW5,576,False,-0.0,1944.4177539062503,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,analyzed,0.01580082764021206
468.8143842546296,0.0,0.9904891572861731,TW6,648,False,-0.0,1942.1298561265432,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,analyzed,0.016010487530218297
456.5062959702495,0.4932821497120921,0.8995951636002237,TP3,1042,False,0.03407452483566309,1951.35722987524,viscosity_screening_salt_test_3_jin_coarse_mesh,right_leg,analyzed,0.01050420339270763
468.8272936699867,0.05245683930942895,0.9026392754449811,TP2,1506,False,0.0013504118165626744,1942.1201778486056,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg,analyzed,0.010080739036001988
477.59445878858014,0.0,0.9922647418713084,TW4,648,False,-0.0,1935.5474340895064,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,analyzed,0.017992773927464758
481.32463169791663,0.0,0.9914614367332937,TW5,576,False,-0.0,1932.7509236284725,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,analyzed,0.018156466391142503
484.27636281018516,0.0,0.990431252394991,TW6,648,False,-0.0,1930.538010817901,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,analyzed,0.01837575908700491
472.00123646545103,0.491362763915547,0.8979079858735457,TP3,1042,False,0.03158914532655521,1939.740673119002,viscosity_screening_salt_test_4_jin_coarse_mesh,right_leg,analyzed,0.012003041614804344
