frozen_case_label,source_id,sensor,kind,reference_k,time_sample_count,bulk_proxy_k,wall_proxy_k,reference_source_field
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TP1,TP,456.23397797692303,10,458.9264086848858,454.7388063392127,t_core_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TP2,TP,451.293195323077,10,450.49930665983254,445.6829804835262,t_core_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TP3,TP,452.68838296615377,10,459.45933600505595,451.1044779072433,t_core_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TP4,TP,454.93655372307694,10,460.1193890210881,457.60974759536265,t_core_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TP5,TP,455.8548738307692,10,459.6104054738328,455.65400512599854,t_core_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TP6,TP,457.1506776846154,10,nan,nan,t_core_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW1,TW,472.91810159853696,5,453.4454337995594,472.91810159853696,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW2,TW,468.50447576694796,5,451.36661008756755,468.50447576694796,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW3,TW,446.5588947752787,5,449.8092293930184,446.5588947752787,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW4,TW,447.36395536597286,5,460.59659281984676,447.36395536597286,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW5,TW,447.80597166825055,5,460.1090864344202,447.80597166825055,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW6,TW,448.47872271214493,5,459.8312015609924,448.47872271214493,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW7,TW,457.0594540183341,5,460.16247254095,457.0594540183341,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW8,TW,456.41789644815145,5,459.4404234735228,456.41789644815145,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW9,TW,441.72240098738337,5,451.9838897349863,441.72240098738337,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW10,TW,438.89524527774245,5,454.95724482330377,438.89524527774245,t_wall_area_avg_k
Salt 2 Val,val_salt_test_2_coarse_mesh_laminar,TW11,TW,450.3206073978441,5,458.1809641278214,450.3206073978441,t_wall_area_avg_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TP1,TP,431.54809989182695,8,436.0608869903351,431.6719688396599,t_core_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TP2,TP,425.01881331730766,8,426.31529710023494,422.0552606449367,t_core_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TP3,TP,428.20565521153844,8,436.4436078217899,425.3178623181339,t_core_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TP4,TP,430.85402488461534,8,436.8574154218567,433.0691802626607,t_core_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TP5,TP,431.7953534903846,8,436.5962136035511,432.05204288220557,t_core_k
Salt 1 Jin,viscosity_screening_salt_test_1_jin_coarse_mesh,TP6,TP,433.21031838461545,8,nan,nan,t_core_k
