source_id,path,read_or_generated,role,exists
predictive_validation_split,work_products/2026-07/2026-07-13/2026-07-13_predictive_validation_split/admission_split_table.csv,read_only_input,"split/admission policy for Salt2 train, Salt3 validation, Salt4 holdout",True
thermal_boundary_patch_role_table,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,read_only_input,"mainline patch-level BC roles, h/Ta/Tsur/emissivity, wallHeatFlux provenance",True
thermal_boundary_role_summary,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/patch_role_area_heat_summary.csv,read_only_input,role-level boundary summary for mainline cases,True
salt1_terminal_harvest_admission,work_products/2026-07/2026-07-13/2026-07-13_salt1_terminal_harvest_admission_review/admission_decision_table.csv,read_only_input,Salt1 terminal context-only admission decision,True
salt1_final_window_metrics,work_products/2026-07/2026-07-13/2026-07-13_stopped_sbatch_steady_state_decisions/final_window_metrics.csv,read_only_input,Salt1/Salt4 final-window stationarity metrics,True
corrected_q_latest_time_status,work_products/2026-07/2026-07-13/2026-07-13_corrected_q_latest_time_refresh/all_corrected_q_status_table.csv,read_only_input,all corrected-Q latest-time admission status before live continuation,True
corrected_q_live_terminal_gate,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/corrected_q_terminal_gate_rows.csv,read_only_input,live job 3293924 case-level pending terminal rows,True
corrected_q_live_summary,work_products/2026-07/2026-07-14/2026-07-14_corrected_q_terminal_admission_gate/summary.json,read_only_input,live job 3293924 top-level scheduler/admission summary,True
corrected_q_runtime_preflight,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/logs/selected_runtime_preflight_3293924.csv,read_only_input,selected job 3293924 runtime preflight and corrected heater values,True
corrected_q_manifest,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/corrected_case_manifest.csv,read_only_input,corrected-Q target heater/cooler values and case paths,True
cfd_runs_admission_map,operational_notes/maps/cfd-runs-and-admission.md,read_only_input,current CFD run admission policy,True
thermal_boundary_radiation_map,operational_notes/maps/thermal-boundary-and-radiation.md,read_only_input,radiation semantics for rcExternalTemperature,True
run_classification_policy,operational_notes/06-26/30/2026-06-30_run_classification_policy.md,read_only_input,Kirst/mainline/perturbation classification policy,True
corrected_q_live_journal,.agent/journal/2026-07-14/corrected-salt-q-live-job-admission.md,read_only_input,live corrected-Q monitoring caveats,True
salt_2_case_root,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,native_solver_output_read_only,case root / solver output tree; not mutated,True
salt_3_case_root,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,native_solver_output_read_only,case root / solver output tree; not mutated,True
salt_4_case_root,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt4_jin/case_stage/viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,native_solver_output_read_only,case root / solver output tree; not mutated,True
salt1_nominal_case_root,jadyn_runs/modern_runs/2026-07-08_salt1_nominal_continuation_candidate/runs/salt1_jin_nominal_continuation_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,native_solver_output_read_only,case root / solver output tree; not mutated,True
salt1_lo10q_case_root,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,native_solver_output_read_only,case root / solver output tree; not mutated,True
salt1_hi10q_case_root,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,native_solver_output_read_only,case root / solver output tree; not mutated,True
salt1_kirst_continuation_candidate_case_root,jadyn_runs/salt1/2026-06-05_targeted_campaign/kirst_continuation_candidate/case_stage/viscosity_screening_salt_test_1_kirst_coarse_mesh_continuation,native_solver_output_read_only,case root / solver output tree; not mutated,True
