fitting_id,fitting_cluster_id,branch_or_segment_location,adjacent_spans,geometry_class,fitting_type,flow_mode,known_dimensions,resolved_location_status,dimension_recovery_status,pressure_bracketing_status,physical_map_next_step,admission_status
FIT-CORNER-LOWER-LEFT,CLUSTER-CORNER-LOWER-LEFT,heater outlet to lower upcomer inlet,lower_leg;left_lower_leg,90_deg_loop_corner_bend_or_close_coupled_corner,bend;junction,through_with_recirculation_adjacent,D_up_m=0.030;D_down_m=0.030;area_ratio_A_down_over_A_up=1.0,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,basis_recovery_and_recirc_gate_before_any_component_or_cluster_review,no_coefficient_admission
FIT-CORNER-LOWER-RIGHT,CLUSTER-CORNER-LOWER-RIGHT,heater inlet from downcomer,lower_leg;right_leg,90_deg_loop_corner_bend_or_close_coupled_corner,bend;junction,through_with_material_reverse_flow_in_current_endpoint_rows,D_up_m=0.030;D_down_m=0.030;area_ratio_A_down_over_A_up=1.0,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,finite_static_hydrostatic_kinetic_endpoint_basis_but_material_reverse_flow_missing_same_qoi_UQ,use nonrecirculating same-topology anchor for ordinary K contrast or recirc residual scorer for section-effective lane,no_coefficient_admission
FIT-CORNER-UPPER-RIGHT,CLUSTER-CORNER-UPPER-RIGHT,downcomer inlet from cooler,right_leg;upper_leg,90_deg_loop_corner_bend_or_close_coupled_corner,bend;junction,through,D_up_m=0.030;D_down_m=0.030;area_ratio_A_down_over_A_up=1.0,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,recover pressure/velocity basis and component isolation before any cluster_K review,no_coefficient_admission
FIT-CORNER-UPPER-LEFT,CLUSTER-CORNER-UPPER-LEFT,cooler outlet to upper upcomer,upper_leg;left_upper_leg,90_deg_loop_corner_bend_or_close_coupled_corner,bend;junction,through_with_recirculation_adjacent,D_up_m=0.030;D_down_m=0.030;area_ratio_A_down_over_A_up=1.0,resolved_by_geometry_reference_span_pair,partial_D_and_span_pair_known_bend_radius_part_number_recovery_length_missing,diagnostic_corner_basis_only_CFD08_CFD12_CFD17_still_block_component_review,basis_recovery_and_recirc_gate_before_any_component_or_cluster_review,no_coefficient_admission
FIT-QUARTZ-LOWER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,lower upcomer to quartz/test-section inlet,left_lower_leg;test_section_span,30mm_to_20p9mm_quartz_contraction_or_reducer_transition,quartz_transition;contraction;reducer,through_inside_recirculating_upcomer,D_up_m=0.030;D_down_m=0.0209;area_ratio_A_down_over_A_up=0.485,resolved_by_geometry_reference_diameter_change_transition_shape_unresolved,partial_D_ratio_known_transition_length_angle_edge_radius_missing,pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,"extract transition geometry and pressure planes, then keep as section/cluster unless recirculation is resolved",no_coefficient_admission
FIT-QUARTZ-UPPER-TRANSITION,CLUSTER-TEST-SECTION-COMPLEX,quartz/test-section outlet to upper upcomer,test_section_span;left_upper_leg,20p9mm_to_30mm_quartz_expansion_or_diffuser_transition,quartz_transition;expansion;diffuser,through_inside_recirculating_upcomer,D_up_m=0.0209;D_down_m=0.030;area_ratio_A_down_over_A_up=2.061,resolved_by_geometry_reference_diameter_change_transition_shape_unresolved,partial_D_ratio_known_transition_length_angle_edge_radius_missing,pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,separate static recovery from loss and keep as test-section complex residual until evidence isolates component,no_coefficient_admission
CLUSTER-TEST-SECTION-COMPLEX,CLUSTER-TEST-SECTION-COMPLEX,left upcomer visualization/test-section assembly,left_lower_leg;test_section_span;left_upper_leg,close_coupled_quartz_contraction_test_section_expansion_with_persistent_recirc_cell,cluster;quartz_transition;custom,through_plus_local_exchange,D_up_m=0.030;D_down_m=0.030;area_ratio_A_down_over_A_up=1.0 overall;local 0.485 then 2.061,resolved_composite_upcomer_region_component_boundaries_unresolved,partial_component_D_known_cluster_boundaries_cell_volume_exchange_geometry_missing,pressure_planes_and_recovery_missing_recirc_exchange_evidence_required,handoff to throughflow_plus_recirc_exchange_cell lane after CFD cell evidence exists,no_coefficient_admission
FIT-HEAT-EXCHANGER-REDUCER,CLUSTER-UPPER-COOLER-HX,upper_leg cooling-jacket or heat-exchanger transition,upper_leg,facility_reported_heat_exchanger_reducer_or_cooling_jacket_transition,reducer;expansion;diffuser;custom,through,D_up_m=missing;D_down_m=missing;area_ratio_A_down_over_A_up=missing,facility_reported_location_unresolved_in_current_CFD_pressure_inventory,missing_D_up_D_down_area_ratio_angle_edge_radius_location_part_number,pressure_plane_basis_absent_until_physical_location_is_mapped,recover facility part/dimensions and decide whether pressure planes can bracket reducer separately from cooler jacket,no_coefficient_admission
FIT-TEE-CORNER-FACILITY,CLUSTER-JUNCTION-OTHER,facility-reported tee/corner fitting; exact loop position unresolved,unknown_or_junction_other_patch_group,facility_reported_tee_or_corner_junction,tee;junction;custom,unknown,D_up_m=missing;D_down_m=missing;area_ratio_A_down_over_A_up=missing,facility_reported_location_unresolved_in_current_geometry_reference,missing_location_branch_numbering_topology_angle_split_part_number,pressure_plane_basis_absent_until_physical_location_is_mapped,only open signed-flow junction lane if a discrete modeled branch changes net sign; otherwise route local exchange to MF-04,no_coefficient_admission
CLUSTER-JUNCTION-OTHER,CLUSTER-JUNCTION-OTHER,unbracketed grouped junction patches,loop_junction_patches_not_segment_bracketed,thermal_patch_group_and_unresolved_pressure_junction_cluster,junction;cluster;custom,unknown,D_up_m=missing;D_down_m=missing;area_ratio_A_down_over_A_up=missing,thermal_patch_group_known_physical_pressure_fittings_unresolved,missing_physical_fitting_members_and_pressure_boundaries,pressure_plane_basis_absent_until_physical_location_is_mapped,build physical junction map from facility/CAD/mesh patches before pressure source-envelope review,no_coefficient_admission
