source_id,path,role,mutation_status,notes
READONLY-001,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/fitting_inventory.csv,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-002,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/inventory_gap_queue.csv,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-003,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_inventory_source_envelope/source_envelope_status.csv,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-004,work_products/2026-07/2026-07-21/2026-07-21_litrev_cfd_postprocessing_schema_gap/cfd_postprocessing_schema_gap_audit.csv,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-005,work_products/2026-07/2026-07-21/2026-07-21_litrev_pressure_corner_basis_recovery/pressure_corner_basis_recovery_audit.csv,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-006,work_products/2026-07/2026-07-21/2026-07-21_litrev_throughflow_recirc_exchange_cell/model_interface_contract.csv,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-007,work_products/2026-07/2026-07-21/2026-07-21_litrev_thermal_heat_loss_contract_alignment/heat_loss_path_contract.csv,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-008,reference/geometry_reference.md,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-009,operational_notes/maps/pressure-and-momentum-budget.md,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-010,../papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/chapters/06_minor_losses_quartz_transition.tex,read_only_context,not_modified,Used as evidence or guardrail context.
READONLY-011,../papers/UTexas_Research/LitRev-start---Closure-and-Modeling-Decisions-for-Developing-HITEC-Flow-TAMU-MSFL/data/schemas/minor_loss_table_schema.csv,read_only_context,not_modified,Used as evidence or guardrail context.
GENERATED-001,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/geometry_source_gap_recovery.csv,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_geometry_source_gap_recovery.py.
GENERATED-002,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/fitting_physical_location_map.csv,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_geometry_source_gap_recovery.py.
GENERATED-003,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/source_page_audit_queue.csv,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_geometry_source_gap_recovery.py.
GENERATED-004,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/summary.json,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_geometry_source_gap_recovery.py.
GENERATED-005,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/README.md,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_geometry_source_gap_recovery.py.
GENERATED-006,work_products/2026-07/2026-07-21/2026-07-21_litrev_fitting_geometry_source_gap_recovery/source_manifest.csv,generated_output,created_or_updated_in_scoped_work_product,Generated by build_litrev_fitting_geometry_source_gap_recovery.py.
