sensor,kind,runtime_temperature_allowed,fit_allowed,finite_prediction_rows,total_rows,aggregate_score_current,aggregate_score_after_tp2_restore,source_segment,policy_decision
TP1,TP,false,false,3,3,yes,yes,top_horizontal_exit,validation_target_only
TP2,TP,false,false,3,3,no,yes,right_downcomer_bottom_horizontal_junction,restore_to_aggregate_validation_only_after_gates
TP3,TP,false,false,3,3,yes,yes,left_lower_vertical,validation_target_only
TP4,TP,false,false,3,3,yes,yes,left_lower_vertical,validation_target_only
TP5,TP,false,false,3,3,yes,yes,test_section,validation_target_only
TP6,TP,false,false,3,3,yes,yes,left_upper_vertical,validation_target_only
TW1,TW,false,false,3,3,yes,yes,right_vertical,validation_target_only
TW10,TW,false,false,0,3,no,no,,keep_excluded_until_active_hx_shell_state
TW11,TW,false,false,3,3,yes,yes,cooled_incline_post_hx,validation_target_only
TW2,TW,false,false,3,3,yes,yes,right_vertical,validation_target_only
TW3,TW,false,false,3,3,yes,yes,right_vertical,validation_target_only
TW4,TW,false,false,3,3,yes,yes,heated_incline,validation_target_only
TW5,TW,false,false,3,3,yes,yes,heated_incline,validation_target_only
TW6,TW,false,false,3,3,yes,yes,heated_incline,validation_target_only
TW7,TW,false,false,3,3,yes,yes,left_lower_vertical,validation_target_only
TW8,TW,false,false,3,3,yes,yes,left_upper_vertical,validation_target_only
TW9,TW,false,false,3,3,yes,yes,cooled_incline_pre_hx,validation_target_only
