path,role,exists,native_output_mutated
work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv,read_only_input,True,no
operational_notes/07-26/17/2026-07-17_CANONICAL_FINAL_PREDICTIVE_SPLIT_POLICY.md,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_split_ready_manifest.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_predict_salt2_pm5_holdout_extraction_repair/salt2_pm5_admission_table.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_predict_val_salt2_external_ledger/val_salt2_external_admission_decision.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/pm10_case_readiness.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_coupled_admission/coupled_scorecard.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_coupled_admission/coupled_delta_vs_m3.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_coupled_admission/coupled_admission_review.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_wall_test_section_coupled_admission/scenario_contracts.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_predict_segment_pressure_models/segment_pressure_model_scorecard.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_upcomer_pipe_cell_hybrid_model/upcomer_admission_decision.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_sensor_tp2_restore_tw10_exclude/sensor_policy_scorecard.csv,read_only_input,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/split_legal_case_table.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/candidate_freeze_manifest.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/coupled_scorecard.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/blind_holdout_scorecard.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/admission_gate_review.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/blocked_future_rows.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/runtime_input_audit.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/next_analysis_queue.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/source_manifest.csv,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/summary.json,generated_output,True,no
work_products/2026-07/2026-07-17/2026-07-17_corrected_split_final_predictive_scorecard/README.md,generated_output,True,no
