field_name,unit,basis,availability,unavailable_policy,runtime_policy
R_mu,dimensionless,mu_recirc / mu_main from same-window recirculation and main-cell state,computed_if_mu_exists_in_cell_sample,emit not_available_with_reason if mu is missing,not_a_predictive_runtime_input; training/support evidence only after split gates
R_rho,dimensionless,rho_recirc / rho_main from same-window recirculation and main-cell state,computed_if_rho_exists_in_cell_sample,emit not_available_with_reason if rho is missing,not_a_predictive_runtime_input; training/support evidence only after split gates
V_recirc,m3,"sum(cellVolume) over recircMask>=0.5, fallback to U dot throughflow normal < 0",computed_if_cellVolume_and_mask_or_U_exist,emit not_available_with_reason if no coherent volume basis exists,not_a_predictive_runtime_input; training/support evidence only after split gates
mdot_exchange,kg/s,0.5*(main_to_cell_flux + cell_to_main_flux) across named exchange interface,computed_if_interface_U_rho_area_exist,emit not_available_with_reason if interface plane is missing,not_a_predictive_runtime_input; training/support evidence only after split gates
tau_recirc,s,rho_recirc * V_recirc / abs(mdot_exchange),computed_if_V_recirc_rho_recirc_and_mdot_exchange_exist,emit not_available_with_reason for zero or missing exchange flux,not_a_predictive_runtime_input; training/support evidence only after split gates
T_main,K,rho*volume weighted main-cell temperature,computed_if_T_or_rho_temperature_fallback_exists,emit not_available_with_reason if thermal state is absent,not_a_predictive_runtime_input; training/support evidence only after split gates
T_recirc,K,rho*volume weighted recirculation-cell temperature,computed_if_T_or_rho_temperature_fallback_exists,emit not_available_with_reason if thermal state is absent,not_a_predictive_runtime_input; training/support evidence only after split gates
wall_core_delta_T,K,area-weighted wall_T - T_recirc,computed_if_wall_T_and_T_recirc_exist,emit not_available_with_reason if wall-band thermal state is absent,not_a_predictive_runtime_input; training/support evidence only after split gates
pressure_residual,Pa,delta_p_observed - delta_p_straight - delta_p_hydrostatic - delta_p_minor,computed_if_pressure_terms_are_supplied,emit not_available_with_reason if pressure basis is incomplete,not_a_predictive_runtime_input; training/support evidence only after split gates
energy_residual,W,Q_wall + Q_source - Q_sink - mdot_exchange*cp*(T_recirc-T_main),computed_if_thermal_source_terms_and_exchange_state_exist,emit not_available_with_reason if source/sink or exchange terms are incomplete,not_a_predictive_runtime_input; training/support evidence only after split gates
