artifact,path,use
val_external_targets,work_products/2026-07/2026-07-17/2026-07-17_predict_val_salt2_external_ledger/val_salt2_external_pressure_thermal_sensor_targets.csv,pressure/thermal/sensor target contract
val_external_admission,work_products/2026-07/2026-07-17/2026-07-17_predict_val_salt2_external_ledger/val_salt2_external_admission_decision.csv,external-test-only guardrail
val_external_summary,work_products/2026-07/2026-07-17/2026-07-17_predict_val_salt2_external_ledger/summary.json,target row counts
numeric_sensor_reference,reports/2026-07/2026-07-01/2026-07-01_local_1d_validation_refresh/cfd_sensor_reference.csv,val_salt2 TP/TW numeric target join
mainline_junction_split,work_products/2026-07/2026-07-16/2026-07-16_junction_split_heat_ledger_and_model_gate/junction_split_heat_ledger.csv,Salt2/3/4 junction heat trend rows
val_junction_split,work_products/2026-07/2026-07-17/2026-07-17_val_salt2_training_readiness_and_corner_k_unlock/val_salt2_junction_split_heat_ledger.csv,val_salt2 junction heat external-test rows
segment_thermal_scorecard,work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/segment_thermal_model_scorecard.csv,junction diagnostic-only model status
source_sink_contract,work_products/2026-07/2026-07-17/2026-07-17_predict_segment_thermal_models/source_sink_ownership_contract.csv,runtime input guardrails
corner_k_admission,work_products/2026-07/2026-07-17/2026-07-17_val_salt2_training_readiness_and_corner_k_unlock/pressure_corner_k_admission_table.csv,corner K diagnostic and unlock gates
f6_summary,work_products/2026-07/2026-07-17/2026-07-17_f6_friction_re_correction_unblock/summary.json,recirculation/F6 dependency state
pm10_summary,work_products/2026-07/2026-07-17/2026-07-17_salt_pm10_terminal_admission_readiness/summary.json,PM10 terminal dependency state
