case_key,pressure_map_available,pressure_case_admission_status,pressure_true_f_D_or_K_fit_admitted_rows,junction_split_heat_ledger_status,model_update_status,evidence_path,predictive_runtime_policy
salt1_hi10q,yes,no_true_fit_rows_admitted,0,bc_metadata_available_realized_junction_heat_not_promoted,not_usable_for_junction_fit_until_realized_heat_ledger_promoted,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/README.md,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt1_lo10q,yes,no_true_fit_rows_admitted,0,bc_metadata_available_realized_junction_heat_not_promoted,not_usable_for_junction_fit_until_realized_heat_ledger_promoted,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/README.md,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt1_nominal,yes,no_true_fit_rows_admitted,0,bc_metadata_available_realized_junction_heat_not_promoted,not_usable_for_junction_fit_until_realized_heat_ledger_promoted,work_products/2026-07/2026-07-14/2026-07-14_salt1_terminal_bc_and_pm5_upcomer_harvest/README.md,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt2_hi5q,yes,no_true_fit_rows_admitted,0,not_available_or_diagnostic_only,not_usable_for_junction_fit,,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt2_lo5q,yes,no_true_fit_rows_admitted,0,not_available_or_diagnostic_only,not_usable_for_junction_fit,,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt2_mainline,yes,no_true_fit_rows_admitted,0,admitted_junction_split_patch_heat_ledger,usable_as_training_or_holdout_target_after_runtime_leakage_guard,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_patch_contract.csv,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt3_mainline,yes,no_true_fit_rows_admitted,0,admitted_junction_split_patch_heat_ledger,usable_as_training_or_holdout_target_after_runtime_leakage_guard,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_patch_contract.csv,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt4_hi5q,yes,no_true_fit_rows_admitted,0,not_available_or_diagnostic_only,not_usable_for_junction_fit,,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt4_lo5q,yes,no_true_fit_rows_admitted,0,not_available_or_diagnostic_only,not_usable_for_junction_fit,,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
salt4_mainline,yes,no_true_fit_rows_admitted,0,admitted_junction_split_patch_heat_ledger,usable_as_training_or_holdout_target_after_runtime_leakage_guard,work_products/2026-07/2026-07-14/2026-07-14_external_bc_thermal_profile_parity_study/external_bc_patch_contract.csv,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
val_salt2,yes,no_true_fit_rows_admitted,0,aggregate_section_ledger_available_no_patch_split,external_validation_aggregate_only_not_local_junction_fit,work_products/2026-07/2026-07-15/2026-07-15_val_salt2_postprocessing_admission_unlock/val_salt2_section_heat_loss_ledger.csv,"realized CFD wallHeatFlux is diagnostic target/output, not predictive runtime input"
