case_key,case_id,source_id,physical_junction_bucket,physical_junction_label,patch_subrole,patch_name,bc_type,area_m2,h_W_m2K,Ta_K,Tsur_K,emissivity,thickness_total_m,wall_layer_metadata_status,realized_wallHeatFlux_W,realized_external_loss_positive_W,T_wall_shell_K,T_wall_shell_min_K,T_wall_shell_max_K,T_wall_to_ambient_drive_K,temperature_proxy_status,setup_radiation_policy,realized_flux_replay_policy,predictive_runtime_policy,source_paths,temperature_source_path
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left,lower-left junction/stub group,corner_body,junction_lower_left,rcExternalTemperature,0.002924521,4.344102411788404,299.19,299.19,0.95,0.041656001,h_and_layers_present,-1.209006705,1.209006705,437.640960099,396.391342,473.622329,138.45096009899999,ok_patch_internal_owner_cell_proxy,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,work_products/2026-07/2026-07-13/2026-07-13_wall_shell_temperature_sampling/patch_wall_shell_temperatures.csv
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left,lower-left junction/stub group,extension,junction_lower_left_left_extension,rcExternalTemperature,0.002183347,3.6520477197808914,299.19,299.19,0.95,0.041656001,h_and_layers_present,-0.889811843,0.889811843,435.03699505,391.797142,447.113819,135.84699504999998,ok_patch_internal_owner_cell_proxy,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,work_products/2026-07/2026-07-13/2026-07-13_wall_shell_temperature_sampling/patch_wall_shell_temperatures.csv
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left,lower-left junction/stub group,step,junction_lower_left_left_step,zeroGradient,0.0,,,,,,no_wall_layer_metadata,0.0,-0.0,,,,,missing_patch_temperature_proxy,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left,lower-left junction/stub group,stub,junction_lower_left_left_stub,externalTemperature,0.000505262,78.24068323047184,299.19,,,,h_only,-4.808004156,4.808004156,,,,,missing_patch_temperature_proxy,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left,lower-left junction/stub group,extension,junction_lower_left_lower_extension,rcExternalTemperature,0.001910429,5.714373397226398,299.19,299.19,0.95,0.041656001,h_and_layers_present,-0.276076876,0.276076876,344.701377962,314.52317,391.466404,45.51137796199998,ok_patch_internal_owner_cell_proxy,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,work_products/2026-07/2026-07-13/2026-07-13_wall_shell_temperature_sampling/patch_wall_shell_temperatures.csv
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left,lower-left junction/stub group,stub,junction_lower_left_lower_stub,externalTemperature,0.000386841,85.1784703534673,299.19,,,,h_only,-0.500612434,0.500612434,,,,,missing_patch_temperature_proxy,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left,lower-left junction/stub group,ncc_interface,ncc_junction_lower_left_right_end,zeroGradient,0.0,,,,,,no_wall_layer_metadata,0.0,-0.0,,,,,missing_patch_temperature_proxy,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_left,lower-left junction/stub group,ncc_interface,ncc_junction_lower_left_upper_start,zeroGradient,0.0,,,,,,no_wall_layer_metadata,0.0,-0.0,,,,,missing_patch_temperature_proxy,no_separate_radiation_metadata_on_this_patch,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_right,lower-right junction/stub group,corner_body,junction_lower_right,rcExternalTemperature,0.00292452,4.343717936074042,299.19,299.19,0.95,0.041656001,h_and_layers_present,-1.209077086,1.209077086,436.92771718,418.842527,443.100835,137.73771718,ok_patch_internal_owner_cell_proxy,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,work_products/2026-07/2026-07-13/2026-07-13_wall_shell_temperature_sampling/patch_wall_shell_temperatures.csv
salt2_mainline,salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_right,lower-right junction/stub group,extension,junction_lower_right_lower_extension,rcExternalTemperature,0.003544421,4.814425602389898,299.19,299.19,0.95,0.041656001,h_and_layers_present,-0.595301259,0.595301259,353.618129982,310.932747,427.537373,54.42812998200003,ok_patch_internal_owner_cell_proxy,include_rcExternalTemperature_emissivity_Tsur_for_setup_prediction,do_not_add_radiation_to_realized_CFD_wallHeatFlux,allowed_as_setup_boundary_input_not_validation_target,work_products/2026-07/2026-07-13/2026-07-13_thermal_boundary_patch_role_table/thermal_boundary_patch_role_table.csv,work_products/2026-07/2026-07-13/2026-07-13_wall_shell_temperature_sampling/patch_wall_shell_temperatures.csv
