source_id,case_id,one_d_segment,fluid_parent_segment,component_parent_spans,patch_count,area_m2,realized_wallHeatFlux_W,realized_source_W,realized_loss_W,imposed_Q_W,imposed_source_W,imposed_loss_W,area_weighted_h_W_m2K,area_weighted_Ta_K,area_weighted_Tsur_K,area_weighted_emissivity,mapping_status,interface_registry_status,radiation_parity_mode,external_bc_equivalent_status
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,cooling_branch,cooled_incline_hx_active,upper_leg,9,0.062350195,-148.718686808,0.0,148.718686808,-136.350739906,0.0,136.350739906,4.045201782,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,downcomer,right_vertical,right_leg,3,0.063435,-23.117313813,0.0,23.117313813,0.0,0.0,-0.0,3.42388628,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,junction,top_horizontal_exit,junction,29,0.042478796,-39.128349537,0.0,39.128349537,0.0,0.0,-0.0,9.621920204,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,lower_leg,heated_incline,lower_leg,9,0.062350193,236.850956221,236.850956221,0.0,265.7,265.7,0.0,3.988658692,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,upcomer,left_upper_vertical,left_lower_leg+left_upper_leg+test_section_span,7,0.062571567,-25.760341231,0.0,25.760341231,37.0,37.0,0.0,4.444107475,299.19,299.19,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,cooling_branch,cooled_incline_hx_active,upper_leg,9,0.062350197,-164.340347847,0.0,164.340347847,-150.769638673,0.0,150.769638673,4.117217539,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,downcomer,right_vertical,right_leg,3,0.063435,-25.347860491,0.0,25.347860491,0.0,0.0,-0.0,3.490328488,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,junction,top_horizontal_exit,junction,29,0.042478796,-43.234690515,0.0,43.234690515,0.0,0.0,-0.0,9.80371389,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,lower_leg,heated_incline,lower_leg,9,0.062350193,265.828111554,265.828111554,0.0,297.5,297.5,0.0,4.068174556,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_3,upcomer,left_upper_vertical,left_lower_leg+left_upper_leg+test_section_span,7,0.062571567,-32.618906683,0.0,32.618906683,37.0,37.0,0.0,4.518980952,299.79,299.79,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,cooling_branch,cooled_incline_hx_active,upper_leg,9,0.062350197,-184.313905416,0.0,184.313905416,-169.226815038,0.0,169.226815038,4.216948761,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,downcomer,right_vertical,right_leg,3,0.063435,-28.124643037,0.0,28.124643037,0.0,0.0,-0.0,3.585349949,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,junction,top_horizontal_exit,junction,29,0.042478796,-48.485215891,0.0,48.485215891,0.0,0.0,-0.0,10.059960558,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,lower_leg,heated_incline,lower_leg,9,0.062350193,302.331577987,302.331577987,0.0,337.6,337.6,0.0,4.176202387,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_4,upcomer,left_upper_vertical,left_lower_leg+left_upper_leg+test_section_span,7,0.062571567,-41.328587353,0.0,41.328587353,37.0,37.0,0.0,4.624060458,299.97,299.97,0.95,patches_collapsed_to_segment_equivalent_inputs,present_in_interface_registry,inseparable,contract_only_current_fluid_api_has_no_patch_h_Ta_Tsur_emissivity_external_bc_injection
