case_id,source_id,path_id,description,fixed_mdot_kg_s,cfd_mdot_kg_s,mdot_relative_error,thermal_root_found,temperature_root_bracketed,temperature_root_reason,temperature_periodicity_error_K,model_Tmean_K,cfd_Tmean_K,Tmean_error_K,model_loop_delta_T_K,cfd_loop_delta_T_K,loop_delta_T_error_K,qhx_total_W,qambient_total_W,source_total_W,prescribed_loss_total_W,deltaP_buoyancy_Pa,deltaP_losses_Pa,pressure_residual_Pa,pressure_residual_tolerance_Pa,pressure_residual_margin_Pa,pressure_root_policy,reynolds_main,velocity_main_m_s,friction_factor_main,predicted_air_outlet_temperature_K,start_temperature_K,end_temperature_K,thermal_input_policy,hydraulic_policy,score_partition,modeling_status,executable_with_current_fluid_api,radiation_policy,source_map_json,loss_map_json
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B0_current_fluid_baseline,Current Fluid salt thermal contract at CFD mdot.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,0.0,512.525923,450.3,62.225923,11.19629,12.1,-0.90371,46.291521,256.40799,302.7,0.0,53.880932,22.001931,-31.879001,2.694047,29.184954,not_rooted_fixed_mdot_pressure_residual_diagnostic,172.623192,0.01803813,0.37074972,366.787658,518.343635,518.343635,current Fluid heater/test-section source and predictive air-side HX/ambient models,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,reference_only_not_boundary_parity,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",{},{}
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B1_legacy_cfd_cooler_duty,Legacy best replay: replace predictive HX with CFD realized cooler duty.,0.01318,0.01318,0.0,True,True,temperature_periodicity_root_found,0.0,456.519162,450.3,6.219162,12.237745,12.1,0.137745,136.35074,166.350174,302.7,0.0,70.006863,37.439058,-32.567805,3.500343,29.067462,not_rooted_fixed_mdot_pressure_residual_diagnostic,99.243826,0.01765155,0.64487638,485.402175,462.621937,462.621937,current Fluid sources; impose AGENT-263 realized cooling-branch loss as qhx duty,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,legacy_context_cfd_cooler_duty_not_predictive,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",{},{}
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B2_realized_wallflux_roles,Prescribe AGENT-263 realized wallHeatFlux sources and losses by mapped 1D segment.,0.01318,0.01318,0.0,False,False,no_bracketed_temperature_periodicity_root,0.006723,268.213814,450.3,-182.086186,12.612091,12.1,0.512091,0.0,236.724691,236.850956,236.724691,76.542024,12538.472767,12461.930743,626.923638,11835.007105,not_rooted_fixed_mdot_pressure_residual_diagnostic,0.393768,0.01645814,162.53238415,299.19,274.19,274.196723,fixed-Q replay using realized wallHeatFlux; positive heat as source and negative heat as segment loss,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,executable_fixed_Q_patch_boundary_parity_diagnostic,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.","{""heated_incline"": 236.850956221}","{""cooled_incline_hx_active"": 148.718686808, ""left_upper_vertical"": 25.760341231, ""right_vertical"": 23.117313813, ""top_horizontal_exit"": 39.128349537}"
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,B3_imposed_setup_roles,Prescribe AGENT-263 imposed setup heat terms by mapped 1D segment.,0.01318,0.01318,0.0,False,False,no_bracketed_temperature_periodicity_root,8.857942,273.030383,450.3,-177.269617,14.148275,12.1,2.048275,0.0,136.35074,302.7,136.35074,46.121863,8798.437466,8752.315603,439.921873,8312.39373,not_rooted_fixed_mdot_pressure_residual_diagnostic,0.393768,0.01645814,162.53238415,299.19,274.19,283.047942,fixed-Q replay using imposed Q entries; exposes setup-vs-realized discrepancy,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,executable_fixed_Q_setup_contract_diagnostic,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.","{""heated_incline"": 265.7, ""left_upper_vertical"": 37.0}","{""cooled_incline_hx_active"": 136.350739906}"
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B0_current_fluid_baseline,Current Fluid salt thermal contract at CFD mdot.,0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,-0.0,527.685914,463.7,63.985914,11.062041,12.2,-1.137959,49.662815,284.836515,334.5,0.0,53.000384,22.625238,-30.375146,2.650019,27.725127,not_rooted_fixed_mdot_pressure_residual_diagnostic,220.694342,0.02061072,0.28999384,372.767366,533.479383,533.479383,current Fluid heater/test-section source and predictive air-side HX/ambient models,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,reference_only_not_boundary_parity,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",{},{}
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B1_legacy_cfd_cooler_duty,Legacy best replay: replace predictive HX with CFD realized cooler duty.,0.01497,0.01497,0.0,True,True,temperature_periodicity_root_found,0.0,468.152646,463.7,4.452646,12.090919,12.2,-0.109081,150.769639,183.731182,334.5,0.0,68.934517,37.540486,-31.394031,3.446726,27.947306,not_rooted_fixed_mdot_pressure_residual_diagnostic,128.834219,0.02013887,0.49676243,506.103079,474.22689,474.22689,current Fluid sources; impose AGENT-263 realized cooling-branch loss as qhx duty,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,legacy_context_cfd_cooler_duty_not_predictive,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",{},{}
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B2_realized_wallflux_roles,Prescribe AGENT-263 realized wallHeatFlux sources and losses by mapped 1D segment.,0.01497,0.01497,0.0,False,False,no_bracketed_temperature_periodicity_root,0.013423,544.057214,463.7,80.357214,12.462537,12.2,0.262537,0.0,265.541806,265.828112,265.541806,75.726813,20.407697,-55.319115,3.786341,51.532775,not_rooted_fixed_mdot_pressure_residual_diagnostic,248.352558,0.02074799,0.25769817,299.79,550.0,550.013423,fixed-Q replay using realized wallHeatFlux; positive heat as source and negative heat as segment loss,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,executable_fixed_Q_patch_boundary_parity_diagnostic,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.","{""heated_incline"": 265.828111554}","{""cooled_incline_hx_active"": 164.340347847, ""left_upper_vertical"": 32.618906683, ""right_vertical"": 25.347860491, ""top_horizontal_exit"": 43.234690515}"
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,B3_imposed_setup_roles,Prescribe AGENT-263 imposed setup heat terms by mapped 1D segment.,0.01497,0.01497,0.0,False,False,no_bracketed_temperature_periodicity_root,8.613635,301.056659,463.7,-162.643341,13.947377,12.2,1.747377,0.0,150.769639,334.5,150.769639,46.08822,2043.892278,1997.804058,102.194614,1895.609444,not_rooted_fixed_mdot_pressure_residual_diagnostic,2.142724,0.01888402,29.8685156,299.79,302.311,310.924635,fixed-Q replay using imposed Q entries; exposes setup-vs-realized discrepancy,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,executable_fixed_Q_setup_contract_diagnostic,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.","{""heated_incline"": 297.5, ""left_upper_vertical"": 37.0}","{""cooled_incline_hx_active"": 150.769638673}"
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,B0_current_fluid_baseline,Current Fluid salt thermal contract at CFD mdot.,0.01698,0.01698,0.0,False,False,no_bracketed_temperature_periodicity_root,0.137081,544.225914,479.2,65.025914,11.116289,12.3,-1.183711,53.471883,317.810721,374.6,0.0,52.541555,23.388114,-29.15344,2.627078,26.526363,not_rooted_fixed_mdot_pressure_residual_diagnostic,281.342434,0.02353202,0.22748079,378.973603,550.0,550.137081,current Fluid heater/test-section source and predictive air-side HX/ambient models,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,reference_only_not_boundary_parity,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",{},{}
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,B1_legacy_cfd_cooler_duty,Legacy best replay: replace predictive HX with CFD realized cooler duty.,0.01698,0.01698,0.0,True,True,temperature_periodicity_root_found,0.0,481.896779,479.2,2.696779,12.12589,12.3,-0.17411,169.226814,205.373928,374.6,0.0,68.931998,37.347626,-31.584372,3.4466,28.137772,not_rooted_fixed_mdot_pressure_residual_diagnostic,168.999768,0.02296555,0.37869874,531.677624,488.033019,488.033019,current Fluid sources; impose AGENT-263 realized cooling-branch loss as qhx duty,hold mdot at CFD observation; do not perform pressure root search,thermal_periodicity_and_temperature_error_only; pressure_residual_diagnostic,legacy_context_cfd_cooler_duty_not_predictive,yes,"For realized-wallHeatFlux diagnostic replay, do not add a separate 1D radiation term on top of CFD wallHeatFlux. For external-BC parity mode, treat radiation as inseparable inside the rcExternalTemperature equivalent unless a future OpenFOAM output or source audit exposes a separate qr/radiation heat term.",{},{}
