case_key,evidence_family,case_source,current_state,priority,requested_action,next_gate,launch_allowed_in_this_row,notes
salt2_lo10q,pm10_matched_plane_existing_terminal,PM10 corrected-Q terminal harvest,terminal_window_available; extraction job 3305547 pending,1,consume active matched-plane extraction when landed,same_window_qoi_admission,false,Do not submit duplicate PM10 extractor; active AGENT-344 package owns the compute path.
salt2_hi10q,pm10_matched_plane_existing_terminal,PM10 corrected-Q terminal harvest,terminal_window_available; extraction job 3305547 pending,1,consume active matched-plane extraction when landed,same_window_qoi_admission,false,First classify whether +/-10Q gives lower reverse-flow or transition evidence before new CFD.
salt4_lo10q,pm10_matched_plane_existing_terminal,PM10 corrected-Q terminal harvest,terminal_window_available; extraction job 3305547 pending,1,consume active matched-plane extraction when landed,same_window_qoi_admission,false,Potential Salt4 transition candidate but currently missing matched-plane QOIs.
salt4_hi10q,pm10_matched_plane_existing_terminal,PM10 corrected-Q terminal harvest,terminal_window_available; extraction job 3305547 pending,1,consume active matched-plane extraction when landed,same_window_qoi_admission,false,Potential Salt4 transition candidate but currently missing matched-plane QOIs.
salt4_jin_q0500w_no_recirc_probe,high_heat_monitor,Salt4 high-heat no-recirculation probe,job 3299620 running in monitor evidence,2,monitor until terminal then harvest under separate row,terminal_harvest_then_same_window_qoi_admission,false,Do not harvest running native outputs.
salt4_jin_q1000w_no_recirc_probe,high_heat_monitor,Salt4 high-heat no-recirculation probe,job 3299620 running in monitor evidence,2,monitor until terminal then harvest under separate row,terminal_harvest_then_same_window_qoi_admission,false,Do not harvest running native outputs.
salt4_jin_q1500w_no_recirc_probe,high_heat_monitor,Salt4 high-heat no-recirculation probe,job 3299620 running in monitor evidence,2,monitor until terminal then harvest under separate row,terminal_harvest_then_same_window_qoi_admission,false,Do not harvest running native outputs.
salt4_jin_q3x_no_recirc_probe,high_heat_monitor,Salt4 high-heat no-recirculation probe,job 3299610 running in monitor evidence,2,monitor until terminal then harvest under separate row,terminal_harvest_then_same_window_qoi_admission,false,Do not harvest running native outputs.
salt3_jin_q1500w_hiins_onset_anchor,sentinel_cell_off,prepared Salt3 anchor matrix,not launched; after PM10 and high-heat preflight,3,separate compute row may stage if PM10/high-heat still lack transition anchor,launch_preflight_then_compute,false,High-Re/high-insulation sentinel intended to find no-cell or low-cell endpoint.
salt3_jin_q0150w_loins_onset_anchor,sentinel_cell_max,prepared Salt3 anchor matrix,not launched; after PM10 and high-heat preflight,3,separate compute row may stage if PM10/high-heat still lack transition anchor,launch_preflight_then_compute,false,Low-Q/low-insulation sentinel intended to bound strong recirculation side.
salt3_q_by_insulation_matrix_9_rows,small_q_x_insulation_matrix,prepared Salt3 anchor matrix,not launched; compute-heavy,4,hold until sentinel pair and harvested existing evidence fail to bracket onset,matrix_expansion_gate,false,Do not launch the 9-row matrix until the cheaper evidence lanes are exhausted.
