ledger_id,target_chapter,target_section,asset_type,source_path,readiness,target_action,claim_ids,caveat
CVL-CH3-001,Chapter 3,CFD evidence database,figure,../papers/UTexas_Research/3d_analysis/figures/fig_salt2_heat_loss.pdf,ready_now,place as CFD heat-loss redistribution evidence,"CL-01;CL-09;CL-11",CFD diagnostic reduction; not local closure admission.
CVL-CH3-002,Chapter 3,CFD evidence database,figure,../papers/UTexas_Research/3d_analysis/figures/fig_salt4_heat_loss.pdf,ready_now,place as Salt-family heat-loss comparison,"CL-01;CL-09;CL-11",Salt-family evidence only; no Water synthesis.
CVL-CH3-003,Chapter 3,CFD evidence database,table,../papers/UTexas_Research/3d_analysis/tables/table_salt_case_matrix.tex,ready_now,place as case/provenance table,"CL-01;CL-20",Preserve promoted-case and retained-window caveats.
CVL-CH5-001,Chapter 5,fluid+walls model form,figure,reports/thesis_dossier/figures/svg/F01_fluid_walls_loop_segment_atlas.svg,ready_now,place as model architecture figure,"CL-02;CL-03;CL-16;CL-17",Segment slots do not imply admitted coefficients.
CVL-CH5-002,Chapter 5,segment-local ledger,figure,reports/thesis_dossier/figures/svg/F02_segment_local_ledger_inset.svg,ready_now,place near pressure/thermal equations,"CL-02;CL-03;CL-18",Keep target quantities out of runtime-input captions.
CVL-CH5-003,Chapter 5,upcomer hybrid model lane,figure,reports/thesis_dossier/figures/svg/F03_upcomer_hybrid_schematic.svg,ready_now,place as recirculation-aware architecture,"CL-14;CL-15",Ordinary upcomer Nu/f_D/K remains disabled.
CVL-CH6-001,Chapter 6,admission and uncertainty,table,reports/thesis_dossier/Chapters_and_sections/current/08_thesis_claim_ledger.md,ready_now,use as master claim/admission table,"CL-04;CL-20;CL-21",Add claims there before strengthening prose.
CVL-CH6-002,Chapter 6,runtime and split discipline,table,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s7_sensor_map_tp_tw_contract/score_only_target_policy.csv,ready_now,place as TP/TW score-only policy table,"CL-06;CL-21",TP/TW temperatures are outputs only.
CVL-CH6-003,Chapter 6,current release-gate status,table,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s6_blocked_scorecard_shell/split_role_scorecard_shell_table.csv,ready_now,place as split-role shell table,"CL-05;CL-06;CL-24",Contains 0 final score values.
CVL-CH7-001,Chapter 7,junction and stub heat ownership,figure,reports/thesis_dossier/figures/svg/F04_junction_aware_vs_segment_only.svg,ready_now,place as ownership schematic,"CL-11;CL-12;CL-13",val_salt2 is external-test evidence, not training input.
CVL-CH7-002,Chapter 7,predictive-model path,figure,reports/thesis_dossier/figures/svg/F05_model_form_ladder.svg,ready_now,place as M0-M6 ladder,"CL-23;CL-24",M6 is pending and unscored.
CVL-CH7-003,Chapter 7,wall/test-section negative result,table,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/negative_or_admission_ready_summary.csv,ready_now,place as S8 negative/admission-ready summary,"CL-17;CL-18;CL-24",0 admitted candidates and 0 S11-ready candidates.
CVL-CH7-004,Chapter 7,blocked final scorecard,figure,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s6_blocked_scorecard_shell/s0_s11_gate_flow_diagram.md,ready_now,render or place as gate-flow figure,"CL-04;CL-05;CL-24",Admission flow only; no final predictive accuracy.
CVL-CH7-005,Chapter 7,pressure/F6 gate waterfall,table,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_s10_pressure_f6_gate_waterfall/README.md,trigger_gated,place only after S10 figure/table task completes,"CL-13;CL-16;CL-26",No component K or F6 admission unless source package says so.
CVL-CH8-001,Chapter 8,SAM/CSEM relevance,figure,reports/thesis_dossier/figures/svg/F06_sam_facing_flowchart.svg,ready_now,place as SAM-facing closure-discipline flow,"CL-02;CL-20;CL-25",Closure-discipline transfer only; no SAM validation.
CVL-CH8-002,Chapter 8,future work,table,work_products/2026-07/2026-07-21/2026-07-21_thesis_figtable_cross_chapter_visual_ledger/blocked_trigger_table.csv,ready_now,place as future-work trigger table,"CL-24;CL-26",Trigger table is a plan, not completed evidence.
