case_id,patch_name,face_count,area_m2,classification
salt_2,ncc_pipeleg_lower_09_fitting_end,324,0.000223463187177,selected_cv_boundary_escape_not_released_wall_band
salt_2,pipeleg_lower_06_straight,4204,0.00685491815391,selected_cv_boundary_escape_not_released_wall_band
salt_2,pipeleg_lower_07_bend,384,0.000660878474445,selected_cv_boundary_escape_not_released_wall_band
salt_2,pipeleg_lower_08_straight,678,0.00111280991004,selected_cv_boundary_escape_not_released_wall_band
salt_2,pipeleg_lower_09_fitting,104,0.000175338172146,selected_cv_boundary_escape_not_released_wall_band
salt_3,ncc_pipeleg_lower_09_fitting_end,307,0.000226877892962,selected_cv_boundary_escape_not_released_wall_band
salt_3,pipeleg_lower_06_straight,4204,0.00685491815391,selected_cv_boundary_escape_not_released_wall_band
salt_3,pipeleg_lower_07_bend,384,0.000660878474445,selected_cv_boundary_escape_not_released_wall_band
salt_3,pipeleg_lower_08_straight,644,0.0010570052832,selected_cv_boundary_escape_not_released_wall_band
salt_3,pipeleg_lower_09_fitting,59,9.94706943559e-05,selected_cv_boundary_escape_not_released_wall_band
salt_4,ncc_pipeleg_lower_09_fitting_end,331,0.00021913476647,selected_cv_boundary_escape_not_released_wall_band
salt_4,pipeleg_lower_06_straight,4204,0.00685491815391,selected_cv_boundary_escape_not_released_wall_band
salt_4,pipeleg_lower_07_bend,384,0.000660878474445,selected_cv_boundary_escape_not_released_wall_band
salt_4,pipeleg_lower_08_straight,683,0.00112101647282,selected_cv_boundary_escape_not_released_wall_band
salt_4,pipeleg_lower_09_fitting,134,0.000225916491589,selected_cv_boundary_escape_not_released_wall_band
