path,role,exists,native_solver_output,mutated
tools/extract/build_s13_upcomer_exchange_topology_cv_release.py,task_output,true,false,true
tools/extract/test_s13_upcomer_exchange_topology_cv_release.py,task_output,true,false,true
work_products/2026-07/2026-07-21/2026-07-21_s13_s14_recirc_cv_segmentation_preflight/recirc_segmentation_case_summary.csv,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_s13_s14_recirc_cv_segmentation_preflight/recirc_component_summary.csv,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_s13_s14_recirc_cv_segmentation_preflight/masks,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_candidate_uq_s13_geometry_recovery/geometry_source_recovery_decision.csv,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_three_case_cell_vtk_manifest/three_case_cell_vtk_manifest.csv,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,read_only_context,true,false,false
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_sampler_manifest_preflight/sampler_input_gap_matrix.csv,read_only_context,true,false,false
jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/constant/polyMesh,read_only_context,true,true,false
work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_topology_cv_release,task_output,true,false,false
