comparison_row,candidate_id,source_family,lane,validation_case,holdout_case,validation_gate,holdout_gate,end_to_end_gate,source_property_gate,admission_decision,blocking_reasons,validation_tw5_delta_vs_m3_K,validation_tw6_delta_vs_m3_K,holdout_tw5_delta_vs_m3_K,holdout_tw6_delta_vs_m3_K,figure_use,source_paths
S8-CMP-01,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,wall_thermal_circuit_study,heated_incline_wall_drive,salt_3,salt_4,fail,fail,fail,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,validation_mdot_tp_tw_all_probe_gate_failed;holdout_mdot_tp_tw_all_probe_gate_failed;phase2_split_targets_diagnostic_only,62.05035862,55.77840273,78.64861796,71.05938137,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
S8-CMP-02,HIW1_heated_incline_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,wall_thermal_circuit_study,heated_incline_wall_drive,salt_3,salt_4,fail,fail,fail,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,validation_mdot_tp_tw_all_probe_gate_failed;holdout_mdot_tp_tw_all_probe_gate_failed;phase2_split_targets_diagnostic_only,62.04041307,55.76869015,78.64004194,71.05100668,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
S8-CMP-03,HIW2_heated_incline_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,wall_thermal_circuit_study,heated_incline_wall_drive,salt_3,salt_4,fail,fail,fail,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,validation_mdot_tp_tw_all_probe_gate_failed;holdout_mdot_tp_tw_all_probe_gate_failed;phase2_split_targets_diagnostic_only,36.0777215,29.85082408,53.63906706,46.10110467,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
S8-CMP-04,HIW2_heated_incline_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,wall_thermal_circuit_study,heated_incline_wall_drive,salt_3,salt_4,fail,fail,fail,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,validation_mdot_tp_tw_all_probe_gate_failed;holdout_mdot_tp_tw_all_probe_gate_failed;phase2_split_targets_diagnostic_only,36.06663262,29.83989812,53.6295417,46.09172272,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
S8-CMP-05,TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_LUMPED_UA_NTU,wall_thermal_circuit_study,test_section_wall_fluid_coupling,salt_3,salt_4,fail,fail,fail,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,validation_mdot_tp_tw_all_probe_gate_failed;holdout_mdot_tp_tw_all_probe_gate_failed;phase2_split_targets_diagnostic_only,41.92051664,35.65420335,60.480141,52.89698997,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
S8-CMP-06,TSC1_test_section_only_pipe_outer_wall_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,wall_thermal_circuit_study,test_section_wall_fluid_coupling,salt_3,salt_4,fail,fail,fail,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,validation_mdot_tp_tw_all_probe_gate_failed;holdout_mdot_tp_tw_all_probe_gate_failed;phase2_split_targets_diagnostic_only,41.90987019,35.64373234,60.47104391,52.88804909,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
S8-CMP-07,TSC2_test_section_only_outer_surface_drive_PLUS_HX_LUMPED_UA_NTU,wall_thermal_circuit_study,test_section_wall_fluid_coupling,salt_3,salt_4,fail,fail,fail,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,validation_mdot_tp_tw_all_probe_gate_failed;holdout_mdot_tp_tw_all_probe_gate_failed;phase2_split_targets_diagnostic_only,29.76264706,23.68917831,47.60651552,40.23507201,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
S8-CMP-08,TSC2_test_section_only_outer_surface_drive_PLUS_HX_SEGMENTED_UA_NTU_N16,wall_thermal_circuit_study,test_section_wall_fluid_coupling,salt_3,salt_4,fail,fail,fail,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,validation_mdot_tp_tw_all_probe_gate_failed;holdout_mdot_tp_tw_all_probe_gate_failed;phase2_split_targets_diagnostic_only,29.75087377,23.67756261,47.59640292,40.22509895,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/candidate_admission_review.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/coupled_delta_vs_m3.csv;work_products/2026-07/2026-07-17/2026-07-17_wall_thermal_circuit_study/probe_delta_vs_m3.csv
S8-CMP-09,TS0_no_test_section_loss,test_section_passive_loss_repair,test_section_passive_loss,salt_3,salt_4,fail,fail,diagnostic_m3_baseline_scored_but_no_test_section_loss,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,"validation_q_loss_gate=fail (abs=10.54504039 W, pct=100%); holdout_q_loss_gate=fail (abs=16.76868551 W, pct=100%); end_to_end_gate=diagnostic_m3_baseline_scored_but_no_test_section_loss; no_test_section_loss_is_not_a_physical_submodel; phase2_split_targets_diagnostic_only",,,,,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_test_section_passive_loss_admission_repair/test_section_candidate_class_admission.csv;work_products/2026-07/2026-07-16/2026-07-16_predictive_test_section_heat_loss_model/setup_candidate_summary.csv
S8-CMP-10,TS1_salt2_fit_hA_constant_drive_deltaT,test_section_passive_loss_repair,test_section_passive_loss,salt_3,salt_4,fail,fail,fail_no_solver_coupled_m3ts_run_for_candidate,blocked_for_fit_or_admission_per_source_property_enforcement,not_admitted,"validation_q_loss_gate=fail (abs=4.790662416 W, pct=45.43047953%); holdout_q_loss_gate=fail (abs=10.92073801 W, pct=65.12578464%); end_to_end_gate=fail_no_solver_coupled_m3ts_run_for_candidate; phase2_split_targets_diagnostic_only",,,,,candidate_failure_comparison,work_products/2026-07/2026-07-21/2026-07-21_thesis_study_s8_wall_test_section_axial_mixing_candidate/m3_prior_candidate_comparison.csv;work_products/2026-07/2026-07-17/2026-07-17_test_section_passive_loss_admission_repair/test_section_candidate_class_admission.csv;work_products/2026-07/2026-07-16/2026-07-16_predictive_test_section_heat_loss_model/setup_candidate_summary.csv
