observation_id,source_id,case_id,case_family,run_class,mesh_level,mesh_status,source_case_root,source_path,source_row_key,observable_family,observable_type,span,segment_1d,station_start,station_end,window_id,time_window_start_s,time_window_end_s,time_window_source,n_samples,quantity,value,units,uncertainty_value,uncertainty_units,uncertainty_method,geometry_source,pressure_method,thermal_method,convergence_status,window_state,operating_point_verdict,admission_status,needs_special_gate_scrutiny,fit_eligible,validation_eligible,fit_use_status,validation_use_status,independence_group_id,quality_flags,provenance_notes
viscosity_screening_salt_test_2_jin_coarse_mesh:time_window:case:mdot::mdot_pipeleg_left_04_test_section:viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_left_04_test_section::last_0.50,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_left_04_test_section::last_0.50,pressure,quasi_steady_window_mean,case,case,,,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_left_04_test_section::last_0.50,1216.0,2432.0,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,1217,mdot::mdot_pipeleg_left_04_test_section,-0.013147977069778143,kg/s,2.3855301307285685e-05,kg/s,"sqrt(random_autocorr^2 + max(block_se, oscillation_envelope)^2 + drift_halfspan^2); coherent oscillation is a non-shrinking floor",source_contract_mesh_reduction_geometry,mass_flow_monitor_timeseries,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,validation_only,validation_target,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_left_04_test_section::relaxation_path,time_series_correlated_not_independent_samples;role_hydraulic;frozen_extraction_window_older_than_available_case_latest,"From July 7 quasi-steady UQ table; used as validation target, not extra independent fit rows."
viscosity_screening_salt_test_2_jin_coarse_mesh:time_window:case:mdot::mdot_pipeleg_lower_05_straight:viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_lower_05_straight::last_0.50,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_lower_05_straight::last_0.50,pressure,quasi_steady_window_mean,case,case,,,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_lower_05_straight::last_0.50,1216.0,2432.0,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,1217,mdot::mdot_pipeleg_lower_05_straight,-0.013147990741133934,kg/s,2.3799493551527962e-05,kg/s,"sqrt(random_autocorr^2 + max(block_se, oscillation_envelope)^2 + drift_halfspan^2); coherent oscillation is a non-shrinking floor",source_contract_mesh_reduction_geometry,mass_flow_monitor_timeseries,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,validation_only,validation_target,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_lower_05_straight::relaxation_path,time_series_correlated_not_independent_samples;role_hydraulic;frozen_extraction_window_older_than_available_case_latest,"From July 7 quasi-steady UQ table; used as validation target, not extra independent fit rows."
viscosity_screening_salt_test_2_jin_coarse_mesh:time_window:case:mdot::mdot_pipeleg_right_02_middle:viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_right_02_middle::last_0.50,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_right_02_middle::last_0.50,pressure,quasi_steady_window_mean,case,case,,,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_right_02_middle::last_0.50,1216.0,2432.0,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,1217,mdot::mdot_pipeleg_right_02_middle,-0.01314810147032868,kg/s,2.3725514005760397e-05,kg/s,"sqrt(random_autocorr^2 + max(block_se, oscillation_envelope)^2 + drift_halfspan^2); coherent oscillation is a non-shrinking floor",source_contract_mesh_reduction_geometry,mass_flow_monitor_timeseries,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,validation_only,validation_target,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_right_02_middle::relaxation_path,time_series_correlated_not_independent_samples;role_hydraulic;frozen_extraction_window_older_than_available_case_latest,"From July 7 quasi-steady UQ table; used as validation target, not extra independent fit rows."
viscosity_screening_salt_test_2_jin_coarse_mesh:time_window:case:mdot::mdot_pipeleg_upper_05_cooler:viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_upper_05_cooler::last_0.50,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_upper_05_cooler::last_0.50,pressure,quasi_steady_window_mean,case,case,,,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_upper_05_cooler::last_0.50,1216.0,2432.0,work_products/2026-07-07_time_window_quasi_steady_uq/quasi_steady_observations.csv,1217,mdot::mdot_pipeleg_upper_05_cooler,-0.013148085565710763,kg/s,2.3806427362664366e-05,kg/s,"sqrt(random_autocorr^2 + max(block_se, oscillation_envelope)^2 + drift_halfspan^2); coherent oscillation is a non-shrinking floor",source_contract_mesh_reduction_geometry,mass_flow_monitor_timeseries,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,validation_only,validation_target,viscosity_screening_salt_test_2_jin_coarse_mesh::mdot::mdot_pipeleg_upper_05_cooler::relaxation_path,time_series_correlated_not_independent_samples;role_hydraulic;frozen_extraction_window_older_than_available_case_latest,"From July 7 quasi-steady UQ table; used as validation target, not extra independent fit rows."
viscosity_screening_salt_test_2_jin_coarse_mesh:pressure:left_lower_leg:Re:left_lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,work_products/2026-07-01_claude_momentum_budget/momentum_budget.csv,left_lower_leg,pressure,momentum_budget_reynolds_number,left_lower_leg,left_lower_leg,,,viscosity_screening_salt_test_2_jin_coarse_mesh:source_contract_requested_window,2428.0,2431.0,work_products/2026-06-29_ethan_reduction_contract_audit/source_contract_map.csv,4,Re,71.12521667906103,dimensionless,,,,source_contract_mesh_reduction_geometry,streamwise_momentum_budget_debuoyed,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,not_fit_recirculation,validation_target,viscosity_screening_salt_test_2_jin_coarse_mesh:mainline_window,momentum_budget_reference;recirculation_invalid_single_f;frozen_extraction_window_older_than_available_case_latest,From July 1 streamwise momentum budget; carried to make pressure-ledger reproduction and no-double-counting auditable.
viscosity_screening_salt_test_2_jin_coarse_mesh:pressure:left_lower_leg:apparent_darcy_f:left_lower_leg:section_mean_static_gradient,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,work_products/2026-06-30_claude_segment_friction/segment_friction.csv,left_lower_leg:section_mean_static_gradient,pressure,segment_apparent_darcy_f,left_lower_leg,left_lower_leg,,,viscosity_screening_salt_test_2_jin_coarse_mesh:source_contract_requested_window,2428.0,2431.0,work_products/2026-06-29_ethan_reduction_contract_audit/source_contract_map.csv,4,apparent_darcy_f,2.071700604141543,dimensionless,,,,source_contract_mesh_reduction_geometry,section_mean_static_gradient,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,not_fit_apparent_or_residual,validation_diagnostic,viscosity_screening_salt_test_2_jin_coarse_mesh:mainline_window,apparent_friction_diagnostic;mu_from_jin_corr_T_from_rho_eos;few_stations_two_point_gradient_only;frozen_extraction_window_older_than_available_case_latest,From June 30 segment-friction diagnostic; retained for comparison but not closure-fit target after debuoyed pressure ledger.
viscosity_screening_salt_test_2_jin_coarse_mesh:pressure:left_lower_leg:apparent_darcy_f:left_lower_leg:section_mean_total_pressure_gradient,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,work_products/2026-06-30_claude_segment_friction/segment_friction.csv,left_lower_leg:section_mean_total_pressure_gradient,pressure,segment_apparent_darcy_f,left_lower_leg,left_lower_leg,,,viscosity_screening_salt_test_2_jin_coarse_mesh:source_contract_requested_window,2428.0,2431.0,work_products/2026-06-29_ethan_reduction_contract_audit/source_contract_map.csv,4,apparent_darcy_f,2.0813231403227177,dimensionless,,,,source_contract_mesh_reduction_geometry,section_mean_total_pressure_gradient,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,not_fit_apparent_or_residual,validation_diagnostic,viscosity_screening_salt_test_2_jin_coarse_mesh:mainline_window,apparent_friction_diagnostic;mu_from_jin_corr_T_from_rho_eos;few_stations_two_point_gradient_only;frozen_extraction_window_older_than_available_case_latest,From June 30 segment-friction diagnostic; retained for comparison but not closure-fit target after debuoyed pressure ledger.
viscosity_screening_salt_test_2_jin_coarse_mesh:pressure:left_lower_leg:bulk_T_K:left_lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,work_products/2026-07-01_claude_momentum_budget/momentum_budget.csv,left_lower_leg,pressure,momentum_budget_bulk_temperature,left_lower_leg,left_lower_leg,,,viscosity_screening_salt_test_2_jin_coarse_mesh:source_contract_requested_window,2428.0,2431.0,work_products/2026-06-29_ethan_reduction_contract_audit/source_contract_map.csv,4,bulk_T_K,452.6530298384785,K,,,,source_contract_mesh_reduction_geometry,streamwise_momentum_budget_debuoyed,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,not_fit_recirculation,validation_target,viscosity_screening_salt_test_2_jin_coarse_mesh:mainline_window,momentum_budget_reference;recirculation_invalid_single_f;frozen_extraction_window_older_than_available_case_latest,From July 1 streamwise momentum budget; carried to make pressure-ledger reproduction and no-double-counting auditable.
viscosity_screening_salt_test_2_jin_coarse_mesh:pressure:left_lower_leg:buoyancy_source_grad_pa_m:left_lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,work_products/2026-07-01_claude_momentum_budget/momentum_budget.csv,left_lower_leg,pressure,momentum_budget_density_gradient_buoyancy,left_lower_leg,left_lower_leg,,,viscosity_screening_salt_test_2_jin_coarse_mesh:source_contract_requested_window,2428.0,2431.0,work_products/2026-06-29_ethan_reduction_contract_audit/source_contract_map.csv,4,buoyancy_source_grad_pa_m,3.825724550930427,Pa/m,,,,source_contract_mesh_reduction_geometry,streamwise_momentum_budget_debuoyed,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,not_fit_recirculation,validation_target,viscosity_screening_salt_test_2_jin_coarse_mesh:mainline_window,momentum_budget_reference;recirculation_invalid_single_f;frozen_extraction_window_older_than_available_case_latest,From July 1 streamwise momentum budget; carried to make pressure-ledger reproduction and no-double-counting auditable.
viscosity_screening_salt_test_2_jin_coarse_mesh:pressure:left_lower_leg:development_loss_pa:left_lower_leg,viscosity_screening_salt_test_2_jin_coarse_mesh,salt_2,salt,mainline_jin_continuation,coarse,coarse_no_gci,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,work_products/2026-07-07_pressure_term_ledger/pressure_term_ledger.csv,left_lower_leg,pressure,pressure_development_loss,left_lower_leg,left_lower_leg,,,viscosity_screening_salt_test_2_jin_coarse_mesh:source_contract_requested_window,2428.0,2431.0,work_products/2026-06-29_ethan_reduction_contract_audit/source_contract_map.csv,4,development_loss_pa,0.7655269557534745,Pa,,,,source_contract_mesh_reduction_geometry,debuoyed_momentum_budget_ledger,not_applicable,stationary,stationary,admitted_mainline,admitted_mainline,no,no,yes,not_fit_recirculation,validation_target,viscosity_screening_salt_test_2_jin_coarse_mesh:mainline_window,recirculation_invalid_single_f;flow_reset_or_redevelopment;frozen_extraction_window_older_than_available_case_latest,From AGENT-193/197 pressure ledger; uses July 1 momentum-budget decomposition and July 7 ledger fixes.
