source_id,case_id,run_class,fit_use_status,needs_special_gate_scrutiny,exclusion_reason,source_path
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_1,mainline_jin_continuation,held_salt1_qualification_required,,held_salt1_qualification_required,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_1,normal_relaunch_base_continuation,held_salt1_qualification_required_latest_candidate,,held_salt1_qualification_required,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt1_jin_hi10q_corrected,salt_1,corrected_salt_q_perturbation,held_until_formal_gate,True,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt1_jin_lo10q_corrected,salt_1,corrected_salt_q_perturbation,held_until_formal_gate,True,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt2_jin_hi10q_corrected,salt_2,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt2_jin_hi5q_corrected,salt_2,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt2_jin_lo10q_corrected,salt_2,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt2_jin_lo5q_corrected,salt_2,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt3_jin_hi10q_corrected,salt_3,corrected_salt_q_perturbation,held_until_formal_gate,True,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt3_jin_hi5q_corrected,salt_3,corrected_salt_q_perturbation,held_until_formal_gate,True,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt3_jin_lo10q_corrected,salt_3,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt3_jin_lo5q_corrected,salt_3,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt4_jin_hi10q_corrected,salt_4,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt4_jin_hi5q_corrected,salt_4,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt4_jin_lo10q_corrected,salt_4,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
salt4_jin_lo5q_corrected,salt_4,corrected_salt_q_perturbation,held_until_formal_gate,False,held_until_formal_gate_requalified,work_products/2026-07-08_cfd_scenario_contract/scenario_contract.csv
corrected_salt_q_gate_package,,corrected_salt_q_perturbation,held,yes,formal corrected-Salt gate not admitted into closure_observations,work_products/2026-07-07_corrected_salt_preliminary_gate/preliminary_gate_analysis.json
corrected_salt_live_monitor,,corrected_salt_q_perturbation,held,yes,"live monitor is operations evidence, not closure-fit admission",work_products/2026-07-07_corrected_salt_live_monitor/live_salt_sanity_monitor.csv
