case_key,job_id,job_name,partition,job_state,job_elapsed,job_time_limit,job_exit_code,job_start,job_end,q_ratio,restart_time_s,target_end_time_s,control_end_time_s,latest_solver_time_s,advance_since_restart_s,advance_fraction_of_target,remaining_to_control_end_s,solver_log_has_end,convergence_monitor_triggered,fatal_error_count,warning_count,log_scan_scope,preflight_audit_rows,preflight_bad_ok_count,mdot_monitor,mdot_latest_kg_s,nominal_mdot_kg_s,mdot_moved_pct,expected_move_pct,moved_enough,mdot_direction_ok,late_window_drift_pct,late_window_amp_pct,plateau_like,needs_special_gate_scrutiny,scrutiny_reason,closure_fit_admissible_without_coordinator_review,recommendation,log_path
salt1_jin_lo10q_corrected,3275448,corr_saltq_g1,,,,,,,,0.9,3756.33125,9756.33125,9756.33125,5585.279220779,1828.9479707789997,0.3048246617965,4171.052029220999,False,False,0,0,tail_bytes:8000000,1,0,mdot_pipeleg_left_04_test_section,-0.01045388033,nan,nan,3.451061539437028,False,False,-0.15795175337399248,0.15795175337399248,True,True,missing nominal mdot reference,False,hold_for_coordinator_review,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt1_jin_hi10q_corrected,3275448,corr_saltq_g1,,,,,,,,1.1,3756.33125,9756.33125,9756.33125,4010.590361446,254.25911144599968,0.042376518574333284,5745.740888553999,True,True,0,0,tail_bytes:8000000,1,0,mdot_pipeleg_left_04_test_section,-0.01170269243,nan,nan,3.228011545636722,False,False,-4.070821334843825,4.070950891915672,False,True,missing nominal mdot reference; ended early after 254s past restart (4.24% of target extension),False,hold_for_coordinator_review,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt2_jin_lo10q_corrected,3275448,corr_saltq_g1,,,,,,,,0.9,7915.0,13915.0,13915.0,9563.0,1648.0,0.27466666666666667,4352.0,False,False,0,0,tail_bytes:8000000,1,0,mdot_pipeleg_left_04_test_section,-0.01226369162,-0.0132,-7.093245303030307,3.451061539437028,True,True,-0.2500564334242522,0.28246737068863315,True,False,,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt2_jin_lo5q_corrected,3275448,corr_saltq_g1,,,,,,,,0.95,7915.0,13915.0,13915.0,9563.541666667,1648.5416666670008,0.2747569444445001,4351.458333332999,False,False,0,0,tail_bytes:8000000,1,0,mdot_pipeleg_left_04_test_section,-0.01273265134,-0.0132,-3.540520151515153,1.6952427508441503,True,True,-0.13096811934688732,0.15357367168111333,True,False,,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt2_jin_hi5q_corrected,3275449,corr_saltq_g2,,,,,,,,1.05,7915.0,13915.0,13915.0,9216.244318182,1301.244318182,0.21687405303033333,4698.755681818,False,False,0,0,tail_bytes:8000000,1,0,mdot_pipeleg_left_04_test_section,-0.01364333837,-0.0132,3.3586240151515216,1.6396356814853519,True,True,0.16542200062050974,0.173607352559277,True,False,,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt2_jin_hi10q_corrected,3275449,corr_saltq_g2,,,,,,,,1.1,7915.0,13915.0,13915.0,9137.538888889,1222.5388888889993,0.20375648148149988,4777.461111111001,False,False,0,0,tail_bytes:8000000,1,0,mdot_pipeleg_left_04_test_section,-0.01406107933,-0.0132,6.523328257575759,3.228011545636722,True,True,0.2875375192561022,0.29997033040847376,True,False,,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt3_jin_lo10q_corrected,3275449,corr_saltq_g2,,,,,,,,0.9,7618.0,13618.0,13618.0,8879.835227273,1261.8352272730008,0.2103058712121668,4738.164772726999,False,False,0,0,tail_bytes:8000000,1,0,mdot_pipeleg_left_04_test_section,-0.01406583057,-0.01499,-6.165239693128751,3.451061539437028,True,True,-0.25508313321842385,0.26574594297624804,True,False,,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt3_jin_lo5q_corrected,3275449,corr_saltq_g2,,,,,,,,0.95,7618.0,13618.0,13618.0,8855.26519337,1237.26519337,0.20621086556166665,4762.73480663,False,False,0,0,tail_bytes:8000000,1,0,mdot_pipeleg_left_04_test_section,-0.01453854825,-0.01499,-3.011686124082721,1.6952427508441503,True,True,-0.11181741040562558,0.14908548070297653,True,False,,False,hold_running_wait_for_formal_gate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt3_jin_hi5q_corrected,3275450,corr_saltq_g3,,,,,,,,1.05,7618.0,13618.0,13618.0,7639.476190476,21.47619047599983,0.003579365079333305,5978.523809524,False,False,3,1,full,1,0,mdot_pipeleg_left_04_test_section,-0.01523409169,-0.01499,1.6283635090060036,1.6396356814853519,True,True,1.6206914982708227,1.6206914982708227,False,True,fatal/error markers=3,False,investigate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
salt3_jin_hi10q_corrected,3275450,corr_saltq_g3,,,,,,,,1.1,7618.0,13618.0,13618.0,7637.875696673,19.875696672999766,0.0033126161121666275,5980.124303327,False,False,4,1,full,1,0,mdot_pipeleg_left_04_test_section,-0.01541195655,-0.01499,2.8149202801867896,3.228011545636722,True,True,2.78785501033947,2.78785501033947,False,True,fatal/error markers=4,False,investigate,jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt3_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/logs/log.foamRun_corrected_q
