source_id,case_id,source_owner,source_root,local_link_path,registered_at,size_bytes,status
modern_runs_campaign_inventory_2026-06-01,campaign_modern_runs,ethan_modern_runs_external,/home1/09748/andresfierro231/bubble_flow_loop/tamu_loop_box/ethan_data/modern_runs,,2026-06-01T11:46:33-05:00,,inventory_only
val_salt_test_2_coarse_mesh_laminar,salt_test_2,native_2d_cfd_external,/scratch/09748/andresfierro231/projects_scratch/val_salt_test_2_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/val_salt_test_2_coarse_mesh_laminar,2026-05-29T15:48:57-05:00,4170342240,registered
val_water_test_1_coarse_mesh_laminar,water_test_1,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_1_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/val_water_test_1_coarse_mesh_laminar,2026-06-01T14:15:50-05:00,7248479093,registered
val_water_test_2_coarse_mesh_laminar,water_test_2,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_2_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/val_water_test_2_coarse_mesh_laminar,2026-06-01T14:15:53-05:00,7077622027,registered
val_water_test_3_coarse_mesh_laminar,water_test_3,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_3_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/val_water_test_3_coarse_mesh_laminar,2026-06-01T14:15:56-05:00,7123783997,registered
val_water_test_4_coarse_mesh_laminar,water_test_4,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/water/val_water_test_4_coarse_mesh_laminar,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/val_water_test_4_coarse_mesh_laminar,2026-06-01T14:15:58-05:00,6871875832,registered
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/viscosity_screening_salt_test_1_jin_coarse_mesh,2026-06-01T14:15:35-05:00,4071861406,registered
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_1_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/viscosity_screening_salt_test_1_kirst_coarse_mesh,2026-06-01T14:15:38-05:00,4080260699,registered
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/viscosity_screening_salt_test_2_jin_coarse_mesh,2026-06-01T14:15:40-05:00,3863370831,registered
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_2_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/viscosity_screening_salt_test_2_kirst_coarse_mesh,2026-06-01T14:15:42-05:00,3251948680,registered
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/viscosity_screening_salt_test_3_jin_coarse_mesh,2026-06-01T14:15:43-05:00,3940684797,registered
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_3_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/viscosity_screening_salt_test_3_kirst_coarse_mesh,2026-06-01T14:15:45-05:00,4187287746,registered
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_jin_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/viscosity_screening_salt_test_4_jin_coarse_mesh,2026-06-01T14:15:47-05:00,3845035615,registered
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,ethan_modern_runs_staged,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/staging/modern_runs/2026-06-01_full_extractable_batch/salt/viscosity_screening_salt_test_4_kirst_coarse_mesh,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/linked_cases/viscosity_screening_salt_test_4_kirst_coarse_mesh,2026-06-01T14:15:48-05:00,4154226175,registered
salt1_jin_lo10q_corrected,salt_test_1_jin_corrected_q_lo10q,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,,2026-07-10T12:30:00-05:00,,registered
salt1_jin_hi10q_corrected,salt_test_1_jin_corrected_q_hi10q,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt1_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,,2026-07-10T12:30:00-05:00,,registered
salt2_jin_lo10q_corrected,salt_test_2_jin_corrected_q_lo10q,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,2026-07-10T12:30:00-05:00,,registered
salt2_jin_lo5q_corrected,salt_test_2_jin_corrected_q_lo5q,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,2026-07-10T12:30:00-05:00,,registered
salt2_jin_hi5q_corrected,salt_test_2_jin_corrected_q_hi5q,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,2026-07-10T12:30:00-05:00,,registered
salt2_jin_hi10q_corrected,salt_test_2_jin_corrected_q_hi10q,corrected_salt_q_sensitivity,/scratch/09748/andresfierro231/projects_scratch/ethan_runs/jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi10q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,,2026-07-10T12:30:00-05:00,,registered
