case_id,boundary_class,patch_name,face_count,area_m2,source_bounded_role,release_status,blocking_reason
salt_2,classified_ncc_cap,ncc_pipeleg_right_01_lower_start,48,1.30232571146e-05,classified_cap,released_context_class,
salt_2,classified_ncc_cap,ncc_pipeleg_right_03_upper_end,48,1.30232571146e-05,classified_cap,released_context_class,
salt_2,trusted_right_leg_wall,pipeleg_right_01_lower,12960,0.0211450003657,trusted_wall,released_boundary_class,
salt_2,trusted_right_leg_wall,pipeleg_right_02_middle,12960,0.021145000363,trusted_wall,released_boundary_class,
salt_2,trusted_right_leg_wall,pipeleg_right_03_upper,12960,0.0211450003643,trusted_wall,released_boundary_class,
salt_3,classified_ncc_cap,ncc_pipeleg_right_01_lower_start,48,1.30232571146e-05,classified_cap,released_context_class,
salt_3,classified_ncc_cap,ncc_pipeleg_right_03_upper_end,48,1.30232571146e-05,classified_cap,released_context_class,
salt_3,trusted_right_leg_wall,pipeleg_right_01_lower,12960,0.0211450003657,trusted_wall,released_boundary_class,
salt_3,trusted_right_leg_wall,pipeleg_right_02_middle,12960,0.021145000363,trusted_wall,released_boundary_class,
salt_3,trusted_right_leg_wall,pipeleg_right_03_upper,12960,0.0211450003643,trusted_wall,released_boundary_class,
salt_4,classified_ncc_cap,ncc_pipeleg_right_01_lower_start,48,1.30232571146e-05,classified_cap,released_context_class,
salt_4,classified_ncc_cap,ncc_pipeleg_right_03_upper_end,48,1.30232571146e-05,classified_cap,released_context_class,
salt_4,trusted_right_leg_wall,pipeleg_right_01_lower,12960,0.0211450003657,trusted_wall,released_boundary_class,
salt_4,trusted_right_leg_wall,pipeleg_right_02_middle,12960,0.021145000363,trusted_wall,released_boundary_class,
salt_4,trusted_right_leg_wall,pipeleg_right_03_upper,12960,0.0211450003643,trusted_wall,released_boundary_class,
