case_id,time_window_s,input_name,path,exists,role,native_solver_output,mutated,contract_status
salt_2,7915,cell_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt2_smoke/vtk/salt_2_cell_fields.vtk,true,whole-mesh U/T/rho/cellID source,false,false,ready_read_only
salt_2,7915,volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_2_cell_volumes.csv,true,cell-volume support for recirc reductions,false,false,ready_read_only
salt_2,7915,recirc_cell_mask,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_2_seeded_recirc_cell_mask.csv,true,seeded recirculation CV mask,false,false,ready_read_only
salt_2,7915,exchange_interface_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_2_seeded_exchange_interface_faces.csv,true,exchange interface face IDs,false,false,ready_read_only
salt_2,7915,trusted_wall_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_2_seeded_trusted_wall_faces.csv,true,trusted wall face IDs,false,false,ready_read_only
salt_2,7915,wall_core_band_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/bands/salt_2_seeded_wall_core_band.csv,true,wall/core thermal band definition,false,false,ready_read_only
salt_2,7915,source_sink_summary_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,true,"static source/sink context, not Q_wall_W",false,false,ready_read_only
salt_3,7618,cell_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_3_cell_fields.vtk,true,whole-mesh U/T/rho/cellID source,false,false,ready_read_only
salt_3,7618,volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_3_cell_volumes.csv,true,cell-volume support for recirc reductions,false,false,ready_read_only
salt_3,7618,recirc_cell_mask,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_3_seeded_recirc_cell_mask.csv,true,seeded recirculation CV mask,false,false,ready_read_only
salt_3,7618,exchange_interface_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_3_seeded_exchange_interface_faces.csv,true,exchange interface face IDs,false,false,ready_read_only
salt_3,7618,trusted_wall_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_3_seeded_trusted_wall_faces.csv,true,trusted wall face IDs,false,false,ready_read_only
salt_3,7618,wall_core_band_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/bands/salt_3_seeded_wall_core_band.csv,true,wall/core thermal band definition,false,false,ready_read_only
salt_3,7618,source_sink_summary_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,true,"static source/sink context, not Q_wall_W",false,false,ready_read_only
salt_4,10000,cell_vtk,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_cell_vtk_salt3_salt4_matrix/vtk/salt_4_cell_fields.vtk,true,whole-mesh U/T/rho/cellID source,false,false,ready_read_only
salt_4,10000,volume_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_input_generation/cell_volumes/salt_4_cell_volumes.csv,true,cell-volume support for recirc reductions,false,false,ready_read_only
salt_4,10000,recirc_cell_mask,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/masks/salt_4_seeded_recirc_cell_mask.csv,true,seeded recirculation CV mask,false,false,ready_read_only
salt_4,10000,exchange_interface_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_4_seeded_exchange_interface_faces.csv,true,exchange interface face IDs,false,false,ready_read_only
salt_4,10000,trusted_wall_faces_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/faces/salt_4_seeded_trusted_wall_faces.csv,true,trusted wall face IDs,false,false,ready_read_only
salt_4,10000,wall_core_band_csv,work_products/2026-07/2026-07-21/2026-07-21_s13_upcomer_exchange_surface_input_manifest_from_seeded_cv/bands/salt_4_seeded_wall_core_band.csv,true,wall/core thermal band definition,false,false,ready_read_only
salt_4,10000,source_sink_summary_csv,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/source_sink_summary.csv,true,"static source/sink context, not Q_wall_W",false,false,ready_read_only
