source_id,case_id,decision,primary_hypothesis,recommended_next_case,insulation_direction,notes
val_salt_test_2_coarse_mesh_laminar,salt_test_2,continue_now,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,alternate_case_first,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,alternate_case_first,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,alternate_case_first,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,alternate_case_first,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,analyze_as_diagnostic_only,no strong alternate-case inference yet,analyze_time_histories_first,hold,Use the time-series diagnostics before changing assumptions.
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,alternate_case_first,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,analyze_as_diagnostic_only,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,alternate_case_first,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
val_water_test_1_coarse_mesh_laminar,water_test_1,analyze_as_diagnostic_only,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
val_water_test_2_coarse_mesh_laminar,water_test_2,analyze_as_diagnostic_only,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
val_water_test_3_coarse_mesh_laminar,water_test_3,analyze_as_diagnostic_only,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
val_water_test_4_coarse_mesh_laminar,water_test_4,analyze_as_diagnostic_only,flow resistance and wall-loss coupling likely need revision,revisit_property_and_loss_coupling,hold,Low flow with poor validation alignment is more likely a coupled physics/setup issue than a runtime-only issue.
