source_id,case_id,base_case_id,variant_label,run_status,convergence_reached,final_time,latest_processor_time,mdot_late_window_drift_pct,probe_late_window_drift_abs_k,wall_heat_late_window_drift_abs_w,exp_mdot_abs_error_pct,exp_q_external_loss_abs_error_pct,exp_all_temp_rmse_k,decision,decision_reason,submission_note
val_salt_test_2_coarse_mesh_laminar,salt_test_2,salt_test_2,,running,False,3871.0,3871,0.010746826468248729,0.030223666666643112,0.0028360000000000607,18.951017976190467,20.574219228738393,5.195921279377687,continue_now,active continuation is still running and this row is the only already-justified extension target,"If a rerun is submitted, default to 64 ranks and pack 3 runs per 256-core node before attempting 4-up packing."
viscosity_screening_salt_test_1_jin_coarse_mesh,salt_test_1_jin,salt_test_1,jin,terminated,False,3230.0,3229,0.03291888386560419,0.03454916666663621,0.0455400000000008,28.70387302215191,27.360108353568656,17.745189678331162,alternate_case_first,"late-window trends are already relatively flat while validation mismatch is still large, which points to setup assumptions rather than runtime",No immediate continuation submission recommended.
viscosity_screening_salt_test_1_kirst_coarse_mesh,salt_test_1_kirst,salt_test_1,kirst,completed,True,3279.163522013,3279,1.2806326660609235e-06,0.0,0.0,30.809515537974686,27.346344175812238,17.55620984679648,alternate_case_first,"converged but still misses validation materially, so more runtime is unlikely to fix the dominant error",No immediate continuation submission recommended.
viscosity_screening_salt_test_2_jin_coarse_mesh,salt_test_2_jin,salt_test_2,jin,terminated,False,2432.0,2431,0.002971237028324439,0.013659333333293944,0.0008710000000000107,21.65710934523809,20.945467128832053,5.622281562405422,alternate_case_first,"late-window trends are already relatively flat while validation mismatch is still large, which points to setup assumptions rather than runtime",No immediate continuation submission recommended.
viscosity_screening_salt_test_2_kirst_coarse_mesh,salt_test_2_kirst,salt_test_2,kirst,completed,True,586.560241,586,7.575409701264374e-06,2.166666661196359e-06,1.6000000000016e-05,27.121653571428574,20.43851841298395,6.140964304544514,alternate_case_first,"converged but still misses validation materially, so more runtime is unlikely to fix the dominant error",No immediate continuation submission recommended.
viscosity_screening_salt_test_3_jin_coarse_mesh,salt_test_3_jin,salt_test_3,jin,terminated,False,2515.0,2514,0.019718272105937067,0.0286111666666784,0.005649999999999933,14.711376500000014,19.009679138345895,5.612608549444536,analyze_as_diagnostic_only,"non-converged row is analyzable for behavior/trends, but a blanket rerun is not justified by the current evidence",No immediate continuation submission recommended.
viscosity_screening_salt_test_3_kirst_coarse_mesh,salt_test_3_kirst,salt_test_3,kirst,terminated,False,3298.0,3297,0.009228327636754772,0.0189424999999801,0.02928900000000001,20.17977992857144,19.01950843267885,5.458447708953641,alternate_case_first,"late-window trends are already relatively flat while validation mismatch is still large, which points to setup assumptions rather than runtime",No immediate continuation submission recommended.
viscosity_screening_salt_test_4_jin_coarse_mesh,salt_test_4_jin,salt_test_4,jin,terminated,False,2083.0,2082,0.6455857140406753,0.007544499999994514,0.10922000000000004,15.496810024875622,17.40163440703854,6.061627553731621,analyze_as_diagnostic_only,"non-converged row is analyzable for behavior/trends, but a blanket rerun is not justified by the current evidence",No immediate continuation submission recommended.
viscosity_screening_salt_test_4_kirst_coarse_mesh,salt_test_4_kirst,salt_test_4,kirst,terminated,False,2984.0,2983,0.20748751094817577,0.05151633333332484,0.025969999999999993,20.999207201492545,17.45227379771527,5.908171197457817,alternate_case_first,"late-window trends are already relatively flat while validation mismatch is still large, which points to setup assumptions rather than runtime",No immediate continuation submission recommended.
val_water_test_1_coarse_mesh_laminar,water_test_1,water_test_1,,terminated,False,5274.0,5274,0.7922966873311841,0.043002500000000055,0.005354000000000025,21.60989997891566,5.6368920211303,1.4286990033767857,analyze_as_diagnostic_only,"water rows remain useful for trend inspection, but are not yet strong continuation candidates",No immediate continuation submission recommended.
val_water_test_2_coarse_mesh_laminar,water_test_2,water_test_2,,terminated,False,3985.0,3980,1.173462309626168,0.011162666666677978,0.019644999999999996,21.657708990000003,6.997719125082173,1.6620440471672377,analyze_as_diagnostic_only,"water rows remain useful for trend inspection, but are not yet strong continuation candidates",No immediate continuation submission recommended.
val_water_test_3_coarse_mesh_laminar,water_test_3,water_test_3,,terminated,False,3732.0,3728,0.12686413642751415,0.07372433333330264,0.01008400000000001,25.560936558333335,6.548594011338947,1.815082567549664,analyze_as_diagnostic_only,"water rows remain useful for trend inspection, but are not yet strong continuation candidates",No immediate continuation submission recommended.
val_water_test_4_coarse_mesh_laminar,water_test_4,water_test_4,,terminated,False,2542.0,2542,7.881684065386913,0.23885133333334352,0.016462000000000004,28.00657187086093,4.632730759523292,2.3761628765606178,analyze_as_diagnostic_only,"water rows remain useful for trend inspection, but are not yet strong continuation candidates",No immediate continuation submission recommended.
