variable_family,scrutiny_status,row_count
boundary_layer_context,internal_only,13
direct_pressure_gradient,do_not_promote,1
direct_pressure_gradient,internal_only,24
direct_pressure_gradient,paper_safe,53
effective_htc,do_not_promote,34
effective_htc,internal_only,20
effective_htc,paper_safe,37
effective_ua,do_not_promote,34
effective_ua,internal_only,20
effective_ua,paper_safe,37
momentum_resistance,do_not_promote,1
momentum_resistance,internal_only,24
momentum_resistance,paper_safe,53
shear_friction,do_not_promote,2
shear_friction,internal_only,23
shear_friction,paper_safe,53
thermal_resistance,do_not_promote,34
thermal_resistance,internal_only,20
thermal_resistance,paper_safe,37
