case_key,source_key,canonical_split_role,canonical_fit_allowed,canonical_model_selection_allowed,canonical_score_allowed,s5_fit_allowed,s5_model_selection_allowed,s5_score_allowed,s5_release_status,protection_rule,source_paths
salt1_nominal,salt1_jin_nominal_continuation_corrected,final_training,yes,yes,yes,no,no,yes_after_freeze_or_gate,fit_and_model_selection_closed_by_source_property_gate,training_roles_still_source_property_gated,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt2_jin_nominal,viscosity_screening_salt_test_2_jin_coarse_mesh,final_training,yes,yes,yes,no,no,yes_after_freeze_or_gate,fit_and_model_selection_closed_by_source_property_gate,training_roles_still_source_property_gated,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt3_jin_nominal,viscosity_screening_salt_test_3_jin_coarse_mesh,final_training,yes,yes,yes,no,no,yes_after_freeze_or_gate,fit_and_model_selection_closed_by_source_property_gate,training_roles_still_source_property_gated,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt4_nominal,viscosity_screening_salt_test_4_jin_coarse_mesh,final_training,yes,yes,yes,no,no,yes_after_freeze_or_gate,fit_and_model_selection_closed_by_source_property_gate,training_roles_still_source_property_gated,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt1_lo10q,salt1_jin_lo10q_corrected,training_support,yes_with_label,yes_with_label,yes,no,no,no,fit_and_model_selection_closed_by_source_property_gate,training_roles_still_source_property_gated,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt1_hi10q,salt1_jin_hi10q_corrected,training_support,yes_with_label,yes_with_label,yes,no,no,no,fit_and_model_selection_closed_by_source_property_gate,training_roles_still_source_property_gated,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt4_lo5q,salt4_jin_lo5q_corrected,training_support,yes_with_label,yes_with_label,yes,no,no,no,fit_and_model_selection_closed_by_source_property_gate,training_roles_still_source_property_gated,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt4_hi5q,salt4_jin_hi5q_corrected,training_support,yes_with_label,yes_with_label,yes,no,no,no,fit_and_model_selection_closed_by_source_property_gate,training_roles_still_source_property_gated,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt2_lo5q,salt2_jin_lo5q_corrected,holdout_testing,no,no,yes,no,no,yes_after_freeze_or_gate,fit_and_model_selection_closed_by_source_property_gate,heldout_external_future_validation_rows_never_fit_or_select,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt2_hi5q,salt2_jin_hi5q_corrected,holdout_testing,no,no,yes,no,no,yes_after_freeze_or_gate,fit_and_model_selection_closed_by_source_property_gate,heldout_external_future_validation_rows_never_fit_or_select,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
val_salt2,val_salt_test_2_coarse_mesh,external_test,no,no,yes_after_admission,no,no,yes_after_freeze_or_gate,fit_and_model_selection_closed_by_source_property_gate,heldout_external_future_validation_rows_never_fit_or_select,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt2_lo10q,salt2_jin_lo10q_corrected,future_holdout_candidate,no,no,yes_after_terminal_admission,no,no,yes_after_future_gate,fit_and_model_selection_closed_by_source_property_gate,heldout_external_future_validation_rows_never_fit_or_select,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt2_hi10q,salt2_jin_hi10q_corrected,future_holdout_candidate,no,no,yes_after_terminal_admission,no,no,yes_after_future_gate,fit_and_model_selection_closed_by_source_property_gate,heldout_external_future_validation_rows_never_fit_or_select,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt4_lo10q,salt4_jin_lo10q_corrected,future_holdout_candidate,no,no,yes_after_terminal_admission,no,no,yes_after_future_gate,fit_and_model_selection_closed_by_source_property_gate,heldout_external_future_validation_rows_never_fit_or_select,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt4_hi10q,salt4_jin_hi10q_corrected,future_holdout_candidate,no,no,yes_after_terminal_admission,no,no,yes_after_future_gate,fit_and_model_selection_closed_by_source_property_gate,heldout_external_future_validation_rows_never_fit_or_select,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
salt3_q_insulation_matrix,AGENT-478_proposed_salt3_q_x_insulation_matrix,new_cfd_holdout_candidate,no,no,yes_after_run_and_admission,no,no,yes_after_future_gate,fit_and_model_selection_closed_by_source_property_gate,heldout_external_future_validation_rows_never_fit_or_select,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv
