qoi_lane,extracted_quantity,source_artifact,reduction_definition,units,current_status,allowed_ch3_use,forbidden_use
case_provenance,case_id source_id source_root runtime_root postprocessing_root,salt14_inventory_manifest.csv,Record registered source and runtime/postProcessing roots plus parsed-row and mutation flags,paths/counts,released_for_provenance,Reproducibility table and source audit,using path metadata to imply score/admission
retained_window_stats,mean std min max drift first last,salt14_postprocessing_window_stats.csv,Group by source function quantity entity and retained time-window bounds,mixed,released_diagnostic,Describe temporal stability and diagnostic evidence,claim final production UQ without same-QOI neighbor/mesh gates
mass_flow,realized mdot and related function-object flows,salt14_postprocessing_tidy.csv and window_stats,Parse OpenFOAM function-object history and summarize by retained window,kg/s,diagnostic_only_forbidden_runtime_input,Diagnostic mass-flow stability and model-form error support,predictive runtime mdot input or tuning protected rows
velocity_profile,Ux Uy Uz profile values,salt14_postprocessing_tidy.csv and inventory profile coverage,Parse latest available velocity profile per source in latest mode and retain total profile coverage,counted SI velocity,diagnostic_profile_shape,Chapter 3 description of profile extraction and model-form support,claim full profile-history UQ unless profile-mode all is run separately
pressure,p and p_rgh target-window basis,CFD extraction methodology thesis study and S13 exact pressure package,Volume- or area-weighted reductions over predeclared seeded CV interface core and trusted-wall owner bases,Pa,exact_target_window_diagnostic,Pressure-basis methodology and blocker definition,component K F6 or multiplier admission without same-basis reference and UQ
wall_heat_flow,wallHeatFlux native integral and Q_wall_W,CFD extraction methodology thesis study and S13 exact Qwall package,Integrate native outward wallHeatFlux on trusted-wall faces and define Q_wall_W positive into seeded fluid,W,exact_target_window_diagnostic,Heat-path evidence and sign-convention example,runtime heat-loss input or residual hidden in internal Nu
temperature,T probes walls interface core seeded CV,salt14_postprocessing_tidy.csv and sampled-field methodology package,Retain probe/wall histories and fixed-domain area/volume averages where extracted,K,diagnostic_or_score_only_by_split,Describe sensor/QoI projection and thermal residual diagnosis,validation holdout or external temperatures as runtime inputs
density,rho sampled fields,CFD extraction methodology thesis study,Sample fixed interface/domain fields and area/volume average on declared geometry,kg/m3,limited_diagnostic,Support exchange proxy definitions,production sampler release before same-QOI UQ
exchange_proxy,rho U dot A mdot_exchange and tau_recirc proxy,CFD extraction methodology thesis study and S13 sampled-field packages,Sum outward positive/negative exchange proxies over seeded interface and combine with seeded volume for residence scale,kg/s and s,target_window_proxy_diagnostic,Mechanism evidence for recirculation/exchange,admitted exchange coefficient before production harvest/UQ
properties,cp_J_kg_K viscosity k property mode labels,source/property release and preflight packages,Join case-level property labels and release flags after physical reduction,mixed,labels_present_release_blocked,State property/source blocker and future preflight requirement,broad source/property release or protected score
thermal_accounting,heater internal Nu wall conduction insulation external convection radiation jacket storage residual lanes,thermal accounting traceability package,Assign heat effects to separated ownership lanes and preserve residual lane,mixed,contract_ready_diagnostic,Explain heat-loss alignment in methods,absorbing missing heat residual into internal Nu
admission_split,fit model-selection holdout external-test permissions,CFD legal-use matrix and case split table,Join every case/QoI reduction to legal use labels and protected-score policy,flags,released_for_claim_boundary,Prevent leakage and state split design clearly,fit tune or score protected rows before freeze
