source_id,source_path,exists,source_role
canonical_final_predictive_split_policy,work_products/2026-07/2026-07-17/2026-07-17_canonical_final_predictive_split_policy/canonical_final_predictive_split_policy.csv,yes,final_freeze_input
salt1_split_ready_manifest,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_split_ready_manifest.csv,yes,final_freeze_input
case_summary,registry/salt2/ethan_modern_runs_staged/salt_test_2_jin/viscosity_screening_salt_test_2_jin_coarse_mesh/aggregates/case_summary.csv,yes,final_freeze_input
case_summary,registry/salt3/ethan_modern_runs_staged/salt_test_3_jin/viscosity_screening_salt_test_3_jin_coarse_mesh/aggregates/case_summary.csv,yes,final_freeze_input
case_summary,registry/salt4/ethan_modern_runs_staged/salt_test_4_jin/viscosity_screening_salt_test_4_jin_coarse_mesh/aggregates/case_summary.csv,yes,final_freeze_input
salt1_split_ready_manifest,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_split_ready_manifest.csv,yes,final_freeze_input
salt1_bc_source_material_contract,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_bc_source_material_contract.csv,yes,final_freeze_input
salt1_patchwise_heat_source_sink_ledger,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_patchwise_heat_source_sink_ledger.csv,yes,final_freeze_input
salt1_pressure_streamwise_rows,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_pressure_streamwise_rows.csv,yes,final_freeze_input
salt1_pressure_branch_score_rows,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_pressure_branch_score_rows.csv,yes,final_freeze_input
salt1_sensor_target_rows,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_sensor_target_rows.csv,yes,final_freeze_input
runtime_input_audit,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/runtime_input_audit.csv,yes,final_freeze_input
