case_group,schema_lane,parity_status,admission_use,source_path,notes
salt1_nominal,split_manifest,pass,final_training_schema_source,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_split_ready_manifest.csv,Salt1 nominal promoted into the Salt2-4 postprocessing/admission schema depth.
salt1_nominal,bc_source_material,pass,final_training_schema_source,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_bc_source_material_contract.csv,Salt1 nominal promoted into the Salt2-4 postprocessing/admission schema depth.
salt1_nominal,heat_ledger,pass,final_training_schema_source,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_patchwise_heat_source_sink_ledger.csv,Salt1 nominal promoted into the Salt2-4 postprocessing/admission schema depth.
salt1_nominal,pressure_streamwise,pass,final_training_schema_source,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_pressure_streamwise_rows.csv,Salt1 nominal promoted into the Salt2-4 postprocessing/admission schema depth.
salt1_nominal,pressure_branch,pass,final_training_schema_source,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_pressure_branch_score_rows.csv,Salt1 nominal promoted into the Salt2-4 postprocessing/admission schema depth.
salt1_nominal,sensor_targets,pass,final_training_schema_source,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/salt1_sensor_target_rows.csv,Salt1 nominal promoted into the Salt2-4 postprocessing/admission schema depth.
salt1_nominal,runtime_input_audit,pass,final_training_schema_source,work_products/2026-07/2026-07-17/2026-07-17_predict_salt1_schema_promotion/runtime_input_audit.csv,Salt1 nominal promoted into the Salt2-4 postprocessing/admission schema depth.
salt2_jin_nominal,registry_aggregate_case_summary,pass,final_training_schema_source,registry/salt2/ethan_modern_runs_staged/salt_test_2_jin/viscosity_screening_salt_test_2_jin_coarse_mesh/aggregates/case_summary.csv,Salt2-4 nominal rows remain on the current canonical postprocessing schema.
salt3_jin_nominal,registry_aggregate_case_summary,pass,final_training_schema_source,registry/salt3/ethan_modern_runs_staged/salt_test_3_jin/viscosity_screening_salt_test_3_jin_coarse_mesh/aggregates/case_summary.csv,Salt2-4 nominal rows remain on the current canonical postprocessing schema.
salt4_nominal,registry_aggregate_case_summary,pass,final_training_schema_source,registry/salt4/ethan_modern_runs_staged/salt_test_4_jin/viscosity_screening_salt_test_4_jin_coarse_mesh/aggregates/case_summary.csv,Salt2-4 nominal rows remain on the current canonical postprocessing schema.
