case_slug,fluid,group,series,unit,n_window,t_start,t_end,window_s,verdict,osc_mean,osc_rmse_about_trend,fit_slope,fit_slope_se,unc_sem_corrected,unc_rel_sem_corrected,drift_over_window,half_drift_over_window,two_sided_95_sem,paper_envelope_abs,paper_envelope_rel,near_zero_mean,trend_resolved,drift_ratio,rel_drift_over_window,use_note
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,mdot,lower (heater),kg/s,302,3457.0,3756.33125,299.33125,steady,-0.011244798815430458,1.2797331266298803e-06,3.2030991251465346e-08,8.51753307199951e-10,9.7233574473663e-07,8.646982135441687e-05,9.58787665004e-06,4.79393832502e-06,1.90577805968e-06,7.97944951133e-06,0.000709612474381,False,True,7.5088291265423885,0.0008545548509283626,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 0 (0.887519 0.70409 0),K,302,3457.0,3756.33125,299.33125,steady,431.90672935761586,0.011928374853791312,-0.0003994560680184507,7.939180849364643e-06,0.012403810835834262,2.8718725578281023e-05,-0.11956968416,0.05978484208,0.0243114692382,0.0960246861721,0.000222327367566,False,True,10.046366070349164,0.0002774599520219819,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 1 (0.887519 -0.245426 0),K,302,3457.0,3756.33125,299.33125,steady,424.60568247351085,0.011841652953789061,-0.00042204983671816873,7.881461264244499e-06,0.012955046493462748,3.051077041172418e-05,-0.126332705187,0.0631663525936,0.0253918911272,0.100399896675,0.000236454434829,False,True,10.692337590837493,0.00029819419815077373,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 2 (-0 0 0),K,302,3457.0,3756.33125,299.33125,steady,421.81280503311217,0.017325065952643673,-0.0004553191280234641,1.1531062153155776e-05,0.012752957011937465,3.023368864047729e-05,-0.13629124374,0.0681456218701,0.0249957957434,0.110466483566,0.000261885088001,False,True,7.884283891351984,0.0003238302317453746,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 3 (-0 0.323501 0),K,302,3457.0,3756.33125,299.33125,steady,430.3152565165566,0.012169499816619148,-0.00038284417707874665,8.099666641490638e-06,0.011699323603021854,2.718779644888495e-05,-0.11459722608,0.0572986130401,0.0229306742619,0.0923987871186,0.000214723474753,False,True,9.437795706835534,0.0002669049060760061,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 4 (-0 0.574779 0),K,302,3457.0,3756.33125,299.33125,steady,431.42829100993447,0.011830031381533575,-0.0003831645198979714,7.873726282319368e-06,0.011901866876483532,2.7587126585097936e-05,-0.114693114697,0.0573465573484,0.0233276590779,0.0925042478078,0.000214413958786,False,True,9.716741423765358,0.0002664390777440798,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,temperature,probe 5 (-0 0.949515 0),K,302,3457.0,3756.33125,299.33125,steady,433.3581042516565,0.01163601495116559,-0.000370643446097676,7.7445945651056e-06,0.0111327447753397,2.56894809768569e-05,-0.110945166025,0.0554725830124,0.0218201797597,0.0889287777232,0.000205208525814,False,True,9.555937689661054,0.00025658464152024163,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,wall_temperature,wall T (spatial mean),K,302,3457.0,3756.33125,299.33125,steady,429.82471676535266,0.012091427465069804,-0.00039852823353254973,8.047703945324327e-06,0.012356452177197469,2.8747653858033087e-05,-0.119291954304,0.0596459771518,0.0242186462673,0.0959560508842,0.000223244609119,False,True,9.887870593042068,0.0002781563400064626,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt1_jin__viscosity_screening_salt_test_1_jin_coarse_mesh_continuation,salt1,heat,total_Q,W,302,3457.0,3756.33125,299.33125,quasi-steady (bounded drift/oscillation),-9.132436622516586,0.015567907148120634,0.0005168347454385632,1.0361548141301278e-05,0.01601440704502133,0.001753574397169844,0.154704790396,0.0773523951978,0.0313882378082,0.124308540154,0.0136117605073,False,True,9.959618987725445,0.016977990654682733,"Use absolute W components; total_Q is a near-zero net residual, so relative percentages can be misleading."
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,mdot,lower (heater),kg/s,301,7615.0,7915.0,300,steady,-0.013199343369335544,1.4504453844386714e-06,-3.291606679720869e-09,9.65366692219104e-10,1.8805500774743145e-07,1.4247300224367007e-05,-9.87482003916e-07,4.93741001958e-07,3.68587815185e-07,2.31277420158e-06,0.000175218883006,False,False,0.6808129520150257,7.48129642729319e-05,Use as steady-window uncertainty component.
