case_slug,fluid,group,series,unit,n_window,t_start,t_end,window_s,verdict,osc_mean,osc_rmse_about_trend,fit_slope,fit_slope_se,unc_sem_corrected,unc_rel_sem_corrected,drift_over_window,half_drift_over_window,two_sided_95_sem,paper_envelope_abs,paper_envelope_rel,near_zero_mean,trend_resolved,drift_ratio,rel_drift_over_window,use_note
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,mdot,lower (heater),kg/s,301,7615.0,7915.0,300,steady,-0.013199343369335544,1.4504453844386714e-06,-3.291606679720869e-09,9.65366692219104e-10,1.8805500774743145e-07,1.4247300224367007e-05,-9.87482003916e-07,4.93741001958e-07,3.68587815185e-07,2.31277420158e-06,0.000175218883006,False,False,0.6808129520150257,7.48129642729319e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 0 (0.887519 0.70409 0),K,301,7615.0,7915.0,300,steady,450.8767079966778,0.018544855944072514,3.701720974237595e-05,1.2342819958944851e-05,0.0016764005239395707,3.718090764519872e-06,0.0111051629227,0.00555258146136,0.00328574502692,0.0273831824324,6.07331936795e-05,False,False,0.5988271333141482,2.4630154376470056e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 1 (0.887519 -0.245426 0),K,301,7615.0,7915.0,300,steady,445.510906714286,0.036364163105793476,3.657512309960716e-05,2.4202739537374254e-05,0.002924645436008002,6.564699970148269e-06,0.0109725369299,0.00548626846494,0.00573230505458,0.0475827366253,0.000106804874826,False,False,0.30174039473863273,2.4629109556051857e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 2 (-0 0 0),K,301,7615.0,7915.0,300,steady,441.6814575813955,0.0004795517860283563,3.5603996391737684e-05,3.1917321837327847e-07,0.0003897506619350314,8.824247775065495e-07,0.0106811989175,0.00534059945876,0.000763911297393,0.00658406254218,1.49068122041e-05,False,True,22.273296083375897,2.418303674329121e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 3 (-0 0.323501 0),K,301,7615.0,7915.0,300,steady,449.6749669534878,0.00026545573808218413,3.378060636729288e-05,1.7667823314984967e-07,0.00037971885445192607,8.444296043973521e-07,0.0101341819102,0.00506709095509,0.000744248954726,0.0060767956479,1.35137512525e-05,False,True,38.17654115674215,2.2536682392720553e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 4 (-0 0.574779 0),K,301,7615.0,7915.0,300,steady,450.4687004119599,0.0001199999170391676,3.3467283888143784e-05,7.9867828338466e-08,0.0003826744892291524,8.495029485493471e-07,0.0100401851664,0.00502009258322,0.000750041998889,0.00589013449915,1.30755688326e-05,False,True,83.66826756360216,2.22883080606072e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,temperature,probe 5 (-0 0.949515 0),K,301,7615.0,7915.0,300,steady,452.33891857807316,0.0002614679430370633,3.3381167851094756e-05,1.7402409356399696e-07,0.0003519303955885446,7.780236922678185e-07,0.0100143503553,0.00500717517766,0.000689783575354,0.00595842669605,1.31724829577e-05,False,True,38.30049006775903,2.2139042085541797e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,wall_temperature,wall T (spatial mean),K,301,7615.0,7915.0,300,steady,448.93545971337954,0.0009618048437152493,3.2001054642244506e-05,6.401443104988292e-07,0.00036198762508353385,8.063244220330533e-07,0.00960031639267,0.00480015819634,0.000709495745164,0.00647145878522,1.44151205818e-05,False,True,9.981563781264974,2.1384624860782045e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,mdot,lower (heater),kg/s,301,7318.0,7618.0,300,steady,-0.014981961293455155,4.370304160865561e-06,-1.4012392110185015e-08,2.908724531809189e-09,8.565540097978569e-07,5.7172355008822585e-05,-4.20371763306e-06,2.10185881653e-06,1.6788458592e-06,8.1510088366e-06,0.000544054858836,False,False,0.9618821661655093,0.00028058526855838904,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 0 (0.887519 0.70409 0),K,301,7318.0,7618.0,300,steady,463.77197750498345,0.02564558558896563,5.103270511100714e-05,1.7068822029188567e-05,0.003981762099484342,8.5856030390313e-06,0.0153098115333,0.00765490576665,0.00780425371499,0.0411047450706,8.86313685698e-05,False,False,0.5969764847128076,3.301150624853704e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 1 (0.887519 -0.245426 0),K,301,7318.0,7618.0,300,steady,459.6434260963457,0.046630019562285796,5.9122434709912185e-05,3.103534143781427e-05,0.003746040488478561,8.149883748567644e-06,0.017736730413,0.00886836520649,0.00734223935742,0.0628406241262,0.000136716029336,False,False,0.3803714984352926,3.8588021509647054e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 2 (-0 0 0),K,301,7318.0,7618.0,300,steady,456.2742559202657,0.005572721508478273,7.913728278805022e-05,3.7090122709997113e-06,0.002074715343416944,4.547079561244197e-06,0.0237411848364,0.0118705924182,0.0040664420731,0.0215097559998,4.71421644344e-05,False,True,4.260249646478028,5.203270736485263e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 3 (-0 0.323501 0),K,301,7318.0,7618.0,300,steady,463.4707694418602,0.0011053760617568559,6.615223955468639e-05,7.357003882013563e-07,0.0010876276243209954,2.3467016606695236e-06,0.0198456718664,0.0099228359332,0.00213175014367,0.0131599621386,2.83943735103e-05,False,True,17.953773881138446,4.2819683947501774e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 4 (-0 0.574779 0),K,301,7318.0,7618.0,300,steady,463.9731995282392,0.0008667908908288134,6.485251809640631e-05,5.769062827890593e-07,0.0012199345793987623,2.6293212207928667e-06,0.0194557554289,0.00972787771446,0.00239107177562,0.0129857403809,2.79881260256e-05,False,True,22.445731300104654,4.193292942071698e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,temperature,probe 5 (-0 0.949515 0),K,301,7318.0,7618.0,300,steady,465.49954596677713,0.003582212212652553,6.495792875845501e-05,2.38419756555921e-06,0.0008228973645619871,1.767772647023629e-06,0.0194873786275,0.00974368931377,0.00161287883454,0.014938780361,3.20919332584e-05,False,True,5.440040251860598,4.18633676367266e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,wall_temperature,wall T (spatial mean),K,301,7318.0,7618.0,300,steady,461.7136774469193,0.0017255650019729711,6.292801432512892e-05,1.1484768720253274e-06,0.0010343322029161945,2.24020264817714e-06,0.0188784042975,0.00943920214877,0.00202729111772,0.0131920582685,2.85719460195e-05,False,True,10.940419095167986,4.088768693604279e-05,Use as steady-window uncertainty component.
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt4_jin__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,mdot,lower (heater),kg/s,301,9700.0,10000.0,300,steady,-0.017080866363920272,3.633935865472417e-05,-3.379841178851965e-08,2.4186230545627307e-08,8.51138171029356e-06,0.0004982991804368928,-1.01395235366e-05,5.06976176828e-06,1.66823081522e-05,5.80914285752e-05,0.00340096499425,False,False,0.2790231834550482,0.0005936188083511677,Use as steady-window uncertainty component.
