case,fluid,quantity,series,unit,mean,corrected_sem,oscillation_amplitude,drift_over_300s,verdict,note
Salt2,salt2,mdot,lower (heater),kg/s,-0.013199343369335544,1.8805500774743145e-07,1.4504453844386714e-06,-9.87482003916e-07,steady,
Salt2,salt2,T probe 0,probe 0 (0.887519 0.70409 0),K,450.8767079966778,0.0016764005239395707,0.018544855944072514,0.0111051629227,steady,
Salt2,salt2,T probe 1,probe 1 (0.887519 -0.245426 0),K,445.510906714286,0.002924645436008002,0.036364163105793476,0.0109725369299,steady,
Salt2,salt2,T probe 2,probe 2 (-0 0 0),K,441.6814575813955,0.0003897506619350314,0.0004795517860283563,0.0106811989175,steady,
Salt2,salt2,T probe 3,probe 3 (-0 0.323501 0),K,449.6749669534878,0.00037971885445192607,0.00026545573808218413,0.0101341819102,steady,
Salt2,salt2,T probe 4,probe 4 (-0 0.574779 0),K,450.4687004119599,0.0003826744892291524,0.0001199999170391676,0.0100401851664,steady,
Salt2,salt2,T probe 5,probe 5 (-0 0.949515 0),K,452.33891857807316,0.0003519303955885446,0.0002614679430370633,0.0100143503553,steady,
Salt2,salt2,wall T,wall T (spatial mean),K,448.93545971337954,0.00036198762508353385,0.0009618048437152493,0.00960031639267,steady,
Salt2,salt2,total_Q residual,total_Q,W,0.14139438870431895,0.0011735670864995423,0.009120557825472659,-0.0097510461816,not steady (drifting),Absolute W residual; avoid relative error because mean is near zero.
Salt3,salt3,mdot,lower (heater),kg/s,-0.014981961293455155,8.565540097978569e-07,4.370304160865561e-06,-4.20371763306e-06,steady,
Salt3,salt3,T probe 0,probe 0 (0.887519 0.70409 0),K,463.77197750498345,0.003981762099484342,0.02564558558896563,0.0153098115333,steady,
Salt3,salt3,T probe 1,probe 1 (0.887519 -0.245426 0),K,459.6434260963457,0.003746040488478561,0.046630019562285796,0.017736730413,steady,
Salt3,salt3,T probe 2,probe 2 (-0 0 0),K,456.2742559202657,0.002074715343416944,0.005572721508478273,0.0237411848364,steady,
Salt3,salt3,T probe 3,probe 3 (-0 0.323501 0),K,463.4707694418602,0.0010876276243209954,0.0011053760617568559,0.0198456718664,steady,
Salt3,salt3,T probe 4,probe 4 (-0 0.574779 0),K,463.9731995282392,0.0012199345793987623,0.0008667908908288134,0.0194557554289,steady,
Salt3,salt3,T probe 5,probe 5 (-0 0.949515 0),K,465.49954596677713,0.0008228973645619871,0.003582212212652553,0.0194873786275,steady,
Salt3,salt3,wall T,wall T (spatial mean),K,461.7136774469193,0.0010343322029161945,0.0017255650019729711,0.0188784042975,steady,
Salt3,salt3,total_Q residual,total_Q,W,0.282102534883721,0.00298234499956424,0.022278001965423996,-0.0244551679391,not steady (drifting),Absolute W residual; avoid relative error because mean is near zero.
Salt4,salt4,mdot,lower (heater),kg/s,-0.017080866363920272,8.51138171029356e-06,3.633935865472417e-05,-1.01395235366e-05,steady,
Salt4,salt4,T probe 0,probe 0 (0.887519 0.70409 0),K,478.9987347109633,0.010226408387268852,0.07084557751790324,0.0119241039801,steady,
Salt4,salt4,T probe 1,probe 1 (0.887519 -0.245426 0),K,475.15116218272436,0.02768187302223693,0.2894962135813196,-0.0356931969814,steady,
Salt4,salt4,T probe 2,probe 2 (-0 0 0),K,474.38752589701045,0.012993849649634256,0.05592298613050076,0.00909351688632,steady,
Salt4,salt4,T probe 3,probe 3 (-0 0.323501 0),K,479.0838671063125,0.004744111930823053,0.02120791562240418,-0.00217720107369,steady,
Salt4,salt4,T probe 4,probe 4 (-0 0.574779 0),K,479.4084167009965,0.003463027696904323,0.015399606481976188,0.000907736595452,steady,
Salt4,salt4,T probe 5,probe 5 (-0 0.949515 0),K,480.83044414285746,0.006536225766302928,0.05113195349977697,0.00182034833117,steady,
Salt4,salt4,wall T,wall T (spatial mean),K,476.95771341097844,0.002663567879066834,0.0162060224029318,-0.00182855014591,steady,
Salt4,salt4,total_Q residual,total_Q,W,0.056404664412292346,0.006310070901723131,0.04593864194602249,-0.0246879977038,steady,Absolute W residual; avoid relative error because mean is near zero.
