case_slug,fluid,group,series,unit,verdict,screen_reason,osc_mean,osc_rmse_about_trend,fit_slope,unc_sem_corrected,unc_rel_sem_corrected
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt2_jin__viscosity_screening_salt_test_2_jin_coarse_mesh_continuation,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.14139438870431895,0.009120557825472659,-3.2503487272007205e-05,0.0011735670864995423,0.008299955162673971
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__salt3_jin__viscosity_screening_salt_test_3_jin_coarse_mesh_continuation,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.282102534883721,0.022278001965423996,-8.151722646366415e-05,0.00298234499956424,0.010571847575894786
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water1__val_water_test_1_coarse_mesh_laminar_continuation,water1,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.0772859053156146,0.008676142633184772,-3.2099301049481865e-05,0.0024184162803375974,0.03129181537644469
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water2__val_water_test_2_coarse_mesh_laminar_continuation,water2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-0.05202578471760801,0.01139558564351751,2.986438375393282e-05,0.002072387934804995,0.03983386211382987
modern_runs__2026-06-18_convergence_and_jin_envelope_wave__water3__val_water_test_3_coarse_mesh_laminar_continuation,water3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),-0.07107314219269104,0.015769953926760023,-5.949904288134465e-05,0.002384772280493904,0.03355377582756074
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt2_jin_optins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.3641558903654488,0.008800231587144158,6.934048007744604e-05,0.0013079849467106247,0.0035918269656382484
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt3_jin_optins__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),1.0082555581395347,0.022172107534335656,-0.0001235327535147742,0.003119569893134949,0.0030940269735693585
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__optimum_insulation_wave__salt4_jin_optins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.18782936710963466,0.04490498211805712,-4.590743050757959e-05,0.006175189373431166,0.03287659149608246
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.3641558903654488,0.008800231587144158,6.934048007744604e-05,0.0013079849467106247,0.0035918269656382484
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.09655677308970098,0.009146671420268211,-2.699933788035467e-05,0.0011657016389931254,0.012072707089229171
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_loq_loins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.1488514019933554,0.009113051640953862,-3.349785659281426e-05,0.0011793102064873108,0.00792273496046718
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt3_jin_hiq_hiins__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.31470420265780735,0.02258784668501183,-9.674408659875469e-05,0.0030634781254341276,0.009734468429597654
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt3_jin_loq_loins__viscosity_screening_salt_test_3_jin_coarse_mesh,salt3,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.49394674086378726,0.022098986501878137,-0.00014113040593166269,0.003214406225695264,0.0065075967908485135
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt4_jin_loq_loins__viscosity_screening_salt_test_4_jin_coarse_mesh_continuation,salt4,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.16906321993355464,0.043337687871463394,-7.327656051572018e-05,0.005830416963345623,0.03448660782420385
modern_runs__2026-06-25_ethan_normal_relaunch_and_recirculation_boundary_wave__salt2_jin_hi5q_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,heat,total_Q,W,not steady (drifting),not_uncertainty_usable_verdict:not steady (drifting),0.21055731893687704,0.009076319768398565,-4.9393913885283055e-05,0.0012326711564927281,0.0058543258563349704
