case_id,mesh_level,station_label,sample_time_s,p_present,p_rgh_present,static_pressure_basis_status,admission_effect
salt_2,coarse,right_leg__s03,7915,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_2,coarse,right_leg__s01,7915,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_2,coarse,test_section_span__s03,7915,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_2,coarse,test_section_span__s01,7915,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_3,coarse,right_leg__s03,7618,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_3,coarse,right_leg__s01,7618,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_3,coarse,test_section_span__s03,7618,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_3,coarse,test_section_span__s01,7618,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_4,coarse,right_leg__s03,10000,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_4,coarse,right_leg__s01,10000,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_4,coarse,test_section_span__s03,10000,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
salt_4,coarse,test_section_span__s01,10000,false,true,blocked_missing_static_p,blocks_same_qoi_static_pressure_UQ_and_F6_component_admission
