recommended_order,case_key,study_group,target_regime,target_heater_power_W,insulation_mode,launch_decision,precondition,required_outputs,scientific_use,source_path
1,salt3_jin_q1500w_hiins_onset_anchor,sentinel_cell_off,high_Re_high_insulation_cell_off_target,1500,hiins,next_if_current_terminal_evidence_insufficient,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
2,salt3_jin_q0150w_loins_onset_anchor,sentinel_cell_max,low_Q_low_insulation_cell_max_target,150,loins,next_if_current_terminal_evidence_insufficient,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
3,salt3_jin_q0250w_baseline_onset_anchor,small_q_x_insulation_matrix,q_by_insulation_onset_matrix,250,baseline,launch_after_sentinel_gap_confirmed,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
4,salt3_jin_q0250w_hiins_onset_anchor,small_q_x_insulation_matrix,q_by_insulation_onset_matrix,250,hiins,launch_after_sentinel_gap_confirmed,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
5,salt3_jin_q0250w_loins_onset_anchor,small_q_x_insulation_matrix,q_by_insulation_onset_matrix,250,loins,launch_after_sentinel_gap_confirmed,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
6,salt3_jin_q0500w_baseline_onset_anchor,small_q_x_insulation_matrix,q_by_insulation_onset_matrix,500,baseline,launch_after_sentinel_gap_confirmed,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
7,salt3_jin_q0500w_hiins_onset_anchor,small_q_x_insulation_matrix,q_by_insulation_onset_matrix,500,hiins,launch_after_sentinel_gap_confirmed,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
8,salt3_jin_q0500w_loins_onset_anchor,small_q_x_insulation_matrix,q_by_insulation_onset_matrix,500,loins,launch_after_sentinel_gap_confirmed,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
9,salt3_jin_q1000w_baseline_onset_anchor,small_q_x_insulation_matrix,q_by_insulation_onset_matrix,1000,baseline,launch_after_sentinel_gap_confirmed,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
10,salt3_jin_q1000w_hiins_onset_anchor,small_q_x_insulation_matrix,q_by_insulation_onset_matrix,1000,hiins,launch_after_sentinel_gap_confirmed,after PM10/high-heat terminal harvest or explicit evidence gap,U;T;wallHeatFlux;Re/Pr/Ri/Gr/Ra/Gz;wall-core DeltaT;RAF/RMF/SVF;secondary velocity;steady-window;mesh/time UQ,onset anchor; not ordinary upcomer Nu/f_D/K fit unless reverse fractions pass,work_products/2026-07/2026-07-16/2026-07-16_recirculation_cfd_anchor_study_design/proposed_cfd_run_matrix.csv
