row_id,evidence_family,case_key,lane,RAF,RMF,pressure_evidence,reverse_flow_gate,scoreable_now,promotion_allowed,source_status,primary_blocker,next_action,source_path
pm5:salt2_lo5q:left_lower_leg,PM5,salt2_lo5q,recirculation_diagnostic,0.6177451405,0.5000044571,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_lo5q:test_section_span,PM5,salt2_lo5q,recirculation_diagnostic,0.3692928784,0.5000060995,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_lo5q:left_upper_leg,PM5,salt2_lo5q,recirculation_diagnostic,0.7901396438,0.5000621677,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:left_lower_leg,PM5,salt2_hi5q,recirculation_diagnostic,0.6096763649,0.4999936722,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:test_section_span,PM5,salt2_hi5q,recirculation_diagnostic,0.3748113482,0.4999916556,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt2_hi5q:left_upper_leg,PM5,salt2_hi5q,recirculation_diagnostic,0.785845516,0.5000672828,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:left_lower_leg,PM5,salt4_lo5q,recirculation_diagnostic,0.5466041262,0.5000026995,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:test_section_span,PM5,salt4_lo5q,recirculation_diagnostic,0.3764033442,0.4999969289,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_lo5q:left_upper_leg,PM5,salt4_lo5q,recirculation_diagnostic,0.7765350946,0.5000757768,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5:salt4_hi5q:left_lower_leg,PM5,salt4_hi5q,recirculation_diagnostic,0.5228637749,0.4999749795,no_admitted_hybrid_pressure_residual_movement,fail_material_reverse_flow,no,no,diagnostic_recirculation,material_recirculation_blocks_ordinary_f6; missing_hybrid_admission_evidence,do not fit ordinary F6 from PM5; use only as diagnostic/onset evidence,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
