case_id,geometry_lane,candidate_id,source_path,prior_classification,prior_release_status,recovery_decision,release_now,decision_reason,next_action
salt_2,exchange_interface,mdot_pipeleg_right_02_middle,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_2,exchange_interface,mdot_pipeleg_lower_05_straight,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_2,exchange_interface,mdot_pipeleg_upper_05_cooler,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_2,exchange_interface,mdot_pipeleg_left_04_test_section,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_2,exchange_interface,upcomer_outlet_proxy,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surface_extraction_contract.csv,representative_proxy_not_exchange_interface,rejected,do_not_use,false,upcomer outlet proxy is explicitly forbidden as an exchange-interface substitute,replace with a trusted exchange-interface VTK and normal/area provenance
salt_3,exchange_interface,mdot_pipeleg_right_02_middle,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_3,exchange_interface,mdot_pipeleg_lower_05_straight,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_3,exchange_interface,mdot_pipeleg_upper_05_cooler,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_3,exchange_interface,mdot_pipeleg_left_04_test_section,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/system/topoSetDict,loop_mass_flow_plane_not_exchange_interface,rejected,do_not_use,false,"loop faceZone is ordinary section flow, not the main/recirculation exchange boundary",define a conservative exchange surface from a recirculation cell mask; do not reuse loop mdot planes
salt_3,exchange_interface,upcomer_outlet_proxy,work_products/2026-07/2026-07-21/2026-07-21_upcomer_exchange_surface_source_generation/surface_extraction_contract.csv,representative_proxy_not_exchange_interface,rejected,do_not_use,false,upcomer outlet proxy is explicitly forbidden as an exchange-interface substitute,replace with a trusted exchange-interface VTK and normal/area provenance
