case_id,source_id,physical_segment,bracket_status,enthalpy_change_W,segment_wallHeatFlux_diagnostic_W,energy_residual_W,residual_fraction,residual_assignment,max_interface_recirc_ratio,runtime_legality,next_owner,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cooling_branch,bracketed_upper_leg_but_partial_cooler_sink,-61.178223,-148.7186,-87.540377,-1.430907,segment_wall_flux_minus_physical_interface_enthalpy_change,0.258402,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_upper_leg__s04.xy
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,bracketed_full_span_interfaces,86.870401,-23.1173,-109.987701,-1.266113,segment_wall_flux_minus_physical_interface_enthalpy_change,0.76273,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_right_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_right_leg__s04.xy
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction,not_bracketed_by_available_secmean_surfaces,,-39.1283,,,junction_loss_reported_as_wall_flux_not_segment_enthalpy,,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,bracketed_full_span_interfaces,288.360609,236.851,-51.509609,-0.178629,segment_wall_flux_minus_physical_interface_enthalpy_change,0.286604,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_lower_leg__s04.xy
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,bracketed_composite_high_recirculation_diagnostic,136.677123,-25.7603,-162.437423,-1.188476,diagnostic_only_upcomer_recirculation_cell,0.980419,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-4-UPCOMER-EXCHANGE-AND-INTERNAL-NU-GATE,tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_lower_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_left_upper_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt2_of13/postProcessing/secmeanSurfaces/7915/plane_test_section_span__s04.xy
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,cooling_branch,bracketed_upper_leg_but_partial_cooler_sink,-83.064978,-164.3403,-81.275322,-0.978455,segment_wall_flux_minus_physical_interface_enthalpy_change,0.279976,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_upper_leg__s04.xy
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,downcomer,bracketed_full_span_interfaces,110.221061,-25.3479,-135.568961,-1.229973,segment_wall_flux_minus_physical_interface_enthalpy_change,0.944414,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_right_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_right_leg__s04.xy
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,junction,not_bracketed_by_available_secmean_surfaces,,-43.2347,,,junction_loss_reported_as_wall_flux_not_segment_enthalpy,,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,lower_leg,bracketed_full_span_interfaces,336.914608,265.8281,-71.086508,-0.210993,segment_wall_flux_minus_physical_interface_enthalpy_change,0.297688,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_lower_leg__s04.xy
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,upcomer,bracketed_composite_high_recirculation_diagnostic,-77.181993,-32.6189,44.563093,0.577377,diagnostic_only_upcomer_recirculation_cell,0.991368,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-4-UPCOMER-EXCHANGE-AND-INTERNAL-NU-GATE,tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_left_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_left_lower_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_left_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_left_upper_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_test_section_span__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt3_of13/postProcessing/secmeanSurfaces/7618/plane_test_section_span__s04.xy
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,cooling_branch,bracketed_upper_leg_but_partial_cooler_sink,-112.529722,-184.3139,-71.784178,-0.637913,segment_wall_flux_minus_physical_interface_enthalpy_change,0.298478,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_upper_leg__s04.xy
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,downcomer,bracketed_full_span_interfaces,134.564601,-28.1246,-162.689201,-1.209004,segment_wall_flux_minus_physical_interface_enthalpy_change,0.911028,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_right_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_right_leg__s04.xy
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,junction,not_bracketed_by_available_secmean_surfaces,,-48.4852,,,junction_loss_reported_as_wall_flux_not_segment_enthalpy,,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,lower_leg,bracketed_full_span_interfaces,400.569302,302.3316,-98.237702,-0.245245,segment_wall_flux_minus_physical_interface_enthalpy_change,0.309687,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-3-WALL-TEST-SECTION-MODEL-SCORE,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_lower_leg__s04.xy
salt_4,viscosity_screening_salt_test_4_jin_coarse_mesh,upcomer,bracketed_composite_high_recirculation_diagnostic,-78.010648,-41.3286,36.682048,0.470218,diagnostic_only_upcomer_recirculation_cell,0.980864,diagnostic residual; forbidden predictive wallHeatFlux runtime input,TODO-HEATLOSS-PHASE-4-UPCOMER-EXCHANGE-AND-INTERNAL-NU-GATE,tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_left_lower_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_left_lower_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_left_upper_leg__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_left_upper_leg__s04.xy;tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_test_section_span__s00.xy;tmp/2026-06-30_claude_action_items/recon_salt4_of13/postProcessing/secmeanSurfaces/10000/plane_test_section_span__s04.xy
