case_id,source_id,span,patch_group,physical_role,heat_path,wallHeatFlux_diagnostic_W,heat_to_fluid_diagnostic_W,heater_imposed_duty_W,cooler_removed_duty_W,imposed_Q_minus_wallHeatFlux_W,external_convection_status,wall_layer_contact_status,radiation_qr_presence_status,storage_status,residual_owner,fit_or_admission_status,runtime_legality,quality_flags,source_paths
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cooling_branch,ambient_wall,passive_ambient_loss_or_gain,external_convection;wall_conduction;radiation_absence_status,-12.3679,-12.3679,,,,fields_present,resistance_terms_present,absent_no_qr_output,absent_no_solid_storage_field,passive_wall_external,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,cooling_branch,cooler,intended_cooler_removal,jacket_cooler_removal,-136.3507,-136.3507,,136.3507,-0.00004,missing_or_not_applicable,missing_or_not_applicable,absent_no_qr_output,absent_no_solid_storage_field,cooler_hx_removal,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,downcomer,ambient_wall,passive_ambient_loss_or_gain,external_convection;wall_conduction;radiation_absence_status,-23.1173,-23.1173,,,,fields_present,resistance_terms_present,absent_no_qr_output,absent_no_solid_storage_field,passive_wall_external,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,junction,junction_other,junction_other_loss_or_gain,junction_stub_heat;external_convection;radiation_absence_status,-39.1283,-39.1283,,,,fields_present,resistance_terms_present,absent_no_qr_output,absent_no_solid_storage_field,junction_stub_heat,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;junction_grouped_mixed_bc;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,ambient_wall,passive_ambient_loss_or_gain,external_convection;wall_conduction;radiation_absence_status,-6.6681,-6.6681,,,,fields_present,resistance_terms_present,absent_no_qr_output,absent_no_solid_storage_field,passive_wall_external,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,lower_leg,heater,intended_heater_input,heater_source_to_fluid;storage_proxy_status,243.5191,243.5191,265.7,,22.1809,fields_present,resistance_terms_present,absent_no_qr_output,absent_no_solid_storage_field,heater_source_storage_gap,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,ambient_wall,passive_ambient_loss_or_gain,external_convection;wall_conduction;radiation_absence_status,-20.0805,-20.0805,,,,fields_present,resistance_terms_present,absent_no_qr_output,absent_no_solid_storage_field,passive_wall_external,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;high_recirculation_endpoint_temperature;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_2,viscosity_screening_salt_test_2_jin_coarse_mesh,upcomer,test_section,intended_test_section_input_actual_net_sink_possible,insulation_quartz;test_section_source_loss;radiation_absence_status,-5.6798,-5.6798,,,42.6798,fields_present,resistance_terms_present,absent_no_qr_output,absent_no_solid_storage_field,test_section_source_loss,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;intended_input_actual_net_sink;high_recirculation_endpoint_temperature;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt2_jin/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5398/wallHeatFlux.dat
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,cooling_branch,ambient_wall,passive_ambient_loss_or_gain,external_convection;wall_conduction;radiation_absence_status,-13.5707,-13.5707,,,,fields_present,resistance_terms_present,absent_no_qr_output,absent_no_solid_storage_field,passive_wall_external,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
salt_3,viscosity_screening_salt_test_3_jin_coarse_mesh,cooling_branch,cooler,intended_cooler_removal,jacket_cooler_removal,-150.7696,-150.7696,,150.7696,-0.000039,missing_or_not_applicable,missing_or_not_applicable,absent_no_qr_output,absent_no_solid_storage_field,cooler_hx_removal,diagnostic_only_no_fit_no_admission,diagnostic/scoring evidence only; forbidden predictive wallHeatFlux runtime input,coarse_no_gci;no_qr_radiation_output,jadyn_runs/modern_runs/2026-06-18_convergence_and_jin_envelope_wave/runs/salt3_jin/case_stage/viscosity_screening_salt_test_3_jin_coarse_mesh_continuation/postProcessing/wallHeatFlux/5287/wallHeatFlux.dat
